Date,Location,Raw,Issue date
January 13th,Bromley,"Bromley , Small Hall . Miss Glidewell 3.15 p.m.","January 10 , 1913"
January 13th,Croydon,"Croydon , 50 , High - street . Miss Naylor 8.30 p.m.","January 10 , 1913"
January 13th,Kensal - rise,"Kensal - rise , Harvist - road Schools . Miss G. Richard 8 p.m.","January 10 , 1913"
January 13th,London Pavilion,"London Pavilion , Piccadilly - circus , W. Mrs. Pankhurst , Miss Annie Kenney , Mrs. Drummond 8 p.m.","January 10 , 1913"
January 13th,Redhill,"Redhill , Y.M.C.A. Debate . Mr. E. Shaw .. 7.30 p.m.","January 10 , 1913"
January 13th,Warwick - street and Tachbrook - street,"Warwick - street and Tachbrook - street . Mrs. Bart- lett , Miss Liddlet 3 p.m.","January 10 , 1913"
January 14th,Bermondsey,"Bermondsey , Munton - road . Mrs. Bartlett 8 p.m.","January 10 , 1913"
January 14th,Clapha Morris Hall,"Clapha Morris Hall , North - street , Women only Mrs Juval . Chair : Mrs. Barron 2.30 p.m.","January 10 , 1913"
January 14th,Limehous,Limehous Philpot - street . Miss Ada Wright . Chair : Miss M. Barry 8 p.m.,"January 10 , 1913"
January 14th,N. Kensington,"N. Kensington , Lancaster Baths . Mrs. Drummond 7.30 p.m.","January 10 , 1913"
January 14th,N. Kensington,"N. Kensington , 235 , Portobello - road . Mrs. Smith- wick . Chair : Mrs. Cobden Hirst 2.30 p.m.","January 10 , 1913"
January 14th,Poplar,"Poplar , 157 , East India Dock - road . Miss Haslam .. 3 p.m.","January 10 , 1913"
January 14th,Southfields,Southfields . Miss Kelly . Chair : Miss Laughton 8 p.m.,"January 10 , 1913"
January 14th,Stepney,"Stepney , Grosvenor Hall , Grosvenor - street . Miss Hicks , M.A. 8 p.m.","January 10 , 1913"
January 14th,Stepney,"Stepney , Burdett - road and Coutts - road . Miss Harvey . Chair : Miss Haig 3 p.m.","January 10 , 1913"
January 14th,Streatham Hall,"Streatham Hall . Mrs. Pankhurst , Mr. Harben . Chair : Miss Leonora Tyson 8 p.m.","January 10 , 1913"
January 15th,Bow,"Bow , The Obelisk . Miss Hopkins .. 7.30 p.m.","January 10 , 1913"
January 15th,Bromley,"Bromley , Small Hall . Miss Medwin .. 2.30 p.m.","January 10 , 1913"
January 15th,Hampstead,"Hampstead , 2 , Chesterford gardens . Dr. L. Garrett Anderson , Miss B. Harraden , Mrs. Thomson Price . Hostess : Mrs. Sadd Brown 3 p.m.","January 10 , 1913"
January 15th,Ilford,"Ilford , Manor - park , Earl of Essex . Miss Wingrove 3.30 p.in.","January 10 , 1913"
January 15th,Kilburn,"Kilburn , 310 , High - road . At Home . Miss Wylie , Miss Limouzin , Miss E. Crome 8 p.m.","January 10 , 1913"
January 15th,N. Kensington,"N. Kensington , opposite Free Library . Miss S. Pankhurst . Chair : Miss Phillips 8 p.m.","January 10 , 1913"
January 15th,N. Kensington,"N. Kensington , 235 , Portobello - road . Dr. Flora Murray 7.30 p.m.","January 10 , 1913"
January 15th,Westminster,"Westminster , 17 , Tothill - street . Shop Opening . Mrs. Pankhurst . Recitations and Tea 3 p.m.","January 10 , 1913"
January 15th,Poplar,"Poplar , 157 , East India Dock - road . Miss Kelly .. 8 p.m.","January 10 , 1913"
January 16th,Bermondsey,"Bermondsey , Junction of Tower Bridge and Grange- road . Miss Kelly , Mrs. Smithwick 3 p.m.","January 10 , 1913"
January 16th,Bow Baths,"Bow Baths , Roman - road . Mr. G. Lansbury , Mrs. Drummond 3 p.m.","January 10 , 1913"
January 16th,Essex Hall,"Essex Hall . Miss Barrett . B.Sc. , Miss Margaret Morris , Mrs. Dacre Fox 8 p.m.","January 10 , 1913"
January 16th,Muswell - hill,"Muswell - hill , 2 , Hillfield - gardens . Mrs. Dacre Fox . Chair : Miss Yeoman 8 p.m.","January 10 , 1913"
January 16th,N. Kensington,"N. Kensington , St. Ann's - road , Mrs. Bartlett 7.30 p.m.","January 10 , 1913"
January 16th,Notting Hill Gate,"Notting Hill Gate , Horbury Rooms . Mrs. Pankhurst , Miss G. Brackenbury . Chair : Dr. Garrett . Anderson .. 8 p.m.","January 10 , 1913"
January 16th,Poplar,"Poplar , 157 , East India Dock - road . Miss Canning 3 p.m.","January 10 , 1913"
January 16th,Stepney,"Stepney , Grosvenor Hall , Miss S. Pankhurst 8 p.m.","January 10 , 1913"
January 10th,Dundee,"Dundee , Panmure - street . Miss M. Scott 7.30 p.m","January 10 , 1913"
January 10th,Prestonpans,Prestonpans . Miss A. Scott . Chair : Miss Shaw .. 7.30 p.m.,"January 10 , 1913"
January 11th,Dundee,"Dundee , Greenmarket . Miss M. Scott 3.30 p.m.","January 10 , 1913"
January 11th,Dundee,"Dundee , High School Gates . Miss M. Scott 7.30 p.m.","January 10 , 1913"
January 11th,Musselburgh,Musselburgh . Miss Melrose . Chair : Miss E. Mac- donald 7.30 p.m.,"January 10 , 1913"
January 11th,Portobello,Portobello . Miss M. Burn Murdoch . Chair : Miss E. Hudson .. 7.30 p.m.,"January 10 , 1913"
January 12th,Eastbourne,"Eastbourne , British Socialist Party , 954 , Cavendish- place . Miss Hicks , M.A. 7 p.m.","January 10 , 1913"
January 13th,Hastings,"Hastings , St. Clement's Parish Hall . Working Women's Meeting . Mrs. Dacre Fox 3 p.m.","January 10 , 1913"
January 13th,Hastings,"Hastings , Lower Public Hall . At Home . Mrs. Dacre Fox 4-6 p.m.","January 10 , 1913"
January 14th,Norwich,"Norwich , Stump - cross . Miss G. Brackenbury 3.30 p.m","January 10 , 1913"
January 14th,Norwich,"Norwich , Silver - road and Barrack - street . Miss West and Mr. Francis 8 p.m","January 10 , 1913"
January 15th,Norwich,"Norwich , Thatched Assembly Rooms . Miss G. Brackenbury . The Rev. Anthony Fenn 8 p.m.","January 10 , 1913"
January 15th,Norwich,"Norwich , Market - place . Miss G. Brackenbury 8 p.m.","January 10 , 1913"
January 16th,Norwich,"Norwich , Bull Close - road . Women's Meeting . Miss G. Brackenbury . Chair : Mr. W. Jenson 3 p.m.","January 10 , 1913"
January 16th,Norwich,"Norwich , Octagon Chapel . Miss Brackenbury 8 p.m.","January 10 , 1913"
January 16th,Norwich,"Norwich , Market - place . Miss G. Brackenbury 8 p.m.","January 10 , 1913"
