Date,Location,Raw,Time,Speakers,Description,Issue date
"January 14, 1910","Silchester Road and Manchester Road, Kensington","Silchester Road and Manchester Road , Miss Crickmay , Miss Phillips , 7.15",7.15,"['Miss Crickmay', 'Miss Phillips']",,"January 14, 1910"
"January 14, 1910","Small Ladbroke Hall, Notting Hill, Kensington","Small Ladbroke Hall , Notting Hill , Miss Evelyn Sharp , F. W. Pethick Lawrence , Esq . , Mrs. Eates ( Chair ) , 8 p.m.",8 p.m.,"['Miss Evelyn Sharp', 'F. W. Pethick Lawrence']",,"January 14, 1910"
"January 14, 1910","Ethical Hall, Greenwich Road, Lewisham","A public At Home will be held on Friday , January 14 , in the Ethical Hall , Greenwich Road ( next door to Town Hall ) , at 8 p.m. Dr. Bather . Speakers , Miss Tyson and",8 p.m.,"['Miss Tyson', 'Dr. Bather']",,"January 14, 1910"
"January 14, 1910","Circus Road and High Street, St. John's Wood, Marylebone","Friday . Circus Road and High Street , Mrs. Baldock , Miss Powell , 11.30",11.30,"['Mrs. Baldock', 'Miss Powell']",,"January 14, 1910"
"January 14, 1910","Broadley Terrace and Lisson Grove, Marylebone","Broadley Terrace and Lisson Grove , Mrs. Nourse , 3",3,['Mrs. Nourse'],,"January 14, 1910"
"January 14, 1910","Queen Street, Edgware Road, Marylebone","Queen Street , Edgware Road , Miss Freeman , Miss G. Evans , 7.30 .",7.30,"['Miss Freeman', 'Miss G. Evans']",,"January 14, 1910"
"January 15, 1910","Henry Street, St. John's Wood, Marylebone","Saturday . - Henry Street , St. John's Wood , Mrs. Baldock , 2",2,['Mrs. Baldock'],,"January 14, 1910"
"January 15, 1910","Harcourt Street and Marylebone Road, Marylebone","Harcourt Street and Marylebone Road , Mrs. Baldock , 11.30",11.30,['Mrs. Baldock'],,"January 14, 1910"
"January 15, 1910","Bolsover Street, Marylebone","Bolsover Street , Miss Blundell , Miss Fagg , 8",8,"['Miss Blundell', 'Miss Fagg']",,"January 14, 1910"
"January 15, 1910","Nutford Place, Marylebone","Nutford Place , Miss Berton , Miss F. Simpson , 8 .",8,"['Miss Berton', 'Miss F. Simpson']",,"January 14, 1910"
"January 14, 1910","Anson Road, Cricklewood, Harrow","Friday . Anson Road , Cricklewood , Mrs. Penn Gaskell , 3.30",3.30,['Mrs. Penn Gaskell'],,"January 14, 1910"
"January 14, 1910","Chevening Road, Kensal Rise, Harrow","Chevening Road , Kensal Rise , Miss Elsa Myers , 6.30",6.30,['Miss Elsa Myers'],,"January 14, 1910"
"January 14, 1910","Willesden Green Station, Harrow","Willesden Green Station , Miss Fagg , 7.15",7.15,['Miss Fagg'],,"January 14, 1910"
"January 14, 1910","Willesden Green Library, Harrow","Willesden Green Library , Miss Auerbach , 6",6,['Miss Auerbach'],,"January 14, 1910"
"January 14, 1910","Dudding Hill, Willesden, Harrow","Dudding Hill , Willesden , 6.30",6.30,,,"January 14, 1910"
"January 14, 1910","Roundwood Road, Willesden, Harrow","Roundwood Road , Willesden , Miss Hickson , 7.30",7.30,['Miss Hickson'],,"January 14, 1910"
"January 14, 1910","Melville Road, Stonebridge, Harrow","Melville Road , Stonebridge , Miss McClelland , 6.30",6.30,['Miss McClelland'],,"January 14, 1910"
"January 14, 1910","Gayton Rooms, Harrow","Harrow , Gayton Rooms , Mrs. Eates , 8 .",8,['Mrs. Eates'],,"January 14, 1910"
"January 15, 1910","Manor Park Road, Royal Oak, Harlesden, Harrow","Saturday . - Manor Park Road , Royal Oak , Harlesden , Miss Wyatt , 3.30",3.30,['Miss Wyatt'],,"January 14, 1910"
"January 15, 1910","Melville Road, Stonebridge, Harrow","Melville Road , Stonebridge , Miss E. Myers , 3.30",3.30,['Miss E. Myers'],,"January 14, 1910"
"January 15, 1910","Dudding Hill Lane, Willesden, Harrow","Dudding Hill Lane , Willes- den , Miss Fagg , 4.30",4.30,['Miss Fagg'],,"January 14, 1910"
"January 15, 1910","Roundwood Road, Church Road, Willesden, Harrow","Roundwood Road , Church Road , Willesden . Miss Elsa Myers , 5.30",5.30,['Miss Elsa Myers'],,"January 14, 1910"
"January 15, 1910","Willesden Green Station, Harrow","Willesden Green Station , Miss Naylor , 6.30",6.30,['Miss Naylor'],,"January 14, 1910"
"January 15, 1910","Brondesbury Road, Kilburn, Harrow","Brondes- bury Road , Kilburn , Miss Burton , 3.30",3.30,['Miss Burton'],,"January 14, 1910"
"January 15, 1910","Leopold Road Schools, Harlesden, Harrow","Leopold Road Schools , Harlesden , Mrs. Leigh , Mrs. Lamartine Yates , Mrs. Penn Gaskell ( Chair ) , 8 .",8,"['Mrs. Leigh', 'Mrs. Lamartine Yates']",,"January 14, 1910"
"January 17, 1910","Hendon, Edgware Road, Harrow","Monday . Hendon , Edgware Road , Mrs. Penn Gaskell , 6.30",6.30,['Mrs. Penn Gaskell'],,"January 14, 1910"
"January 17, 1910","Willesden Green Station, Harrow","Willesden Green Station , Miss Elsa Myers , 6.30",6.30,['Miss Elsa Myers'],,"January 14, 1910"
January 16 1910,Brighton,Lady Constance Lytton's meeting to - day .,,['Lady Constance Lytton'],,"January 14, 1910"
January 16 1910,Bradford,"culminating in a great demonstration at the Central Baths on Sunday, the eve of the poll , when Miss Mary Gawthorpe and Miss Laura Ainsworth will speak",3,"['Miss Mary Gawthorpe', 'Miss Laura Ainsworth']",,"January 14, 1910"
January 16 1910,Bristol,"Friday - Portland Square, 1.30 ; Lewin's Mead Unita- rian Chapel, 1.30 ; Outside Adlam's, Broad Weir, 1.30 ; Armoury Square, 7.30 ; Station Road, Fish- ponds, 7.30 ; Hors.fair, 7.30 .",1.30,,,"January 14, 1910"
January 16 1910,Bristol,"Friday - Portland Square, 1.30 ; Lewin's Mead Unita- rian Chapel, 1.30 ; Outside Adlam's, Broad Weir, 1.30 ; Armoury Square, 7.30 ; Station Road, Fish- ponds, 7.30 ; Hors.fair, 7.30 .",7.30,,,"January 14, 1910"
January 17 1910,Bristol,"Saturday . - Armoury Square, 7.30 ; Station Road, Fish- ponds, 7.30 ; Horsefair . 7.20 .",7.30,,,"January 14, 1910"
January 17 1910,Bristol,"Saturday . - Armoury Square, 7.30 ; Station Road, Fish- ponds, 7.30 ; Horsefair . 7.20 .",7.20,,,"January 14, 1910"
January 18 1910,Bristol,"Monday - Portland Square, 1.30 ; Horsefair, 1.30 ; Zet- land Road, 1.30 ; Armoury Square, 7.30 ; Station Road, Fishponds, 7.30 ; Horsefnir, 7.30 .",1.30,,,"January 14, 1910"
January 18 1910,Bristol,"Monday - Portland Square, 1.30 ; Horsefair, 1.30 ; Zet- land Road, 1.30 ; Armoury Square, 7.30 ; Station Road, Fishponds, 7.30 ; Horsefnir, 7.30 .",7.30,,,"January 14, 1910"
January 19 1910,Bristol,"Tuesday . - City Road Chapel, 1.30 ; St. James's Square, 1.30 ; Outside Adlam's, 1.30 ; Armoury Square, 7.30 ; Station Road, Fishponds 7.39 ; Horsefair, 7.30 .",1.30,,,"January 14, 1910"
January 19 1910,Bristol,"Tuesday . - City Road Chapel, 1.30 ; St. James's Square, 1.30 ; Outside Adlam's, 1.30 ; Armoury Square, 7.30 ; Station Road, Fishponds 7.39 ; Horsefair, 7.30 .",7.30,,,"January 14, 1910"
January 20 1910,Bristol,"Wednesday . King Square, 1.30 ; Horsefair, 1.30 ; Gas- Works, Eastville . 130 ; Armoury Square, 7.30 ; Station Road, Fishponds, 7.30 ; Horsefair, 7.30 .",1.30,,,"January 14, 1910"
January 20 1910,Bristol,"Wednesday . King Square, 1.30 ; Horsefair, 1.30 ; Gas- Works, Eastville . 130 ; Armoury Square, 7.30 ; Station Road, Fishponds, 7.30 ; Horsefair, 7.30 .",7.30,,,"January 14, 1910"
January 21 1910,Bristol,"Thursday . - Sussex Place, 1.30 ; Ropewalk, 1.30 ; Houlton Street, 1.30 ; Armoury Square, 7.30 ; Station Road, Fishponds, 7.30 ; Horsefair, 7.30 .",,,,"January 14, 1910"
January 21 1910,Bristol,"Thursday . - Sussex Place, 1.30 ; Ropewalk, 1.30 ; Houlton Street, 1.30 ; Armoury Square, 7.30 ; Station Road, Fishponds, 7.30 ; Horsefair, 7.30 .",7.30,,,"January 14, 1910"
January 15 1910,Manchester,"This evening a meeting will be held in the Bangor Street Schools , at which Miss Florence Clarkson and Miss H. Tolson will speak .",,"['Miss Florence Clarkson', 'Miss Helen Tolson']",,"January 14, 1910"
January 15 1910,Manchester,"Saturday ""At Home, "" Memorial Hall, Albert Square.",,,,"January 14, 1910"
January 15 1910,Loughborough,"Friday . - Lecture Room , Miss D. Pethick , Mrs. Pemberton Peake ( Chair ) , 8 .",8,['Miss D. Pethick'],,"January 14, 1910"
January 16 1910,Castle Donnington,"Saturday . - Castle Donnington , 8 .",8,,,"January 14, 1910"
January 17 1910,Leicester,"Sunday . - Jewish Social and Literary Society , Leicester , Miss D. Pethick , 7 .",7,['Miss D. Pethick'],,"January 14, 1910"
January 17 1910,Loughborough,"Monday . - Market Place , 1.30 ; Shepshed , 4.30 and 7 .",1.30,,,"January 14, 1910"
January 17 1910,Shepshed,"Monday . - Market Place , 1.30 ; Shepshed , 4.30 and 7 .",4.30,,,"January 14, 1910"
January 17 1910,Shepshed,"Monday . - Market Place , 1.30 ; Shepshed , 4.30 and 7 .",7,,,"January 14, 1910"
January 18 1910,Quorn,"Tuesday . - Quorn , 3.30 ; Market , 8 .",3.30,,,"January 14, 1910"
January 18 1910,Loughborough,"Tuesday . - Quorn , 3.30 ; Market , 8 .",8,,,"January 14, 1910"
January 19 1910,Loughborough,"Wednesday . - Town Hall , Loughborough ( women only ) , 3.30 , and Public Meeting , 7.30 , Mrs. Pankhurst . Whitwick , 8 .",3.30,['Mrs. Pankhurst'],,"January 14, 1910"
January 19 1910,Loughborough,"Wednesday . - Town Hall , Loughborough ( women only ) , 3.30 , and Public Meeting , 7.30 , Mrs. Pankhurst . Whitwick , 8 .",7.30,['Mrs. Pankhurst'],,"January 14, 1910"
January 19 1910,Whitwick,"Wednesday . - Town Hall , Loughborough ( women only ) , 3.30 , and Public Meeting , 7.30 , Mrs. Pankhurst . Whitwick , 8 .",8,,,"January 14, 1910"
January 20 1910,Leicester,"Thursday . - Leicester At Home , Old Town Hall , 4.30 ; Leicester , Belgrave , 8 .",4.30,,,"January 14, 1910"
January 20 1910,Leicester,"Thursday . - Leicester At Home , Old Town Hall , 4.30 ; Leicester , Belgrave , 8 .",8,,,"January 14, 1910"
January 21 1910,Loughborough,"Friday - Town Hall , Public Meeting ( Women only ) , Miss Mary Gawthorpe , Miss D. Pethick , 3.30 and 8 p.m.",,,,"January 14, 1910"
January 21 1910,Loughborough,"Friday - Town Hall , Public Meeting ( Women only ) , Miss Mary Gawthorpe , Miss D. Pethick , 3.30 and 8 p.m.",8 p.m.,"['Miss Mary Gawthorpe', 'Miss D. Pethick']",,"January 14, 1910"
January 15 1910,Liverpool,"Saturday . - Demonstration , St. George's Plateau , Miss Flatman , Miss Fraser Smith , and others , 8 .",8,"['Miss Flatman', 'Miss Fraser Smith']",,"January 14, 1910"
January 17 1910,Liverpool,"Monday . Picton Hall , Mrs. Pankhurst , Miss Flatman , 8 .",8,"['Mrs. Pankhurst', 'Miss Flatman']",,"January 14, 1910"
January 18 1910,Liverpool,"Tuesday . - 48 , Mount Pleasant , Miss Fraser Smith , Miss Elsie Howey , 8 .",8,"['Miss Fraser Smith', 'Miss Elsie Howey']",,"January 14, 1910"
January 15 1910,Glasgow,"Friday . Corn Exchange , 3 ; Frederick Street , 8 .",3,,,"January 14, 1910"
January 15 1910,Glasgow,"Friday . Corn Exchange , 3 ; Frederick Street , 8 .",8,,,"January 14, 1910"
January 17 1910,Glasgow,"Monday . Exchange , 1 to 2 ; Anderston Cross , 8 .",1 to 2,,,"January 14, 1910"
January 17 1910,Glasgow,"Monday . Exchange , 1 to 2 ; Anderston Cross , 8 .",8,,,"January 14, 1910"
January 18 1910,Glasgow,"Tuesday . Main Street , Sauchiehall Street , 1 to 2 ; Broomielaw and Jamaica Street , 8 .",,,,"January 14, 1910"
January 18 1910,Glasgow,"Tuesday . Main Street , Sauchiehall Street , 1 to 2 ; Broomielaw and Jamaica Street , 8 .",8,,,"January 14, 1910"
January 19 1910,Glasgow,"Wednesday . Temple , 8 .",8,,,"January 14, 1910"
January 20 1910,Glasgow,"Thursday . - St . Enoch Square , 8 .",8,"['Mrs. Drummond', 'Mrs. Lawton']",,"January 14, 1910"
"January 14, 1910","Leedley Bleach Works, Whitham","Friday . - Leedley Bleach Works , Miss Hewitt , 12.45",12.45,['Miss Hewitt'],,"January 14, 1910"
"January 14, 1910","Armitage, Whitham","Armitage , Whitham , Miss Ayrton , 1",1,['Miss Ayrton'],,"January 14, 1910"
"January 14, 1910","Clock School, Whitham","Clock School , Whitham , Miss Davison , 1",1,['Miss Davison'],,"January 14, 1910"
"January 14, 1910","Hankinson Street and Broad Street, Whitham","Hankinson Street and Broad Street , Miss Dugdale , Miss Ayrton , 1.30",1.30,"['Miss Dugdale', 'Miss Ayrton']",,"January 14, 1910"
"January 14, 1910","Unwin Square, Whitham","Unwin Square , Miss Dugdale , Miss Gawthorpe , 7.15",7.15,"['Miss Dugdale', 'Miss Gawthorpe']",,"January 14, 1910"
"January 14, 1910","Salford Hippodrome, Whitham","Salford Hippodrome , Miss Hewitt , Miss Dugdale , 7.15",7.15,"['Miss Hewitt', 'Miss Dugdale']",,"January 14, 1910"
