Date,Location,Raw,Time,Speakers,Description,Hosts,Issue date
"May 10, 1912","Fulham, Munster Road","Friday , 10 Fulham , Munster Road Miss Richard",8 p.m.,,,,"May 10, 1912"
"May 10, 1912","Harringay, Burgoyne Road","Friday , 10 Harringay , Burgoyne Road .. Miss Myers . Chair : Miss Shoults",8 p.m.,,,,"May 10, 1912"
"May 11, 1912","95 Harrow Road, Prince of Wales","Saturday , 11 Harrow Road , Prince of Wales .. Hostess : Mrs. Whitten .....",8 p.m.,,,,"May 10, 1912"
"May 11, 1912","Ilford, 21, Coventry Road","Saturday , 11 Ilford , 21 , Coventry Road Miss Wright , Miss Wilson",8 p.m.,,,,"May 10, 1912"
"May 11, 1912",Streatham Hall,"Saturday , 11 Streatham Hall, Drawing Room Members ' Meeting . Miss Haslam .",8 p.m.,,,,"May 10, 1912"
"May 11, 1912","Chiswick, Duke's Road","Saturday , 11 Chiswick , Duke's Road Prisoners ' Reception . Mrs. Lamar- tine Yates , Miss Winifred Mayo . and others",8 p.m.,,,,"May 10, 1912"
"May 11, 1912","Crouch End, Clock Tower","Saturday , 11 Crouch End , Clock Tower Miss Coombs",8 p.m.,,,,"May 10, 1912"
"May 11, 1912","Hampstead Road, Cobden's Statue","Saturday , 11 Hampstead Road , Cobden's Statue .... Miss Kinkead . Chair : Miss Prankerd",7.30 p.m.,,,,"May 10, 1912"
"May 11, 1912","Hampstead, 178, Finchley Road","Saturday , 11 Hampstead , 178 , Finchley Road ...... Miss O. Maguire",7.30 p.m.,,,,"May 10, 1912"
"May 11, 1912","Harlesden, Manor Park Road","Saturday , 11 Harlesden , Manor Park Road ..... Poster Parade ..",8 p.m.,,,,"May 10, 1912"
"May 11, 1912","High Barnet, Market Place","Saturday , 11 High Barnet , Market Place Miss Gilliatt , Miss Burton",8 p.m.,,,,"May 10, 1912"
"May 11, 1912","Ilford, Balfour Road","Saturday , 11 Ilford , Balfour Road Mrs. Bouvier",8 p.m.,,,,"May 10, 1912"
"May 11, 1912","Kilburn, Messina Avenue","Saturday , 11 Kilburn , Messina Avenue .. Miss Feek",8 p.m.,,,,"May 10, 1912"
"May 11, 1912","Kingston, Coronation Stone","Saturday , 11 Kingston , Coronation Stone Miss G. Richard , Miss Hoffmann",11.30 a.m.,,,,"May 10, 1912"
"May 11, 1912","Lewisham, 9a, Loampit Vale","Saturday , 11 Lewisham , 9a , Loampit Vale Miss Isabel Seymour . Dacre Fox",2 p.m.,,,,"May 10, 1912"
"May 11, 1912","Palmer's Green, Alderman's Hill","Saturday , 11 Palmer's Green , Alderman's Hill Members ' Rally . Miss Wyatt .",3 p.m.,,,,"May 10, 1912"
"May 11, 1912","Walthamstow, Church Hill","Saturday , 11 Walthamstow , Church Hill Chair : Mrs. Gargett ......",3 p.m.,,,,"May 10, 1912"
"May 12, 1912","Wimbledon, The Broadway","Sunday , 12 Wimbledon , The Broadway Miss Bonwick , B.A.",10 a.m.,,,,"May 10, 1912"
"May 12, 1912",Clapham Common,"Sunday , 12 Clapham Common Miss Jacobs .",11.15 a.m.,,,,"May 10, 1912"
"May 12, 1912",Ealing Common,"Sunday , 12 Ealing Common Miss Elsa Myers . Chair : Tom Norris, Esq",3 to 8 p.m.,,,,"May 10, 1912"
"May 12, 1912","Hampstead Heath, Flagstaff","Sunday , 12 Hampstead Heath . Flagstaff Miss J. Dugdale .",7.30 p.m.,,,,"May 10, 1912"
"May 13, 1912",Hyde Park (near Marble Arch),"Monday , 13 Hyde Park ( near Marble Arch ) Chair : Victor Prout , Esq",7.30 p.m.,,,,"May 10, 1912"
"May 13, 1912",Streatham Common,"Monday , 13 Streatham Common ..... Miss Isabel Seymour",7 p.m.,,,,"May 10, 1912"
"May 13, 1912",Wimbledon Common,"Monday , 13 Wimbledon Common ... Chair : Mrs. Hutt",3 p.m.,,,,"May 10, 1912"
"May 14, 1912","Croydon, 50, High Street","Tuesday , 14 Croydon , 50 , High Street Working Party",3.15 p.m.,,,,"May 10, 1912"
"May 14, 1912","Kensal Rise, Harvist Road Schools","Tuesday , 14 Kensal Rise , Harvist Road Schools ... Miss Wadeson",8 p.m.,,,,"May 10, 1912"
"May 14, 1912","London Pavilion, Piccadilly Circus, W.","Tuesday , 14 London Pavilion , Piccadilly Cir . cus , W. Mrs. Mansell - Moullin , Laurence Housman , Esq .",7.30 p.m.,,,,"May 10, 1912"
"May 14, 1912","Balham, 12, Foxbourne Road","Tuesday , 14 Balham , 12 , Foxbourne Road A. Kenney",8 p.m.,,,,"May 10, 1912"
"May 14, 1912","Brixton, Angell Road","Tuesday , 14 Brixton , Angell Road Members' Meeting",8 p.m.,,,,"May 10, 1912"
"May 14, 1912","Camden Town, Cobden Statue","Tuesday , 14 Camden Town , Cobden Statue Miss Jacobs",8 p.m.,,,,"May 10, 1912"
"May 14, 1912","Edgware Road, Nutferd Place, W","Tuesday , 14 Edgware Road , Nutferd Place , W ..... Chair : Miss Wright , Miss Meakin",8 p.m.,,,,"May 10, 1912"
"May 14, 1912","Hampstead, Keith Prowse Hall, 167, Finchley Road","Tuesday , 14 Hampstead , Keith Prowse Hall , 167 , Finchley Road Miss I. Seymour , Miss J. Dugdale , Lieut . Cather , R.N .",3 p.m.,,,,"May 10, 1912"
"May 14, 1912","Palmer's Green, 6, Stonard Road","Tuesday , 14 Palmer's Green , 6 , Stonard Road .. Fireside Talks Miss Bonwick , B.A .",11.30 a.m.,,,,"May 10, 1912"
"May 14, 1912","Stratford, The Grove","Tuesday , 14 Stratford , The Grove ...... Drawing Room Meeting . The Hon , Mrs. Haverfield .",3 p.m.,,,,"May 10, 1912"
"May 14, 1912","Streatham, Thornton Heath Clock","Tuesday , 14 Streatham Thornton Heath Clock Chair : Leonora Tyson .",3 p.m.,,,,"May 10, 1912"
"May 14, 1912","Bexhill, W.S.P.U. Shop, Marina","Tues. , May 14. Bexhill , W.S.P.U. Shop , Marina . At Home . Mrs. Massy , 4-6 p.m.",4-6 p.m.,,,,"May 10, 1912"
"May 14, 1912","Canterbury, St. George's Hall","Tues. , May 14. - Canterbury , St. George's Hall . Miss Winifred Mayo , Joseph Clayton , Esq . Chair , Lady Lamb, 8 p.m.",8 p.m.,"['Miss Winifred Mayo', 'Joseph Clayton, Esq']",,,"May 10, 1912"
"May 15, 1912","Barking, Old Town Hall","Wednesday , 15 Barking , Old Town Hall Ernest Bertram . Hostess : Mrs. Dacre Fox , B. Furniss , Esq .",3 p.m.,,,,"May 10, 1912"
"May 15, 1912","Croydon, 50, High Street","Wednesday , 15 Croydon , 50 , High Street ... Miss Haslam",8 p.m.,,,,"May 10, 1912"
"May 15, 1912","Islington, Packington Street","Wednesday , 15 Islington , Packington Street HE Working Party ......",7 p.m.,,,,"May 10, 1912"
"May 15, 1912","South Kensington, 40, Tregunter Rd.","Wednesday , 15 South Kensington , 40 , Tregunter Rd . Miss Mrs.",3.15 p.m.,,,,"May 10, 1912"
"May 16, 1912","Paddington, 52, Praed Street, W","Thursday , 16 ... Paddington , 52 , Praed Street , W ... Miss F. A. Randall , B.Sc. Chair : Miss Pease ......",8 p.m.,,,,"May 10, 1912"
"May 16, 1912","Sloane Square, W.","Thursday , 16 ... Sloane Square , W ..... At Home . Miss Winifred Mayo . Chair : Taubman Goldie , Esq .",7.30 p.m.,,,,"May 10, 1912"
"May 16, 1912","Steinway Hall, Lower Seymour Street, Portman Square, W.","Thursday , 16 ... Steinway Hall . Lower Seymour Street . Portman Square , W ....... Mrs. Mansel , the Hon . Mrs. Haverfield",8 p.m.,,,,"May 10, 1912"
"May 16, 1912","Wimbledon Lecture Hall, Lingfield Road","Thursday , 16 ... Wimbledon Lecture Hall , Lingfield Road ...... Mrs. Massy . Chair : Mrs. Drummond",2.30 p.m.,,,,"May 10, 1912"
"May 17, 1912","Croydon, Katherine Street","Friday , 17 Croydon , Katherine Street Mrs. Frances Swiney , H. Baillie Weaver , Esq . Chair : Mrs. Lamar- tine Yates",8 p.m.,,,,"May 10, 1912"
"May 17, 1912","4, Clements Inn, W.C.","Friday , 17 4 , Clements Inn , W.C. Speakers ' Class . Miss Rosa Leo",7.45 p.m.,,,,"May 10, 1912"
"May 17, 1912","Fulham, Munster Road","Friday , 17 Fulham , Munster Road Miss Hardy , Victor Prout , Esq .",7.30 p.m.,,,,"May 10, 1912"
"May 17, 1912","Harrow Road, Prince of Wales","Friday , 17 Harrow Road , Prince of Wales Miss Naylor",8 p.m.,,,,"May 10, 1912"
"May 17, 1912","Hornsey High Street, The Fountain","Friday , 17 Hornsey High Street , The Fountain Miss Guttridge , Miss Wilson",8 p.m.,,,,"May 10, 1912"
"May 20, 1912","77, Bouverie Road West, Folkestone","Mrs. George Green is very kindly giving a drawing - room meeting at 77 , Bouverie Road West , on Monday, May 20, from 4 to 6",,,,,"May 10, 1912"
"May 21, 1912",Hampton,Members are reminded that help is needed for the important drawing - room meeting at Hampton on May 21 .,,,,,"May 10, 1912"
"June 15, 1912",Albert Hall,"Saturday, June 15 , Albert Hall Meeting , 8 p.m.",8 p.m.,,,,"May 10, 1912"
May 13 1912,"Hastings, 8 , Trinity Street","Mon. , May 13. - Hastings , 8 , Trinity Street . At Home . Mrs. Massy , 4-6 p.m.",4-6 p.m.,,,['Mrs. Massy'],"May 10, 1912"
May 14 1912,"Reading, 49, Market Place","Tues. , May 14. - At Home , 3.30 p.m.",,,,,"May 10, 1912"
May 10 1912,"Chatham, Town Hall","Fri. , May 10. Chatham , Town Hall , 8 p.m.",,,,,"May 10, 1912"
May 17 1912,"Maidstone, The Sessions House","Fri. , May 17. - Maidstone , The Sessions House , 8 p.m.",,,,,"May 10, 1912"
May 11 1912,"Stechford, Garden","Sat. , May 11. - Stechford , Garden Meeting . Miss Dugdale , Nurse Hutchinson . Hostess , Miss Redfern .",8 p.m.,"['Miss Dugdale', 'Nurse Hutchinson']",,,"May 10, 1912"
May 14 1912,"Edgbaston, 111 , Hagley Road","Tues. , May 14. - Edgbaston , 111 , Hagley Road . Drawing - room Meeting and Sale of Work . Mrs. Brailsford . Chair , the Lady Isabel Hampden Margesson . Hostess : Mrs. Byron Smith . 3 p.m.",3 p.m.,['Mrs. Brailsford'],,,"May 10, 1912"
May 14 1912,"Erdington, Anstey College","Erdington , Anstey College . Reception , 7-15 p.m. Meeting , 8 p.m. Mrs. Brailsford , Leonard Hall , Esq . Chair , Miss Elizabeth Grew .",8 p.m.,"['Mrs. Brailsford', 'Leonard Hall']",,,"May 10, 1912"
May 15 1912,"Birmingham, 97, John Bright Street","Wed. , May 15. Birmingham , 97 , John Bright Street . Members ' At Home , 7.30-9 p.m.",7.30-9 p.m.,,,,"May 10, 1912"
May 17 1912,"Leicester, G. F. S. Room , 5 , St. Martin's","Fri. , May 17. - Leicester , G. F. S. Room , 5 , St. Martin's , E. Members ' Social , 8 p.m.",8 p.m.,,Members' Social,,"May 10, 1912"
May 10 1912,"Walsall, Small Co - operative Hall","Fri. , May 10. - Walsall , Small Co - operative Hall . Miss Georgina Brackenbury , 7.30 p.m.",7.30 p.m.,['Miss Georgina Brackenbury'],,,"May 10, 1912"
May 16 1912,"Twerton, Moorland Road","Thur . , May 16. Twerton , Moorland Road , 8 p.m. Shop , 5.30 p.m.",8 p.m.,,,,"May 10, 1912"
May 13 1912,"Clifton, 37, Queen's Road","Mon. , May 13. - Clifton , 37 , Queen's Road . Weekly At Home . Mrs. Price , 3.30 p.m.",3.30 p.m.,,,['Mrs. Price'],"May 10, 1912"
May 13 1912,"Bristol, Clifton Vale, Hotwells","Clifton Vale , Hotwells . Mrs. Price , Mrs. Edwards , 8 p.m.",8 p.m.,"['Mrs. Price', 'Mrs. Edwards']",,,"May 10, 1912"
May 14 1912,"Bristol, St. George's Park","Tues. , May 14.-St. George's Park . Mrs. Price , Mrs. Dove Willcox , 8 p.m.",8 p.m.,"['Mrs. Price', 'Mrs. Dove Willcox']",,,"May 10, 1912"
May 15 1912,"Bristol, Bedminster","Wed. , May 15. - Bedminster , Inn . Mrs. Price , Miss V. Fowler , 8 p.m.",8 p.m.,"['Mrs. Price', 'Miss V. Fowler']",,,"May 10, 1912"
May 16 1912,"Avonmouth, Dock Gates","Thur . , May 16. - Avonmouth , Dock Gates . Mrs. Price , Mrs. Paul , 1.30 p.m.",1.30 p.m.,"['Mrs. Price', 'Mrs. Paul']",,,"May 10, 1912"
May 16 1912,"Bristol, Broad Quay","Broad Quay , 8 p.m.",,,,,"May 10, 1912"
May 17 1912,"Montpelier, Station Road","Fri. , May 17. - Montpelier , Station Road . Mrs. Price , Mrs. Trafford , 8 p.m.",8 p.m.,"['Mrs. Price', 'Mrs. Trafford']",,,"May 10, 1912"
May 11 1912,"Hereford, St. Peter's Square","Sat. , May 11 - Hereford , St. Peter's Square . Mrs. Davis , Miss Flatman , 8 p.m.",8 p.m.,"['Mrs. Davis', 'Miss Flatman']",,,"May 10, 1912"
May 14 1912,Ross,"Tues. , May 14. - Ross . Mrs. Davis , Miss Flatman . 8 p.m.",8 p.m.,"['Mrs. Davis', 'Miss Flatman']",,,"May 10, 1912"
May 16 1912,"Newport, Temperance Hall","Thur .. May 16. - Temperance Hall . Miss Evelyn Sharp . Chair , Rev. Daniel Hughes , 8 p.m.",8 p.m.,['Miss Evelyn Sharp'],,,"May 10, 1912"
May 18 1912,"Chelmsford, Market Place","Sat. , May 18. Market Place , Miss Kathleen Jarvis , 7 p.m.",7 p.m.,['Miss Kathleen Jarvis'],,,"May 10, 1912"
June 1 1912,"Ipswich, Alexandra Park","Permission has been obtained for the use of the Alexandra Park for an open - air demonstration on Saturday , June 1.",,,Open - air demonstration,,"May 10, 1912"
May 13 1912,"Ipswich, Cornhill","Mon. , May 13. - Cornhill , Miss Kathleen Jarvis , 8 p.m.",8 p.m.,['Miss Kathleen Jarvis'],,,"May 10, 1912"
May 14 1912,"Ipswich, Cornhill","Tues. , May 14. - Cornhill , Miss Naylor , 8 p.m.",8 p.m.,['Miss Naylor'],,,"May 10, 1912"
May 14 1912,"Ipswich, Barrack Corner","Barrack Corner , Miss Kathleen Jarvis , 8 p.m.",8 p.m.,['Miss Kathleen Jarvis'],,,"May 10, 1912"
May 15 1912,"Ipswich, Major's Corner","Wed. , May 15. - Major's Corner , Miss Kathleen Jarvis , 8 p.m.",8 p.m.,['Miss Kathleen Jarvis'],,,"May 10, 1912"
May 16 1912,"Ipswich, Rose and Crown, Norwich Road","Thur. , May 16. - Rose and Crown , Norwich Road , Miss Kathleen Jarvis , 8 p.m.",8 p.m.,['Miss Kathleen Jarvis'],,,"May 10, 1912"
May 17 1912,"Ipswich, Barrack Corner","Fri. , May 17. - Barrack Corner , Miss Jarvis , 8 p.m.",8 p.m.,['Miss Jarvis'],,,"May 10, 1912"
May 22 1912,"Norwich, Thatcher Assembly Rooms","A public meeting will be held in the Thatcher Assembly Rooms on Wednesday , May 22. Tickets , 1s. and 6d . Mrs. Brailsford will speak .",,['Mrs. Brailsford'],,,"May 10, 1912"
May 13 1912,"Doncaster, Guild Hall","Mon. , May 13. - Guild Hall , Miss Georgina Bracken- bury . Chair , Miss V. Key Jones , 8 p.m.",8 p.m.,['Miss Georgina Brackenbury'],,,"May 10, 1912"
May 14 1912,"Halifax, Mechanics ' Institute","Tues. , May 14. - Halifax , Mechanics ' Institute , 8 p.m.",,,,,"May 10, 1912"
May 15 1912,"Huddersfield, Parochial Hall","Wed .. May 15. - Huddersfield , Parochial Hall , 3.30 p.m.",3.30 p.m.,,,,"May 10, 1912"
June 1 1912,North Shields,"North Shields , June 1",,,,,"May 10, 1912"
June 8 1912,Sunderland,"Sunderland , June 8",,,,,"May 10, 1912"
June 4 1912,Jarrow,"Jarrow , June 4",,,,,"May 10, 1912"
June 11 1912,South Shields,"South Shields , June 11",,,,,"May 10, 1912"
July 6 1912,Newcastle,Arrangements are being made for a Town Hall Demonstra- tion in Newcastle on July 6.,,,Town Hall Demonstration,,"May 10, 1912"
May 10 1912,"North Shields, Boro Road","Fri. , May 10. - North Shields , Boro Road . Miss Cissie Wilcox , Mrs. Arnett , 7.30 p.m.",7.30 p.m.,"['Miss Cissie Wilcox', 'Mrs. Arnett']",,,"May 10, 1912"
May 11 1912,"Newcastle, Haymarket","Sat. , May 11. Newcastle , Haymarket . Mrs. Arnett , 7.30 p.m.",7.30 p.m.,['Mrs. Arnett'],,,"May 10, 1912"
May 13 1912,"Jarrow, Union Street","Mon. , May Mrs. Miss 13. Jarrow . Union Street . Arnett , Mrs. Crow , 7.30 p.m.",7.30 p.m.,"['Mrs. Arnett', 'Mrs. Crow']",,,"May 10, 1912"
May 14 1912,"South Shields, Market Place","Tues. , May 14. - South Shields , Market Place . Miss Violet Taylor , 7.30 p.m.",7.30 p.m.,['Miss Violet Taylor'],,,"May 10, 1912"
May 14 1912,"Newcastle, Byker Bank","Newcastle , Byker Bank . Mrs. Arnett , Mrs. Wilson , 7.30 p.m.",7.30 p.m.,"['Mrs. Arnett', 'Mrs. Wilson']",,,"May 10, 1912"
May 15 1912,"Newcastle, 77, Blackett Street","Wed. , May 15. - Newcastle , 77 , Blackett Street . At Home . Mrs. Atkinson , Miss Laura Ainsworth ,",,,,"['Mrs. Atkinson', 'Miss Laura Ainsworth']","May 10, 1912"
May 16 1912,Sunderland Ropery,"Thur May 16. - Sunderland Ropery . Mrs. Arnett , 12.30 p.m.",12.30 p.m.,['Mrs. Arnett'],,,"May 10, 1912"
May 16 1912,"Sunderland, Wheatsheaf","Wheatsheaf . Mrs. Arnett , 7.30",7.30 p.m.,['Mrs. Arnett'],,,"May 10, 1912"
May 17 1912,"North Shields, Boro ' Road","Fri. , May 17. - North Shields , Boro ' Road , 7.30 p.m.",7.30 p.m.,,,,"May 10, 1912"
May 11 1912,"York, Assembly Rooms","Sat. , May 11. - York , Assembly Rooms . Invitation Meeting . Miss Georgina Brackenbury . Chair , Mrs. W. Keith Rollo , 3.30 p.m.",3.30 p.m.,['Miss Georgina Brackenbury'],,,"May 10, 1912"
May 11 1912,"York, Exhibition Square","Exhibition Square . Miss Georgina Brackenbury . Chair , Miss Key - Jones , 8 p.m.",8 p.m.,['Miss Georgina Brackenbury'],,,"May 10, 1912"
May 14 1912,"York, Exhibition Square","Tues. , May 14. - Exhibition Square . Miss Key- Jones , Miss Agnes Suffield , 7.30 p.m.",7.30 p.m.,"['Miss Key-Jones', 'Miss Agnes Suffield']",,,"May 10, 1912"
May 14 1912,"Liverpool, 11, Renshaw Street","Tues. , May 14. - Liverpool , 11 , Renshaw Street . Mrs. Myers , Miss Morris , 8 p.m.",8 p.m.,"['Mrs. Myers', 'Miss Morris']",,,"May 10, 1912"
May 11 1912,"Dundee, Flower Market","Sat. , May 11. Stall at Flower Market , 2-10 p.m.",2-10 p.m.,,,,"May 10, 1912"
May 15 1912,"Blairgowrie, Photographic Rooms","Wed. , May 15. - Blairgowrie , Photographic Rooms . Mrs. Pertwee . Chair , Mrs. Kenny , 4 p.m.",4 p.m.,['Mrs. Pertwee'],,,"May 10, 1912"
May 15 1912,"Blairgowrie, Gilfillan Hall, Room 3","Gilfillan Hall , Room 3. Mrs. Pertwee , 8 p.m.",8 p.m.,['Mrs. Pertwee'],,,"May 10, 1912"
May 13 1912,"Pollokshields, Public Hall (Maxwell Park)","Mon. , May 13. - Pollokshields , Public Hall ( Maxwell Park ) . Mrs. Pertwee , Mrs. John . Chair , the Rev. David Graham , 8 p.m.",8 p.m.,"['Mrs. Pertwee', 'Mrs. John']",,,"May 10, 1912"
May 17 1912,"Glasgow, Charing Cross Halls","Fri. , May 17. - Glasgow , Charing Cross Halls . Mrs. Pertwee , 3.30 p.m.",3.30 p.m.,['Mrs. Pertwee'],,,"May 10, 1912"
May 29 1912,Kensington Town Hall,"The next public meeting will be held in Ken- sington Town Hall on Wednesday , May 29 , at 8 p.m. ( instead of May 20 as stated last week ) . Among the speakers will be : Miss Sylvia Pank- hurst , Mr. H. W. Nevinson , Mr. Frank Rutter , Mr. Victor Duval , and probably Dr. Brodie Pat- terson , who will speak from a spiritual point of view .",8 p.m.,"['Miss Sylvia Pankhurst', 'Mr. H. W. Nevinson', 'Mr. Frank Rutter', 'Mr. Victor Duval', 'Dr. Brodie Patterson']",,,"May 10, 1912"
May 14 1912,"London, 8 , Park Mansions Arcade",Mrs. Forsyth will be hostess at the office At Home on May 14 ; speeches at 4.15 p.m.,4.15 p.m.,,,['Mrs. Forsyth'],"May 10, 1912"
"May 13, 1912",London,"Opening Monday , May 13 , at 9 o'clock",9 o'clock,,,,"May 10, 1912"
