Date,Location,Raw,Speakers,Hosts,Issue date
JAN . 29,Newcastle,"Newcastle , 77 , Blackett - street . Miss L. Mitchell 8 p.m.",,,"January 24 , 1913"
JAN . 29,Newport,"Newport , Temperance Hall . At Home . Miss A. Williams 3.30 p.m.",,,"January 24 , 1913"
JAN . 29,Shrewsbury,"Shrewsbury , County Café . Miss Haly 8 p.m.",,,"January 24 , 1913"
JAN . 30,Edinburgh,"Edinburgh , 27 , Frederick - street . Mrs. Gough . Chair : Mrs. Blair 8 p.m.",,,"January 24 , 1913"
JAN . 30,Edinburgh,"Edinburgh , Grove - street Mission Hall . Mrs. Gough . Chair : Mrs. Charlton 8 p.m.",,,"January 24 , 1913"
JAN . 30,Eastbourne,"Eastbourne , 58A , Grove - road . Miss A. Kelly 8 p.m.",,,"January 24 , 1913"
JAN . 31,Blaengarw,Blaengarw . Miners ' Federation . Miss A. Williams . Chair : Miss H. Gelder 4-6 p.m.,,,"January 24 , 1913"
JAN . 31,Canterbury,"Canterbury , Westgate Tower . Miss Evelyn Billing 7.15 p.m.",,,"January 24 , 1913"
JAN . 31,Edinburgh,"Edinburgh , Wishart Church Hall , Tranent . Mrs. Gough . Chair : Mrs. Suffern 3 p.m.",,,"January 24 , 1913"
JAN . 31,Edinburgh,"Edinburgh , Fishermen's Hall , Cockenzie . Mrs. Gough . Chair : Mrs. Blair 8 p.m.",,,"January 24 , 1913"
