Date,Location,Raw,Description,Speakers,Issue date
SEPTEMBER 20,Banbury - Town Hall,"Banbury Town Hall - Miss A. Maude Royden, The Lady Knightley of Fawsley (chair) 8.0",,"['Miss A. Maude Royden', 'The Lady Knightley of Fawsley (chair)']","SEPTEMBER 12 , 1912"
SEPTEMBER 20,Keswick - Market Place,Keswick Market Place open-air meeting - Miss Muriel Matters 7.30,open - air meeting,['Miss Muriel Matters'],"SEPTEMBER 12 , 1912"
SEPTEMBER 20,Mapplewell,Mapplewell - Open-air meeting - Mrs. Chew 6.30,Open - air meeting,['Mrs. Chew'],"SEPTEMBER 12 , 1912"
SEPTEMBER 21,Muswell Hill - Durham House school,"Muswell Hill - Durham House school - Mrs. Power Sweeney's garden meeting - Mrs. Swanwick, H. G. Chancellor, Esq., M.P. 4.0",garden meeting,"['Mrs. Swanwick', 'H. G. Chancellor, Esq., M.P.']","SEPTEMBER 12 , 1912"
SEPTEMBER 21,Preston - Market Place,"Preston - Market Place open-air meeting - Mrs. Cooper, Miss C. Leadley Brown, Miss Deakin 6.0",open - air meeting,"['Mrs. Cooper', 'Miss C. Leadley Brown', 'Miss Deakin']","SEPTEMBER 12 , 1912"
SEPTEMBER 23,"N. Paddington - 47, Clifton Gardens, Maida Vale","N. Paddington - 47, Clifton Gardens, Maida Vale- Sewing meeting 2.30",Sewing meeting,,"SEPTEMBER 12 , 1912"
SEPTEMBER 23,"Nottingham - Office, 54, Long Row","Nottingham - Office, 54, Long Row- ""At home"" - Miss Quare (Ilkeston) 7-9.30","""At home""",['Miss Quare (Ilkeston)'],"SEPTEMBER 12 , 1912"
SEPTEMBER 24,"Schoolroom, 52, St. Martin's Lane, W.C.","Schoolroom, 52, St. Martin's Lane, W.C. - Westminster Women's Adult School - Miss Dawson 8.15",Westminster Women's Adult School,['Miss Dawson'],"SEPTEMBER 12 , 1912"
SEPTEMBER 24,Preston - Penwortham House,Preston - Penwortham House - drawing-room meeting -Miss A. Maude Royden 3.30,drawing - room meeting,['Miss A. Maude Royden'],"SEPTEMBER 12 , 1912"
SEPTEMBER 24,"Preston - Assembly Room, Public Hall","Preston - Assembly Room, Public Hall - Miss A. Maude Royden 7.45",,['Miss A. Maude Royden'],"SEPTEMBER 12 , 1912"
SEPTEMBER 24,Redhill - Market Hall,"Redhill - Market Hall - Lord Robert Cecil, M.P., Miss Frances Sterling, Mrs. Mackirdy (chair) 8.0",,"['Lord Robert Cecil, M.P.', 'Miss Frances Sterling', 'Mrs. Mackirdy (chair)']","SEPTEMBER 12 , 1912"
SEPTEMBER 25,Birmingham - Minworth Council School,Birmingham - Minworth Council School - Miss Helen Fraser 8.0,,['Miss Helen Fraser'],"SEPTEMBER 12 , 1912"
