Date,Location,Raw,Speakers,Issue date
"Monday , April 27",Kilburn,"Kilburn , Victoria Road , High Road . Miss Feek , Miss Dransfield ... 8 p.m.",,"April 24 , 1914"
"Monday , April 27",Knightsbridge Hall,"Knightsbridge Hall , W. Mrs. Mansel , Rev. J. F. Matthews . Chair : Mrs. Drummond ... 3.15 p.m.",,"April 24 , 1914"
"Tuesday , April 28",Cricklewood,"Cricklewood , Clock Tower . Miss Ennis , Miss Jacobs ... 3.15 p.m.",,"April 24 , 1914"
"Tuesday , April 28",Purley Tram Terminus,Purley Tram Terminus . Miss O. Greer ... 8 p.m.,,"April 24 , 1914"
"Wednesday , April 29",Chelsea,"Chelsea , World's End . Miss Sennett , Miss Haig ... 8.30 p.m.",,"April 24 , 1914"
"Wednesday , April 29",Hampstead,"Hampstead , 178 , Finchley Road . Annual Meeting ... 8 p.m.",,"April 24 , 1914"
"Wednesday , April 29",Willesden Green Library,"Willesden Green Library . Miss Coombs , Miss Pepper ... 8 p.m.",,"April 24 , 1914"
"Wednesday , April 29",South Wimbledon,"South Wimbledon , The Grove . Miss Richmond ... 7.30 p.m.",,"April 24 , 1914"
"Wednesday , April 29",Streatham,"Streatham , Streatham Hall , Blue Hall . Miss E. Wylie . Chair : Miss L. Tyson ... 8 p.m.",,"April 24 , 1914"
"Thursday , April 30",Battersea,"Battersea , Latchmere Baths . Mrs. Tyson ... 2.30 p.m.",,"April 24 , 1914"
"Thursday , April 30",Clapham,"Clapham , Oriental Café , The Pavement . Women's Meeting . Miss Agnes Kelly . Chair : Mrs. S. Barron ... 3 p.m.",,"April 24 , 1914"
"Thursday , April 30",Elysee Galleries,"Elysee Galleries , Queen's Road , Fay : water . Miss Amy Haughton , Miss Phyllis Ayrton . Chair : Miss D. Gordon ... 8 p.m.",,"April 24 , 1914"
"Thursday , April 30",Kilburn,"Kilburn , Lecture Room , 310 , High Road . Mrs. French ... 8 p.m.",,"April 24 , 1914"
"Thursday , April 30",Kilburn,"Kilburn , Lecture Room , 310 , High Road . Miss Marie Naylor ... 5.30 p.m.",,"April 24 , 1914"
"Friday , May 1",Balham,"Balham , Caistor Road . Miss Ennis ... 8 p.m.",,"April 24 , 1914"
"Friday , May 1",Chelsea,"Chelsea , 308 , King's Road . Speakers Class . Miss Ada Moore ... 6 p.m.",,"April 24 , 1914"
"Friday , May 1",Croydon,"Croydon , Katherine Street . Miss D , Gibbs ... 8 p.m.",,"April 24 , 1914"
"Friday , May 1",Harringay,"Harringay , Constitutional Hall , 657 , Green Lanes . Mrs. Drummond ... 8 p.m.",,"April 24 , 1914"
"Friday , May 1",Lincoln's Inn House,"Lincoln's Inn House , Kingsway . Speakers ' Class . Miss Rosa Leo ... 12.30 p.m.",,"April 24 , 1914"
"Friday , May 1",North Kensington,"North Kensington , corner of Blenheim Crescent and Portobello Road . Miss Palmer . Chair : Miss Chave ... 7.45 p.m.",,"April 24 , 1914"
"Friday , May 1",Sloane Square,"Sloane Square . Mrs. Temple Bird , Miss Fedden ... 3.15 p.m.",,"April 24 , 1914"
"Friday , May 1",West Ealing,"West Ealing , opposite Ye Olde Hatte . Mrs. Tidswell ... 8 p.m.",,"April 24 , 1914"
"Friday , May 1",West Ham,"West Ham , The Grove , Stratford . Miss Barry . Miss Watts ... 7.30 p.m.",,"April 24 , 1914"
"Friday , May 1",Wimbledon,"Wimbledon , Queen's Hall , Broadway . Miss E. Green , Mr. T. Tolman ... 8.15 p.m.",,"April 24 , 1914"
"Friday , April 24",Birmingham,"Birmingham , Stirchley . Miss Haly , Miss Morley ... 8 p.m.",,"April 24 , 1914"
"Friday , April 24",Cork,"Cork , City Hall , Council Chamber . Miss Lennox and others ... 8 p.m.",,"April 24 , 1914"
"Friday , April 24",Nottingham,"Nottingham , Market Place . Miss C. A. L. Marsh ... 8 p.m.",,"April 24 , 1914"
"Monday , April 27",Birmingham,"Birmingham , Alum Rock . Miss Eastgate , Miss Pomphrey ... 8 p.m.",,"April 24 , 1914"
"Monday , April 27",Nottingham,"Nottingham , 31 , Derby Road . Miss Lawrence ... 8 p.m.",,"April 24 , 1914"
"Monday , April 27",Nottingham,"Nottingham , St. Matthias Brotherhood . Miss C. A. L. Marsh ... 8 p.m.",,"April 24 , 1914"
"Tuesday , April 28",Birmingham,"Birmingham , Blue Gates , Smethwick . Mrs. Hodges , Miss Eastgate ... 8 p.m.",,"April 24 , 1914"
"Tuesday , April 28",Birmingham,"Birmingham , Bull Ring . Miss Haly , Miss Stanley ... 8 p.m.",,"April 24 , 1914"
"Tuesday , April 28",Birmingham,"Birmingham , Farm Road , off Stratford Road . Miss Bray , Miss Pomphrey ... 8 p.m.",,"April 24 , 1914"
"Tuesday , April 28",Birmingham,"Birmingham , Whitehall Road , Handsworth . Miss Morley , Miss Jack ... 8 p.m.",,"April 24 , 1914"
"Wednesday , April 29",Birmingham,"Birmingham , Stirchley Institute . Mrs. Drummond , Mrs. Impey ... 8 p.m.",,"April 24 , 1914"
"Thursday , April 30",Birmingham,"Birmingham , Whitehall Road , Handsworth . Miss Jack ... 8 p.m.",,"April 24 , 1914"
"Thursday , April 30",Birmingham,"Birmingham , Blue Gates , Smethwick . Miss Morley , Miss Stanley ... 8 p.m.",,"April 24 , 1914"
"Thursday , April 30",Birmingham,"Birmingham Bull Ring . Miss Bray , Miss Baker ... 8 p.m.",,"April 24 , 1914"
"Thursday , April 30",Birmingham,"Birmingham , Farm Road , off Stratford Road . Mrs. Hodges , Miss Pomphrey ... Miss Eastgate , 8 p.m.",,"April 24 , 1914"
"Thursday , April 30",Edinburgh,"Edinburgh , 27 , Frederick Street , Women's Meeting . Mrs. Matheson ... 3 p.m.",,"April 24 , 1914"
"Thursday , April 30",Glasgow,"Glasgow , Paisley , Central Halls , Smithhills . Mrs. Russell , Miss A. Perry ... 8.30 p.m.",,"April 24 , 1914"
"Friday , May 1",Cambridge,"Cambridge , Romsey Town Institute . Miss G. Richard",,"April 24 , 1914"
