Date,Location,Raw,Description,Speakers,Hosts,Issue date
NOVEMBER 22,Wokingham - Town Hall,"Wokingham - Town Hall - Lady Willoughby de Broke , J. Cameron Grant , Esq . , Mrs. Robie Uniacke , Sir Donald Robertson ( chair ) .",,"['Lady Willoughby de Broke', 'J. Cameron Grant , Esq .', 'Mrs. Robie Uniacke', 'Sir Donald Robertson']",,"NOVEMBER 9 , 1911"
November 9,"Rotherhithe , Miss A. Martin's Drawing - room","November 9 : Rotherhithe , Miss A. Martin's Drawing - room Meeting for L.C.C. Teachers , Miss J. Thomson .",Meeting for L.C.C. Teachers,['Miss J. Thomson'],,"NOVEMBER 9 , 1911"
November 9,"Camberwell , Tintagel Crescent","Camberwell , Tintagel Crescent , Open - air Meeting , Mr. Gugenheim .",Open-air Meeting,['Mr. Gugenheim'],,"NOVEMBER 9 , 1911"
November 9,"S. Paddington , 46 , Queen's Road","S. Paddington , 46 , Queen's Road , Lecture- "" Pit - brow Women's Work , "" Miss Roper .",Lecture- Pit-brow Women's Work,['Miss Roper'],,"NOVEMBER 9 , 1911"
November 10,"N. Paddington , 11 , Lauderdale Parade , Maida Vale","November 10 : N. Paddington , 11 , Lauderdale Parade , Maida Vale , Social Meeting , Mrs. Morgan Dockerell , C. Hicks Bolton , Esq . , M.A. ( chair ) .",Social Meeting,"['Mrs. Morgan Dockerell', 'C. Hicks Bolton, Esq., M.A.']",,"NOVEMBER 9 , 1911"
November 11,"Sutton, Small Masonic Hall","November 11 : Sutton , Small Masonic Hall , Cake and Candy Sale .",Cake and Candy Sale,,,"NOVEMBER 9 , 1911"
November 13,"Central Hackney, Mrs. Gimingham's Meeting","November 13 : Central Hackney , Mrs. Gimingham's Meeting , Miss G. Dykes Spicer .",,['Miss G. Dykes Spicer'],,"NOVEMBER 9 , 1911"
November 13,"Camberwell, 38, The Gardens, E. Dulwich","Camberwell , 38 , The Gardens , E. Dulwich , Meeting for Members and Friends , Mrs. Stanbury .",Meeting for Members and Friends,['Mrs. Stanbury'],,"NOVEMBER 9 , 1911"
November 13,"Wandsworth, Town Hall","Wandsworth , Town Hall , Annual Conversazione , the Lady Frances Balfour , Rev. W. Reed , M.A. ( chair ) , Recitations by Miss Winifred Mayo .",Annual Conversazione,"['The Lady Frances Balfour', 'Rev. W. Reed, M.A.', 'Miss Winifred Mayo']",,"NOVEMBER 9 , 1911"
November 14,Caxton Hall,"November 14 : Caxton Hall , London Society's Annual Meeting , the Lady Frances Balfour ( chair ) .",London Society's Annual Meeting,['The Lady Frances Balfour'],,"NOVEMBER 9 , 1911"
November 15,"W. St. Pancras, Mrs. Mayman's Drawing-room","November 15 : W. St. Pancras , Mrs. Mayman's Drawing - room Meet- ing , Miss Cockle .",,['Miss Cockle'],,"NOVEMBER 9 , 1911"
November 15,"Enfield, St. Matthew's Vicarage, Mrs. Johnson's Drawing-room","November 15 : Enfield , St. Matthew's Vicarage , Mrs. Johnson's Drawing - room Meeting , Miss Cockle .",,['Miss Cockle'],,"NOVEMBER 9 , 1911"
November 15,"N. Hackney, Mrs. Frank Bishop's Drawing-room","N. Hackney , Mrs. Frank Bishop's Drawing - room Meeting , Miss Eve , Mrs. Gimingham , Mrs. Challis .",,"['Miss Eve', 'Mrs. Gimingham', 'Mrs. Challis']",,"NOVEMBER 9 , 1911"
November 17,"Sutton, Miss Close's Drawing-room","November 17 : Sutton , Miss Close's Drawing - room Meeting .",Drawing-room Meeting,,,"NOVEMBER 9 , 1911"
November 17,"Islington, Beale's Rooms, Holloway Road","Islington , Beale's Rooms , Holloway Road , Local Com- mittee "" At Home , "" Mrs. Wills , Rev. A. A. Charles- 4-10 worth , Malcolm Mitchell , Esq . , and others .","Local Committee ""At Home""","['Mrs. Wills', 'Rev. A.A. Charlesworth', 'Malcolm Mitchell, Esq.']",,"NOVEMBER 9 , 1911"
November 17,"Epsom, King's Head Assembly Rooms","Epsom , King's Head Assembly Rooms , Reception , the Lady Frances Balfour , Miss Mildred Watson , Mrs. Langdon Davies ( chair ) .",Reception,"['The Lady Frances Balfour', 'Miss Mildred Watson', 'Mrs. Langdon Davies']",,"NOVEMBER 9 , 1911"
November 21,"Empress Rooms, Royal Palace Hotel, Kensington","November 21 : Empress Rooms , Royal Palace Hotel , Kensington , London Society's Reception , Miss Frances Sterling , Mrs. Rackham , Miss C. Macmillan , Mrs. Theodore Williams ( chair ) .",London Society's Reception,"['Miss Frances Sterling', 'Mrs. Rackham', 'Miss C. Macmillan', 'Mrs. Theodore Williams']",,"NOVEMBER 9 , 1911"
November 9,"Berwickshire, Coldstream",""" 2 November 9 : Berwickshire , Coldstream , Sale of Work to be opened by Dr. Elsie Inglis .",Sale of Work to be opened by Dr. Elsie Inglis,,,"NOVEMBER 9 , 1911"
November 9,"Innerleithen, Parish Church Hall","Innerleithen , Parish Church Hall , Miss Abadam .",,['Miss Abadam'],,"NOVEMBER 9 , 1911"
November 10,"Glasgow, 202, Hope Street","November 10 : Glasgow , 202 , Hope Street , Miss Morrison's "" At Home .","""At Home""",,['Miss Morrison'],"NOVEMBER 9 , 1911"
November 10,"Edinburgh, 40, Shandwick Place","Edinburgh , 40 , Shandwick Place , "" At Home , "" Mrs. Melville .","""At Home""",,['Mrs. Melville'],"NOVEMBER 9 , 1911"
November 17,"Glasgow, 202, Hope Street, Mrs. Taylor's Home","November 17 : Glasgow , 202 , Hope Street , Mrs. Taylor's Home . '","""At Home""",,['Mrs. Taylor'],"NOVEMBER 9 , 1911"
November 20,"Falkirk, Lower Institute Hall","November 20 : Falkirk , Lower Institute Hall , Miss Alice Low .",,['Miss Alice Low'],,"NOVEMBER 9 , 1911"
November 9,"Dublin, 35, Molesworth Street","November 9 : Dublin , 35 , Molesworth Street , Irish W.S. and Local Gov. Ass . , Committee Meeting .","Irish W.S. and Local Gov. Ass., Committee Meeting",,,"NOVEMBER 9 , 1911"
November 9,"Wakefield, Co-operative Stores","ADDRESSED BY MEMBERS OF THE UNION . November 9 : Wakefield , Co - operative Stores , Miss I. O. Ford .",,['Miss I.O. Ford'],,"NOVEMBER 9 , 1911"
November 10,"Oldham, Hollinwood Church Institute Mutual Improvement Society","November 10 : Oldham , Hollinwood Church Institute Mutual Im- provement Society , Mrs. Fletcher , Miss Margory Lees ( chair ) .",,"['Mrs. Fletcher', 'Miss Margory Lees']",,"NOVEMBER 9 , 1911"
November 10,"Birkenhead, Brassey Street Institute","Birkenhead , Brassey Street Institute , "" Y "" Branch B.W.T.A. , Miss Wyse .",,['Miss Wyse'],,"NOVEMBER 9 , 1911"
November 10,"Brighton , United Methodist Church , Stamford Avenue","November 10 : Brighton , United Methodist Church , Stamford Avenue , Preston Branch B.W.T.A. , Miss N. O'Shea .",,"[""Miss N. O'Shea""]",,"NOVEMBER 9 , 1911"
November 11,"Hull , Oddfellows ' Hall","November 11 : Hull , Oddfellows ' Hall , Hull and District Teachers ' Association , Mrs. Lucan - Davies , M.A.",,"['Mrs. Lucan-Davies, M.A.']",,"NOVEMBER 9 , 1911"
November 12,"Oldham , I.L. P. Rooms , Union Street","November 12 : Oldham , I.L. P. Rooms , Union Street , Mrs. Jagger .",,['Mrs. Jagger'],,"NOVEMBER 9 , 1911"
November 15,"Grantham , Co - operative Hall","November 15 : Grantham , Co - operative Hall , Co - operative Guild Meeting , Mrs. Renton .",,['Mrs. Renton'],,"NOVEMBER 9 , 1911"
November 15,"Liverpool , Walton Methodist Chapel","Liverpool , Walton Methodist Chapel Young People's Debating Society , Miss C. Leadley Brown .",,['Miss C. Leadley Brown'],,"NOVEMBER 9 , 1911"
November 15,Ashton,"Ashton , Young Liberal Association , Miss Margaret Robertson , B.A.",,"['Miss Margaret Robertson, B.A.']",,"NOVEMBER 9 , 1911"
November 19,"West Bromwich , Labour Church","November 19 : West Bromwich , Labour Church , Mrs. Ring .",,['Mrs. Ring'],,"NOVEMBER 9 , 1911"
November 19,"Bradford, Horton Lane Congregational Church","Bradford , Horton Lane Congregational Church , Miss I. O. Ford .",,['Miss I.O. Ford'],,"NOVEMBER 9 , 1911"
November 20,"Leeds, Armley Liberal Club","November 20 : Leeds , Armley Liberal Club , National League of Young Liberals , Mrs. Parrish .",,['Mrs. Parrish'],,"NOVEMBER 9 , 1911"
November 21,"Bristol , Anglesea Place Schoolroom , Clifton Ward","November 21 : Bristol , Anglesea Place Schoolroom , Clifton Ward Liberal Association , Debate "" The Conciliation Bill , "" Miss Helen Sturge .","Debate ""The Conciliation Bill""",['Miss Helen Sturge'],,"NOVEMBER 9 , 1911"
November 21,"Shirehampton , Women's Co - operative Society","Shirehampton , Women's Co - operative Society , Miss G. M. Williams .",,['Miss G.M. Williams'],,"NOVEMBER 9 , 1911"
November 9,"Poplar, Presbyterian Settlement","November 9 : Poplar , Presbyterian Settlement , Miss M. Martineau .",,['Miss M. Martineau'],,"NOVEMBER 9 , 1911"
November 9,"West Southwark, Liberal Association","West Southwark , Liberal Association , Miss Fielden .",,['Miss Fielden'],,"NOVEMBER 9 , 1911"
November 10,"Rotherhithe, Liberal, Radical and Progressive Association, 106, Union Road, S.E.","November 10 : Rotherhithe , Liberal , Radical and Progressive Asso- ciation , 106 , Union Road , S. E. , Miss Helen Ward .",,['Miss Helen Ward'],,"NOVEMBER 9 , 1911"
November 12,"West Central Club, 8, Dean Street, Oxford Street","November 12 : West Central Club , 8 , Dean Street , Oxford Street , Miss M. Fielden ,",,['Miss M. Fielden'],,"NOVEMBER 9 , 1911"
November 12,"Dulwich I.L.P., Hansler Hall, Hansen Road","Dulwich I.L.P. , Hansler Hall , Hansen Road , Miss Ruth Young .",,['Miss Ruth Young'],,"NOVEMBER 9 , 1911"
November 13,"Millwall, Wesleyan Chapel, Alpha Road","November 13 : Millwall , Wesleyan Chapel , Alpha Road , Women's Meeting , Mrs. Foulkes .",Women's Meeting,['Mrs. Foulkes'],,"NOVEMBER 9 , 1911"
November 13,"Mile End , Lycett Chapel , Mile End Road","Mile End , Lycett Chapel , Mile End Road , Mrs. Rogers .",,['Mrs. Rogers'],,"NOVEMBER 9 , 1911"
November 13,"Stepney, Central Hall, 583, Commercial Road","Stepney , Central Hall , 583 , Commercial Road , B.W.T.A. , Miss Fielden .",,['Miss Fielden'],,"NOVEMBER 9 , 1911"
November 13,"Mile End, Women's Liberal Association","Mile End , Women's Liberal Association , Miss Fielden .",,['Miss Fielden'],,"NOVEMBER 9 , 1911"
November 13,"Southwark, Medical Hall, Guy's Hospital","Southwark , Medical Hall , Guy's Hospital Debate , Miss J. Thomson .",Debate,['Miss J. Thomson'],,"NOVEMBER 9 , 1911"
November 15,"Enfield , St. Paul's Literary Society","November 15 : Enfield , St. Paul's Literary Society , Mrs. Stanbury , Miss Mabel Smith , on the Conciliation Bill .",,"['Mrs. Stanbury', 'Miss Mabel Smith']",,"NOVEMBER 9 , 1911"
November 15,"Stepney , 587 , Commercial Road","Stepney , 587 , Commercial Road , "" Mothers ' Wel- come , "" Miss Helen Ward .",Mothers' Welcome,['Miss Helen Ward'],,"NOVEMBER 9 , 1911"
November 16,"Mile End , Latimer Hall , Bridge Street","November 16 : Mile End , Latimer Hall , Bridge Street , B.W.T.A. , Miss Rinder .",,['Miss Rinder'],,"NOVEMBER 9 , 1911"
November 16,"Hoxton , Market Ragged School Mission","Hoxton , Market Ragged School Mission , Miss Janet Thomson .",,['Miss Janet Thomson'],,"NOVEMBER 9 , 1911"
November 16,"Wimbledon , Queen Mary's Hospital for Children , Carshalton","Wimbledon , Queen Mary's Hospital for Children , Carshalton , Meeting for Nurses , Mrs. Stanbury .",Meeting for Nurses,['Mrs. Stanbury'],,"NOVEMBER 9 , 1911"
November 16,"Westminster , Liberal Association","Westminster , Liberal Association , Miss Helen Ward .",,['Miss Helen Ward'],,"NOVEMBER 9 , 1911"
November 16,"Epsom , St. John's Dorcas Society","Epsom , St. John's Dorcas Society , "" Women as Citizens , "" Miss M. Martineau .",Women as Citizens,['Miss M. Martineau'],,"NOVEMBER 9 , 1911"
