Date,Location,Speakers,Raw,Time,Hosts,Description,Issue date
1907-10-16,"4, Trafalgar Studios, Chelsea, London",['Mrs. Martel'],"Oct. 16 Chelsea, Drawing-room Meet-Mrs. Pethick Lawrence ing, 4. Trafalgar Studios Mrs. Martel",,[],,
1907-10-16,Ipswich,"['Mrs. Pethick Lawrence', 'Mrs. Pankhurst']","Oct. 16 Ipswich Mrs. Pethick Lawrence, Mrs. 3-6. Pankhurst",3-6.,[],,
1907-10-17,"Grand Hotel, Birmingham",[],"Oct. 17 Birmingham, ""At Home,"" Mrs. Pethick Lawrence, Mrs. 3-6. Grand Hotel Pankhurst",3-6.,"['Mrs. Pethick Lawrence', 'Mrs. Pankhurst']",,
1907-10-17,"Grand Hotel, Birmingham",[],"On October 17 Mrs. Pankhurst and Mrs. Pethick
Lawrence are giving an ""At Home"" at the Grand Hotel,
Birmingham.",,"['Mrs. Pankhurst', 'Mrs. Pethick Lawrence']",,
1907-10-17,"4, Clements-inn, London",[],"Oct. 17 London, 4, Clements-inn ""At 8-10. Home",8-10.,[],,
1907-10-18,"Barnes Pond, London",['Open-air Meeting'],Oct. 18 Barnes Pond Open-air Meeting 7-30.,7-30.,[],,
1907-10-19,Wimbledon,[],"The dates so far fixed in October are October 5, to
Woolwich-square, and October 19, to Wimbledon.",,[],,
1907-10-20,"Hyde Park, London",['Miss C. H. Pankhurst'],Oct. 20 London Hyde Park Miss C. H. Pankhurst 3.,3.,[],,
1907-10-20,"Victoria Park, London",['Mrs. Baldock'],"Oct. 20 London, Victoria Park Mrs. Baldock 3-30.",3-30.,[],,
1907-10-20,Sowerby Bridge,['Miss A. Pankhurst'],Oct. 20 Sowerby Bridge Miss A. Pankhurst 3,3,[],,
1907-10-21,"4. Clements-inn, London",[],"Oct. 21 London, 4. Clements-inn, ""At Mrs. Pethick Lawrence 4-6. Home",4-6.,['Mrs. Pethick Lawrence'],,
1907-10-21,"4, Clements-inn, London",[],"Oct. 21 London, 4. Clements-inn, Even- Mrs. Baldock 8 p.m. ing Meeting",8 p.m.,['Mrs. Baldock'],,
1907-10-22,Liverpool,['Mrs. Pankhurst'],Oct. 22 Liverpool Mrs. Pankhurst 7-30.,7-30.,[],,
1907-10-22,Liverpool,[],"During the third week of October Mrs. Pethick
Lawrence is undertaking a campaign in Lancashire, com-mencing with a meeting in Liverpool on October 22",,[],,
1907-10-22,"Congregational Church, Radlett",['Miss Macaulay'],Oct. 22 Radlett Congregational Church Miss Macaulay 7.30.,7.30.,[],,
1907-10-22,"Congregational Church, Radlett",['Miss Macaulay'],"and on October 22
Miss Macaulay is addressing an audience in the Radlett
Church belonging to the same denomination.",,[],,
1907-10-23,"Weimar-road, Putney, London",[],"Oct. 23 Putney, Weimar-road Open-air Meeting 7.30.",7.30.,[],,
1907-10-23,"corner of Elgin-avenue and Walterton-road, Paddington, London",[],"Oct. 23 Paddington, corner of Elgin-Open-air Meeting. 7.30. avenue and Walterton-road",7.30.,[],Open-air Meeting,
1907-10-24,"Kensington, London",['Miss C. H. Pankhurst'],Oct. 24 Kensington Miss C. H. Pankhurst 8-ю,8-ю,[],,
1907-10-24,"Kensington Town Hall, Kensington, London",[],"Two large meetings have been planned, one in Kensington
Town Hall on October 24",,[],,
1907-10-24,Manchester,[],"Man-chester the 24th, while Friday the 25th is fixed for a
grand demonstration in the Free Trade Hall",,[],,
1907-10-25,"Free Trade Hall, Manchester",[],"Man-chester the 24th, while Friday the 25th is fixed for a
grand demonstration in the Free Trade Hall",,[],grand demonstration,
1907-10-26,"Sloane square, London",[],Oct. 20 Suffragette Scouts meet Sloane 3 p.m. square,3 p.m.,[],Suffragette Scouts meet,
1907-10-27,"Hyde Park, London","['Mrs. Pankhurst', 'Mrs. Baldock']","Oct. 27 London, Hyde Park Mrs. Pankhurst, Mrs. Baldock 3.30.",3.30.,[],,
1907-10-27,"Victoria Park, London",['Pankhurst'],"Oct. 27 London, Victoria Park Pankhurst 4-6.",4-6.,[],,
1907-10-27,Redhill,[],"Oct. 27 Meeting, Redhill",,[],,
1907-10-28,"4, Clements-inn, London",[],"Oct. 28 London, 4, Clements-inn, ""At Mrs. Pethick Lawrence, Mrs 8 p.m. Home"" Pankhurst",8 p.m.,"['Mrs. Pethick Lawrence', 'Mrs. Pankhurst']",,
1907-10-28,"4, Clements-inn, London",[],"Cct. 28 London, 4. Clements-inn, Even- Mrs. Baldock 8 p.m. ing Meeting",8 p.m.,['Mrs. Baldock'],,
1907-10-28,Reigate,['Mrs. Martel'],Oct. 28 Reigate Mrs. Martel 7-30.,7-30.,[],,
1907-10-29,Brighton,['Mrs. Martel'],Oct. 29 Brighton Mrs. Martel 7.30.,7.30.,[],,
1907-10-29,"Theosophical Hall, Leeds",['Mrs. Pankhurst'],"Oct. 29 Leeds, Theosophical Hall Mrs. Pankhurst 7-30",7-30,[],,
1907-10-30,"Temperance Hall, Keighley",['Mrs. Martel'],"Oct. 30 Keighley, Temperance Hall Mrs. Martel 7-30",7-30,[],,
1907-10-30,"Weimar-road, Putney, London",[],"Oct. 30 Putney, Weimar-road Open-air Meeting 7-30",7-30,[],,
1907-10-30,"corner of Elgin-avenue and Walterton-road, Paddington, London",[],"Oct. 30 Paddington, corner of Elgin-Open-air Meeting avenue and Walterton-road",7-30,[],,
1907-10-31,"Bowes Park, Brighouse",['Mrs. Martel'],"Oct. 31 Brighouse, Bowes Park Mrs. Martel",,[],,
1907-11-11,"Queen's Hall, London","['Mrs. Pethick Lawrence', 'Miss Annie Kenney', 'Miss Mary E. Gawthorpe', 'Mrs. Martel', 'Miss C. H. Pankhurst']","NOV. I QUEEN'S HALL MEETING, 8 p.m.
LONDON. Mrs. Pankhurst.
Chairman:-
Speakers: Mrs. Pethick
Lawrence, Miss Annie
Kenney, Miss Mary E. Gaw-thorpe, Mrs. Martel, Miss C.
H. Pankhurst",8 p.m.,['Mrs. Pankhurst'],,
1907-11-04,London,[],"On Monday, November 4, we hope to hold a ""Rummage
Sale,"" in order to raise funds for our work.",,[],,
1907-11-06,"Harrow-road, London",[],"Our autumn campaign starts October 2 with a meeting in
the Norman Hall, Harrow-road, Mrs. Drummond and Miss
Nellie Kenney are to speak, while I act as ""chairman.""
We have November 6 and December 4 booked for meetings,",,[],,
1907-11-08,Bristol,[],"I have already referred to the meet-ing in Birmingham on November 20, and that in Bristol
on November 8.",,[],,
1907-11-08,Bristol,[],"Miss Nell Kenney is going to Bristol to work up a big
meeting which is to be held there on November 8-the
same day on which the Prime Minister is to visit the town.",,[],,
1907-11-11,"Queen's Hall, London","['Mrs. Pankhurst', 'Mrs. Pethick Lawrence', 'Miss Annie Kenney', 'Mrs. Martel', 'myself', 'Mary E. Gawthorpe']","And finally there is the public meeting in the Queen's Hall,
London, on Monday, November 11, at 8 p.m., when Mrs.
Pankhurst, Mrs. Lawrence, Miss Annie Kenney, Mrs.
Martel, and myself will be among the speakers, and when
we hope to welcome back to our active ranks our com-rade Mary E. Gawthorpe.",8 p.m.,[],,
1907-11-14,"Free Trade Hall, Leicester, London",[],"In addition, our energetic workers in
Leicester are busy preparing for a great demonstration
on November 14 in the Free Trade Hall, Leicester, which
will be addressed by Mrs. Pethick Lawrence and myself.",,[],,
1907-11-20,"Town Hall, Birmingham",[],"Mrs. Baines will shortly be going to that
town to arouse among the women there fresh interest in
the suffrage, and it is hoped that following on the ""At
Home"" there will be a very large number of people in
the Town Hall at the big meeting on November 20.",,[],,
1907-11-20,Birmingham,[],"I have already referred to the meet-ing in Birmingham on November 20, and that in Bristol
on November 8.",,[],,
1907-12-04,"Harrow-road, London",[],"Our autumn campaign starts October 2 with a meeting in
the Norman Hall, Harrow-road, Mrs. Drummond and Miss
Nellie Kenney are to speak, while I act as ""chairman.""
We have November 6 and December 4 booked for meetings,",,[],,
1907-12-10,"Queen's Gate Hall, Kensington, London",[],"Two large meetings have been planned, one in Kensington
Town Hall on October 24 and one in the Queen's Gate Hall on
December 10, fuller particulars of which will be announced
later. L. Μ. ΕATES, Hon, Sec.",,[],,
