Date,Location,Raw,Speakers,Hosts,Issue date
MARCH 11,High Wycombe,"8.0 High Wycombe - Town Hall, the Rev. R. C. Gillie and the Rev. Claude Hinscliff on ""The Religious Aspect of the Woman's Movement"" - Chair, the Rev. Canon Rushby","['Rev. R. C. Gillie', 'Rev. Claude Hinscliff']",,"MARCH 6 , 1914"
MARCH 11,Manchester,"8.0 Manchester - Milton Hall, Deansgate - Miss W. A. Elkin on ""The Economic Disabilities of Women""",['Miss W. A. Elkin'],,"MARCH 6 , 1914"
MARCH 11,Newbury,"7.30 Newbury - Temperance Hall Meeting for Members and ""Friends"" -Speaker, Miss V. Eustace (of Wokingham) -Music, tea",['Miss V. Eustace'],,"MARCH 6 , 1914"
MARCH 11,St. Minver,"850 St. Minver - Tredizzick Schoolroom -- Speaker, Miss M. Matters - Chair, Mrs. Macmillan",['Miss M. Matters'],,"MARCH 6 , 1914"
MARCH 11,Sheffield,"7.30 Sheffield - Brinkburn, Dore Drawing - room Meeting Speaker, Miss G. Cooke",['Miss G. Cooke'],,"MARCH 6 , 1914"
MARCH 11,Sowerby Bridge,"8.0 Sowerby Bridge - Industrial Hall - Speakers, Mrs. Henry Fawcett, LL.D., and Miss I. O. Ford - Chair, Mr. Dugdale, C.C.","['Mrs. Henry Fawcett', 'Miss I. O. Ford']",,"MARCH 6 , 1914"
MARCH 11,Tiverton,"8.0 Tiverton - Heathcoat Hall - Speaker, Mrs. Rackham - Chair, Mr. H. Acland Troyte",['Mrs. Rackham'],,"MARCH 6 , 1914"
MARCH 11,Winchester,"7.30 Winchester - Oddfellows' Hall, St. George's Street - The Countess of Selborne on ""Result of Women's Votes in Legislation for Children in the Colonies and America""",['Countess of Selborne'],,"MARCH 6 , 1914"
MARCH 11,York,"5.30 York Haverford"" -Hostess, Mrs. F. Rown- tree Meeting for Friends of Women's Suffrage -Speaker, Mrs. Earp",['Mrs. Earp'],,"MARCH 6 , 1914"
MARCH 12,Bodmin,"3.0 Bodmin Public Rooms - Speaker, Mrs. Rack- ham",['Mrs. Rackham'],,"MARCH 6 , 1914"
MARCH 12,Chippenham,"2.30 Chippenham Town Hall - Speaker, Miss H. Fraser",['Miss H. Fraser'],,"MARCH 6 , 1914"
MARCH 12,Eastbourne,"8.0 Eastbourne - Suffrage Club - Hostess, Mrs. Stracey - Debate on ""Is Tax Resistance Justifi- able ?""",,,"MARCH 6 , 1914"
MARCH 12,East Bristol,4.0 East Bristol - Discussion Class,,,"MARCH 6 , 1914"
MARCH 12,Great Missenden,"8.0 Great Missenden - Miss Penrose Philp on ""Poor Law Children""",['Miss Penrose Philp'],,"MARCH 6 , 1914"
MARCH 12,Harrogate,"3.0 Harrogate Crown Hotel - Speakers, Mrs. Fawcett, LL.D., and Miss G. Cooke","['Mrs. Fawcett', 'Miss G. Cooke']",,"MARCH 6 , 1914"
MARCH 12,Middlesbrough,"8.0 Middlesbrough - Speaker, Mrs. Earp - Chair, Councillor Scholes",['Mrs. Earp'],,"MARCH 6 , 1914"
MARCH 12,Oxford,"3.30 Oxford - Hostess, Miss Venables Speaker, Miss H. Gill",['Miss H. Gill'],,"MARCH 6 , 1914"
MARCH 12,Plymouth,"8.0 Plymouth - Corn Exchange - Speaker, Miss M. Matters",['Miss M. Matters'],,"MARCH 6 , 1914"
MARCH 12,St. Ives,"3.0 St. Ives - Public Hall - Mrs. Rackham on ""The State and the Child""",['Mrs. Rackham'],,"MARCH 6 , 1914"
MARCH 12,Wallasey and Wirral,"8.0 Wallasey and Wirral- ""Heswall"" Drawing- room Meeting - Hostess, Mrs. Williams - Miss McConnell on ""Women in Industry""",['Miss McConnell'],,"MARCH 6 , 1914"
MARCH 12,Westcliff,"3.0 Westcliff - Suffrage Tea - Hostess, Mrs. Holgate",,,"MARCH 6 , 1914"
MARCH 13,Budleigh Salterton,"8.0 Budleigh Salterton - Public Rooms - Speaker, Mrs. Rackham",['Mrs. Rackham'],,"MARCH 6 , 1914"
MARCH 13,Limpley Stoke,"5.15 Limpley Stoke - Schoolroom - Speaker, Miss H. Fraser - Chair, the Rev. Morgan Powell",['Miss H. Fraser'],,"MARCH 6 , 1914"
MARCH 13,Saltash,"8.0 Saltash - Star Hall - Speaker, Miss M. Matters",['Miss M. Matters'],,"MARCH 6 , 1914"
MARCH 6,Edinburgh,"4.30 Edinburgh - 40, Shandwick Place - At Home- Miss Lisa M.Gordon on ""Leith By - election""",['Miss Lisa M. Gordon'],,"MARCH 6 , 1914"
MARCH 6,Glasgow,"3.0 Glasgow - Charing Cross Halls - Public Meet- ing Speaker, as advertised in Glasgow Herald",,,"MARCH 6 , 1914"
MARCH 6,Glasgow,"8.0 Junior Imperialist Club, Mulberry Hall- Speaker, Miss Lucy Shakespeare - Whist Drive",['Miss Lucy Shakespeare'],,"MARCH 6 , 1914"
MARCH 7,Dunfermline,00 Dunfermiine - Entertainment - Cake and Candy Sale,,,"MARCH 6 , 1914"
MARCH 7,Paisley,88 Paisley - Cake and Candy Sale - Opened by Miss Macfarlane Park,,,"MARCH 6 , 1914"
MARCH 9,Alloa,"8.0 Alloa - Museum Hall - Miss Alice Low on ""How Women's Suffrage won Benefit in the State""",['Miss Alice Low'],,"MARCH 6 , 1914"
MARCH 9,Edinburgh,"8.0 Edinburgh - E.N.S. Debating Society - Subject, ""Should Women Sit in Parliament ?"" - For: Mrs. Eddington - Against: Mr. Geo. Nicolson, L.D.S.","['Mrs. Eddington', 'Mr. Geo. Nicolson']",,"MARCH 6 , 1914"
MARCH 9,Gourock,8.0 Gourock - Gamble Institute - Social Evening,,,"MARCH 6 , 1914"
MARCH 10,Kilmarnock,"8.0 Kilmarnock Suffrage Rooms, Rogerson's Build- ings - Speaker, Miss Alice Crompton, M.A.",['Miss Alice Crompton'],,"MARCH 6 , 1914"
MARCH 11,Alloa,"8.0 Alloa - Miss Alice Low on ""How Women's Suffrage will Benefit the State""",['Miss Alice Low'],,"MARCH 6 , 1914"
MARCH 13,Edinburgh,"4.30 Edinburgh 40, Shandwick Place - At Home- Mrs. Shaw Maclaren on ""What the Woman's Movement Means to Some of Us""",['Mrs. Shaw Maclaren'],,"MARCH 6 , 1914"
