Date,Location,Raw,Description,Hosts,Speakers,Issue date
JULY 12,Birmingham,"Birmingham - 24 , Chad Road , Edgbaston - Speakers ' Class- Hostess , Mrs. Reid - Miss Fry .",Speakers ' Class,['Mrs. Reid'],['Miss Fry'],"JUNE 29 , 1911"
JULY 15,"Manchester The Firs, Fallowfield","Manchester The Firs , Fallowfield ( kindly lent by C. P. Scott , Esq . ) Garden Party - Tickets 3s . 6d .",Garden Party,,,"JUNE 29 , 1911"
JULY 15,Reigate,"Reigate "" Hethersett "" - Garden Fête Speeches by Mrs. Dempster .",Garden Fête,,['Mrs. Dempster'],"JUNE 29 , 1911"
JULY 19,"Norwich - Southwell Lodge, Ipswich Road","Norwich - Southwell Lodge , Ipswich Road - Miss E. L. Willis's At Home for Members .",At Home for Members,['Miss E. L. Willis'],,"JUNE 29 , 1911"
June 29,"Sutton, The Broadway","June 29 : Sutton , The Broadway , Open - air Meeting , Mrs. Blackheath , Mns . Green's Garden Meeting , Miss Nina Boyle , Mrs. Long , F. P. B. Close - Shipman , Esq . , M.A. , F.C.P.","Open - air Meeting, Garden Meeting",,"['Miss Nina Boyle', 'Mrs. Long', 'F. P. B. Close - Shipman']","JUNE 29 , 1911"
June 30,"Camberwell, Collyer Place","June 30 : Camberwell , Collyer Place , Open - air Meeting , Miss I. O. Ford .",Open - air Meeting,,['Miss I. O. Ford'],"JUNE 29 , 1911"
July 1,"Highgate, Percy Road, N. Finchley","July 1 : Highgate , Percy Road , N. Finchley , Open - air Meeting , Mrs. Garnett , Miss Maud Davies , Rackham .",Open - air Meeting,,"['Mrs. Garnett', 'Miss Maud Davies', 'Rackham']","JUNE 29 , 1911"
July 1,"East St. Pancras, Outside Cattle Market, North Road","East St. Pancras , Outside Cattle Market , North Road , Open - air Meeting , Miss I. B. O'Malley .",Open - air Meeting,,"[""Miss I. B. O'Malley""]","JUNE 29 , 1911"
July 1,Muswell Hill,"Muswell Hill , Mrs. Farquharson's Drawing - room Meeting .",Drawing - room Meeting,['Mrs. Farquharson'],,"JUNE 29 , 1911"
July 3,"Enfield, Carlton Tea Rooms","July 3 : Enfield , Carlton Tea Rooms , Annual Meeting , Miss Clementina Black .",Annual Meeting,,['Miss Clementina Black'],"JUNE 29 , 1911"
July 3,"Highgate Road, Women's Adult School, Kentish Town Road","Highgate Road , Women's Adult School , Kentish Town Road , Mrs. Richardson .",,,['Mrs. Richardson'],"JUNE 29 , 1911"
July 11,Sutton,"July 11 : Sutton , Mrs. Young's Garden Meeting , the Lady Frances Balfour .",Garden Meeting,['Mrs. Young'],['the Lady Frances Balfour'],"JUNE 29 , 1911"
June 30,"Edinburgh, 40, Shandwick Place","June 30 : Edinburgh , 40 , Shandwick Place , American Tea ..",American Tea,,,"JUNE 29 , 1911"
