Date,Location,Raw,Description,Speakers,Time,Hosts,Issue date
"April 2, 1911","Lewisham, Hilly Fields","Sunday , 2 Lewisham , Hilly Fields ..... Mrs. Bouvier and others .. 7.30 p.m.",,['Mrs. Bouvier'],7.30 p.m.,,"March 31, 1911"
"April 2, 1911","Portsmouth, 14, Arcade","Sunday, April 2. - Portsmouth , 14 , Arcade , All Night Reception and Entertainment .",All Night Reception and Entertainment,,,,"March 31, 1911"
"April 3, 1911",Chatham Town Hall,"Monday, April 3. - Chatham Town Hall , 7.30 p.m.",,,7.30 p.m.,,"March 31, 1911"
"April 3, 1911","Hampstead Road, Cobden's Statue","Monday , 3 Hampstead Road , Cobden's Statue ... Miss Barwell , Miss Fricker .... 8 p.m.",,"['Miss Barwell', 'Miss Fricker']",8 p.m.,,"March 31, 1911"
"April 3, 1911","Queen's Hall, Langham Place, W.","Monday , 3 Queen's Hall , Langham Place , W. The Rt . Rev. Bishop Mathew , F. W. Pethick Lawrence , Esq . , Miss Christabel Pankhurst , LL.B ... 8 p.m.",,"['The Rt. Rev. Bishop Mathew', 'F. W. Pethick Lawrence', 'Miss Christabel Pankhurst']",8 p.m.,,"March 31, 1911"
"April 3, 1911","Barnes, 9a, High Street",Monday At Home .,At Home,,,,"March 31, 1911"
"April 4, 1911","Ilford, 21, Coventry Road","Tuesday , 4 Ilford , 21 , Coventry Road Miss Meakin and others ........ 8 p.m.",,['Miss Meakin'],8 p.m.,,"March 31, 1911"
"April 4, 1911","Streatham, 5, Shrubbery Road","Tuesday , 4 Streatham , Wm . Morris Institute , 13 , The Broadway , Gleneagle Road Miss Mabel Atkinson , M.A. 8 p.m.",,"['Miss Mabel Atkinson, M.A.']",8 p.m.,,"March 31, 1911"
"April 4, 1911","Rayleigh, Shop, High-street","Tuesday , April 4. - Shop , High - street , 8.15 p.m.",,,8.15 p.m.,,"March 31, 1911"
"April 4, 1911","Reading, Small Town Hall","Tuesday , April 4. - Small Town Hall , Mrs. Arnett , Miss Dale . Chair : General T. E. Verner . 8 p.m.",,"['Mrs. Arnett', 'Miss Dale']",8 p.m.,,"March 31, 1911"
"April 5, 1911","Balham, Assembly Rooms","Wednesday , 5 ... Balham , Assembly Rooms Meeting",Meeting,,,,"March 31, 1911"
"April 5, 1911","Chelsea, 308, King's Road","Wednesday , 5 Chelsea , 308 , King's Road Miss Bonwick . 8.30 p.m.",,['Miss Bonwick'],8.30 p.m.,,"March 31, 1911"
"April 5, 1911","Ilford, Manor Park, The Rabbits","Wednesday , 5 Ilford , Manor Park , The Rabbits Miss M. Harvey 8 p.m.",,['Miss M. Harvey'],8 p.m.,,"March 31, 1911"
"April 5, 1911","Highgate, Archway Tavern","Wednesday, 5 Highgate , Archway Tavern Miss Feek . Chair : Miss Meakin 8 p.m.",,['Miss Feek'],8 p.m.,,"March 31, 1911"
"April 5, 1911",Gravesend. Medical Hall,"Wednesday , April 5. - Gravesend . Medical Hall , Miss Laura Ainsworth . Chair : Miss Boorman . 7.30 p.m.",,['Miss Laura Ainsworth'],7.30 p.m.,,"March 31, 1911"
"April 5, 1911","Redhill, Carlton Room","Wednesday , April 5. - Carlton Room , Miss Isabel Green . Chair : Miss Ford . 8 p.m.",,['Miss Isabel Green'],8 p.m.,,"March 31, 1911"
"April 6, 1911","Paddington, 50, Praed Street","Thursday , 6 Paddington , 50 , Praed Street Mrs. A. J. Webbe ..... 8.15 p.m.",,['Mrs. A. J. Webbe'],8.15 p.m.,,"March 31, 1911"
"April 6, 1911","Barnes, 9a, High Street","Thursday, 6 Barnes , 9a , High Street At Home . Chair : Mrs. Beldon ....... 8 p.m.",At Home,,8 p.m.,,"March 31, 1911"
"April 6, 1911","Lewisham, Parish Hall, Ladywell Road","April .6 Mr. Laurence Housman's reading of Pains and Penalties , ",,['Mr. Laurence Housman'],,,"March 31, 1911"
"April 6, 1911","North Islington, 97, Seven Sisters Road, N.","April 6 , to hear Miss Brackenbury on "" The Next Step "" ( see programme )",,['Miss Brackenbury'],,,"March 31, 1911"
"April 7, 1911",Small Queen's Hall,"We are asked to announce that all the tickets for the debate at the Small Queen's Hall on Friday , April 7 , at 8.30 p.m. , are sold .",,"['Miss Cicely Hamilton', 'Mr G K. Chesterton']",8.30 p.m.,,"March 31, 1911"
"April 7, 1911","Walthamstow, Pioneer Café, Hoe St.","Members and friends will be glad to hear that Mrs. Drummond will speak at the Pioneer Café , Hoe Street , on Friday next ( see programme ) .",,['Mrs. Drummond'],,,"March 31, 1911"
"April 11, 1911",Muswell Hill,Muswell Hill members and sympathisers will be glad to know that Mrs. Drummond hopes to form a local union there on April 11. Please keep date free ; particulars later .,,['Mrs. Drummond'],,,"March 31, 1911"
"April 19, 1911","Radlett, 1, The Terrace, Watling Street","Public meetings will be held at 1 , The Terrace , Watling Street ( over Heaver's newsagency ) , on the third Wednesday in each month , at 8 p.m. The first will be on April 19. It is hoped there will be a good attendance .",,,8 p.m.,,"March 31, 1911"
"April 24, 1911","Hampstead, Small Hall, Haverstock Hill","The committee will hold an At Home , in the Small Hall , Haverstock Hill , on Monday afternoon , April 24. Speaker : Mrs. Hylton Dale .",,['Mrs. Hylton Dale'],,,"March 31, 1911"
"May 6, 1911","Hampstead, Conservatoire","A reception to Miss Vida Goldstein will be held at the Conservatoire on Saturday afternoon , May 6.",,['Miss Vida Goldstein'],,,"March 31, 1911"
May 12,"Wimbledon, Compton Hall","These will be on Wednesdays. Wimbledon , Shop - 9 , Victoria Crescent","llall has been engaged for another series after Easter , commencing May 12",,Wednesdays,,"March 31, 1911"
"June 17, 1911","London, Albert Hall","Members wishing to secure good seats in the Albert Hall on June 17 should send in names at once, as arrangements are being made to take a box for this Union.",Members wishing to secure good seats in the Albert Hall on June 17,,,,"March 31, 1911"
1911-04-02,Harborne Labour Church,"Sunday , April 2 - Harborne Labour Church , Miss Dorothy Evans , 6.30 p.m.",,['Dorothy Evans'],6.30 p.m.,,"March 31, 1911"
1911-04-07,Queen's College,"Friday, April 7. - Queen's College, Rev. E. W. Lummis, M.A .; Miss Maud Melley , 8 p.m.",,"['Rev. E. W. Lummis', 'Maud Melley']",8 p.m.,,"March 31, 1911"
1911-04-06,"Leamington, Trocodero Restaurant","Thursday , April 6. - Trocodero Restaurant , Miss Daw- son , 7.30 p.m.",,['Dawson'],7.30 p.m.,,"March 31, 1911"
1911-04-04,"Leicester, Victoria Road Schoolroom","Tuesday , April 4. - Victoria Road Schoolroom , Parlia- mentary Debate , 8 p.m.",Parliamentary Debate,,8 p.m.,,"March 31, 1911"
1911-04-05,"Leicester, Knighton and Clarendon Park Conservative Club","Wednesday , April 5. - Knighton and Clarendon Park Conservative Club , Debate , Miss Pethick , 8 p.m.",,['Pethick'],8 p.m.,,"March 31, 1911"
1911-05-04,"Nottingham, Mechanics ' Large Hall","The Pageant of Great Women will be performed twice on May 4 , at 3 p.m. and 8 p.m. , in the Mechanics ' Large Hall . Miss Edith Craig is personally super- intending the arrangements , and Miss Cicely Hamilton , Miss Decima Moore , Miss Winifred Mayo , and Miss Olive Terry have all promised their help .",The Pageant of Great Women will be performed twice,"['Edith Craig', 'Cicely Hamilton', 'Decima Moore', 'Winifred Mayo', 'Olive Terry']",3 p.m. and 8 p.m.,,"March 31, 1911"
1911-04-01,"Bath, Assembly Rooms","Saturday . April 1. - Assembly Rooms , Miss Evelyn Sharp ; Chair : Mrs. Mansel 3.30 p.m.",,['Evelyn Sharp'],3.30 p.m.,,"March 31, 1911"
1911-04-08,"Bath, Assembly Rooms","Saturday , April 8 - Assembly Rooms , Mrs. Pertwee , 3.30 p.m.",,['Pertwee'],3.30 p.m.,,"March 31, 1911"
1911-04-04,"Gloucestershire, Town Hall","Tuesday , April 4. - Town Hall , Lady Stout , Miss Flat- man , 3 and 8 p.m.",,"['Lady Stout', 'Flatman']",3 and 8 p.m.,,"March 31, 1911"
1911-04-05,"Cheltenham, 6, Oriel Road","Wednesday , April 5-6 , Oriel Road . At Home , Mis Flatman , 3 to 5 p.m.",,['Flatman'],3 to 5 p.m.,,"March 31, 1911"
1911-04-08,"Devizes, Parish Room, Long Street","Saturday , April 8th . - Devizes Parish Room , Long Street , Rummage Sale , 3 p.m.",Rummage Sale,,3 p.m.,,"March 31, 1911"
1911-04-06,"Cardiff, Whitehall Rooms","Thursday , April 6. - Whitehall Rooms , Reception , Lady Constance Lytton .",,['Lady Constance Lytton'],Reception,,"March 31, 1911"
1911-04-06,"Newport, Shaftesbury Café","Thursday , April 6. - Shaftesbury Café , 3.30 p.m. , Mrs. Edwards , of Cardiff .",,['Mrs. Edwards'],3.30 p.m.,,"March 31, 1911"
1911-05-10,"Ipswich, The Lyceum Theatre","Everyone is asked to keep Wednesday , May 10 , free . The Lyceum Theatre has been booked for a matinée , when two plays will be given by the kindness of the Actresses ' Fran- chise League . Mrs. Pethick Lawrence will be the guest of the afternoon . Further details will be given later .","matinée , when two plays will be given by the kindness of the Actresses ' Fran- chise League",['Mrs. Pethick Lawrence'],,,"March 31, 1911"
1911-04-29,"Felixstowe, Spa","Felixstowe . Members and friends will be delighted to hear that Miss Vida Goldstein will give an address at the Spa on Saturday afternoon , April 29 . The chair will be taken by the Rev. Dr. Cobb .",,['Vida Goldstein'],Afternoon,,"March 31, 1911"
1911-04-05,"Bradford, Church Institute","Wednesday , April 5. - Church Institute , At Home , Symposium by Members , & p.m.","At Home, Symposium by Members",,8 p.m.,,"March 31, 1911"
1911-04-03,"Huddersfield, Parochial Hall, George Street","Monday , April 3. - Parochial Hall , George Street , Lady Isabel Margesson . Chair : Miss Lowenthal , 8 p.m.",,['Lady Isabel Margesson'],8 p.m.,,"March 31, 1911"
1911-04-07,"Newcastle, Town Hall","Friday , April 7. - Newcastle , Town Hall , Miss Vida Goldstein , 7.30 p.m.",,['Vida Goldstein'],7.30 p.m.,,"March 31, 1911"
1911-05-02,"Rotherham, Town Hall Assembly Rooms",Miss Vida Goldstein and Miss Adela Pankhurst will address a meeting in the Town Hall Assembly Rooms on May 2.,,"['Vida Goldstein', 'Adela Pankhurst']",,,"March 31, 1911"
1911-04-05,"Scarborough, 39, Huntriss Row","Wednesday , April 5. - 39 , Huntriss Row , Miss Key Jones , 8 p.m.",,['Key Jones'],8 p.m.,,"March 31, 1911"
1911-05-01,"Sheffield, Albert Hall","Mrs. Jones , of Chesterfield , has kindly consented to lend her motor to help to advertise Mrs. Pankhurst's meeting in the Albert Hall on May 1. Miss Vida Goldstein will also speak .",,"['Mrs. Pankhurst', 'Vida Goldstein']",,,"March 31, 1911"
1911-04-30,"Barnsley, Empire Palace","Mrs. Pankhurst's meet- ing in Barnsley will be held in the Empire Palace on April 30. Tickets , reserved and numbered , 1s .; un- reserved , 6d . and 3d .; a few free tickets can be supplied to women . Mrs. White , P.L.G. , will be one of the speakers .",,"['Mrs. Pankhurst', 'Mrs. White']",,,"March 31, 1911"
1911-04-07,Birkenhead,"The usual fortnightly meeting , on Friday , April 7 , will take the form of a business meeting , and every member is urged to be present at 8 p.m. sharp .",business meeting,,8 p.m.,,"March 31, 1911"
1911-04-06,"Liverpool, 11, Renshaw Street","On Thursday , April 6 , members will meet in their new office , 11 , Renshaw Street , to take tea and talk over their experiences on April 2.","members will meet in their new office , 11 , Renshaw Street , to take tea and talk over their experiences",,Tea,,"March 31, 1911"
1911-04-06,"Liverpool, 11, Renshaw Street","Thursday , April 6. - 11 , Renshaw Street , Members Meeting , 8 p.m.",Members Meeting,,8 p.m.,,"March 31, 1911"
1911-04-04,"Manchester, 17, St. Ann's Square","Tuesday , April 4. - 17 , St. Ann's Square , "" At Home , "" Miss Jessie Stephenson , 3 to 5 p.m.",,['Jessie Stephenson'],3 to 5 p.m.,,"March 31, 1911"
1911-04-07,"Manchester, 17, St. Ann's Square","Friday , April 7. - 17 , St. Ann's Square , "" At Home , "" Miss Mary Philips , Miss Jessie Stephenson .",,"['Mary Philips', 'Jessie Stephenson']",,,"March 31, 1911"
1911-04-06,"Wallasey, Liverpool","The usual fortnightly meeting has been postponed until April 10 , and a General Meeting has been arranged in Liverpool , on Thursday , April 6 , at 7.30 p.m.",General Meeting,,7.30 p.m.,,"March 31, 1911"
1911-04-03,"Aberdeen, Music Hall, Ball Room","Monday , April 3. - Music Hall , Ball Room , Miss Vida Goldstein , 8 pm .",,['Vida Goldstein'],8 pm,,"March 31, 1911"
1911-03-31,Dundee,"Friday , March 31. - Drawing - room Meeting , Miss Vida Goldstein . Hostess : Miss Clara Grant . Miss Janet Steer , 3 p.m.",,"['Vida Goldstein', 'Janet Steer']",3 p.m.,,"March 31, 1911"
1911-03-31,"Dundee, Upper Gilfillan Hall","Upper Gilfillan Hall , Miss Vida Goldstein . Chair : Mrs. Renny , 8 p.m.",,['Vida Goldstein'],8 p.m.,,"March 31, 1911"
1911-04-03,"Edinburgh, Café Vegetaria","Monday , April 3. - Café Vegetaria , Entertainments , 12.30 a.m. Café open from 8.30 p.m. , Sunday .",Entertainments,,12.30 a.m.,,"March 31, 1911"
1911-04-06,"Edinburgh, Edinburgh Café, Oak Hall","Thursday , April 6. - Edinburgh Café , Oak Hall , At Home , 3 p.m. 8 , Melville Place , At Home , Mrs. Brailsford , 8 p.m.",,,3 p.m.,,"March 31, 1911"
1911-04-06,"Edinburgh, 8, Melville Place","Thursday , April 6. - Edinburgh Café , Oak Hall , At Home , 3 p.m. 8 , Melville Place , At Home , Mrs. Brailsford , 8 p.m.",,['Mrs. Brailsford'],8 p.m.,,"March 31, 1911"
