Date,Location,Raw,Description,Speakers,Issue date
FEBRUARY 16,Huddersfield Town Hall,"Huddersfield Town Hall reception - Miss Chrystal Macmillan , Miss Siddon ( chair )",,"['Miss Chrystal Macmillan', 'Miss Siddon']","FEBRUARY 15 , 1912"
FEBRUARY 16,Worthing - The Literary Institute,"Worthing - The Literary Institute "" Middle Class Women "" -Councillor Margaret Ashton , Councillor Ellen Chapman ( chair )",,"['Councillor Margaret Ashton', 'Councillor Ellen Chapman']","FEBRUARY 15 , 1912"
FEBRUARY 16,"Crowborough "" Grazeley ""","Crowborough "" Grazeley "" -drawing - room meeting -Councillor Margaret Ashton , M.A.",,"['Councillor Margaret Ashton , M.A.']","FEBRUARY 15 , 1912"
FEBRUARY 16,Morpeth - Town Hall,"Morpeth - Town Hall - Miss A. Maude Royden , Dr. Ethel Williams ( chair )",,"['Miss A. Maude Royden', 'Dr. Ethel Williams']","FEBRUARY 15 , 1912"
FEBRUARY 16,"Birmingham - 10 , Easy Row - Franchise Club","Birmingham - 10 , Easy Row - Franchise Club",,,"FEBRUARY 15 , 1912"
FEBRUARY 16,Reading - Miss Turgnand's drawing - room,"Reading - Miss Turgnand's drawing - room meeting -Mrs . Robie Uniacke , Col. Kensing- ton ( chair )",,"['Mrs . Robie Uniacke', 'Col. Kensing- ton']","FEBRUARY 15 , 1912"
FEBRUARY 16,Bedford - Mrs . Stanbury Phillips ' drawing - room,Bedford - Mrs . Stanbury Phillips ' drawing - room meeting - Miss M. Fielden,,['Miss M. Fielden'],"FEBRUARY 15 , 1912"
FEBRUARY 16,Braithwaite - School room,"Braithwaite - School room - Miss Norma Smith , Miss Sidney Knight , G. Watson , Esq . ( chair )",,"['Miss Norma Smith', 'Miss Sidney Knight', 'G. Watson , Esq .']","FEBRUARY 15 , 1912"
FEBRUARY 16,Market Drayton - Parish Room,"Market Drayton - Parish Room - Miss Eva Ward , Miss W. Elkin",,"['Miss Eva Ward', 'Miss W. Elkin']","FEBRUARY 15 , 1912"
FEBRUARY 17,Stocksfield - The Institute,"Stocksfield - The Institute - Suffrage Play , "" Man and Woman "" -local amateurs","Suffrage Play , "" Man and Woman """,,"FEBRUARY 15 , 1912"
FEBRUARY 17,Croydon - Large Public Hall,"Croydon - Large Public Hall - Councillor Margaret Ashton , M.A. , The Deputy Mayor ( chair )",,"['Councillor Margaret Ashton , M.A.', 'The Deputy Mayor']","FEBRUARY 15 , 1912"
FEBRUARY 17,"Tunbridge Wells - Mrs . Dodd's "" At Home ""","Tunbridge Wells - Mrs . Dodd's "" At Home "" -Coun- cillor M. Ashton , M.A.",""" At Home ""","['Councillor M. Ashton , M.A.']","FEBRUARY 15 , 1912"
FEBRUARY 17,Woodhall Spa - Hartington House School,"Woodhall Spa - Hartington House School - Miss Hicks , Councillor Livens , Mrs. Cooke ( chair )",,"['Miss Hicks', 'Councillor Livens', 'Mrs. Cooke']","FEBRUARY 15 , 1912"
FEBRUARY 19,Melton Mowbray - Mrs . Atler's drawing - room,Melton Mowbray - Mrs . Atler's drawing - room meet- ing Mrs. Renton,,['Mrs. Renton'],"FEBRUARY 15 , 1912"
FEBRUARY 19,Colwyn Bay Café Royal,Colwyn Bay Café Royal - annual business meeting 7.30 . Address by Miss Lamport,,['Miss Lamport'],"FEBRUARY 15 , 1912"
FEBRUARY 19,Aldershot - West End Girls ' School,"Aldershot - West End Girls ' School - Miss Frances Sterling , Colonel Kensington , Sir Wm . Chance , Bart . ( chair )",,"['Miss Frances Sterling', 'Colonel Kensington', 'Sir Wm . Chance , Bart .']","FEBRUARY 15 , 1912"
FEBRUARY 19,Gateshead - on - Tyne - Mrs . Warden's drawing - room,Gateshead - on - Tyne - Mrs . Warden's drawing - room meeting - Miss Foley,,['Miss Foley'],"FEBRUARY 15 , 1912"
FEBRUARY 19,Middlesbrough - Mrs . Pentony's,"Middlesbrough - Mrs . Pentony's meeting- "" Women's Suffrage and the present political situation , "" Mrs. Rackham , Miss Purvis ( chair )",,"['Mrs. Rackham', 'Miss Purvis']","FEBRUARY 15 , 1912"
FEBRUARY 19,"Nottingham - Office : 54 , Long Row","Nottingham - Office : 54 , Long Row- "" At Home "" "" The Temperance Aspect "" -Mrs . W. R. Hamilton",""" The Temperance Aspect """,['Mrs . W. R. Hamilton'],"FEBRUARY 15 , 1912"
FEBRUARY 19,Threlkeld,"Threlkeld - Miss Norma Smith , Miss Sidney Knight , Dr. Goodchild ( chair )",,"['Miss Norma Smith', 'Miss Sidney Knight', 'Dr. Goodchild']","FEBRUARY 15 , 1912"
FEBRUARY 20,Southport Town Hall,"Southport Town Hall - Lecture , "" Joan of Arc "" - Miss A. Maude Royden","Lecture , "" Joan of Arc """,['Miss A. Maude Royden'],"FEBRUARY 15 , 1912"
FEBRUARY 20,York - Mrs . Wilkinson's drawing - room,York - Mrs . Wilkinson's drawing - room meeting- Mrs. Rackham,,['Mrs. Rackham'],"FEBRUARY 15 , 1912"
FEBRUARY 20,"Bristol - 111a , Whiteladies Road","Bristol - 111a , Whiteladies Road - Lecture , Unjust Laws "" -Miss J. M. Baretti","Lecture , Unjust Laws """,['Miss J. M. Baretti'],"FEBRUARY 15 , 1912"
FEBRUARY 20,South Shields - Victoria Hall,South Shields - Victoria Hall - Miss C. M. Gordon,,,"FEBRUARY 15 , 1912"
FEBRUARY 20,Gateshead - on - Tyne Mr. and Miss Temperley's drawing - room,Gateshead - on - Tyne Mr. and Miss Temperley's drawing - room meeting - Mrs . G. D. Biltcliffe,,['Mrs . G. D. Biltcliffe'],"FEBRUARY 15 , 1912"
FEBRUARY 20,"St. Pancras ― 89 , Camden Road","St. Pancras ― 89 , Camden Road - W.L.A . women's suffrage meeting - Mrs . Rogers",,['Mrs . Rogers'],"FEBRUARY 15 , 1912"
FEBRUARY 20,"Kensington - Empress Rooms , Royal Palace Hotel","Kensington - Empress Rooms , Royal Palace Hotel -London Society's reception - The Lady Frances Balfour , Miss H. D. Cockle , Miss Janet Thomson , B.A. , Miss Clementina Black ( chair )",,"['The Lady Frances Balfour', 'Miss H. D. Cockle', 'Miss Janet Thomson , B.A.', 'Miss Clementina Black']","FEBRUARY 15 , 1912"
FEBRUARY 21,"Lambeth - Bolwall Road , Lambeth Road","Lambeth - Bolwall Road , Lambeth Road - open - air meeting Mrs. Merivale Mayer",,['Mrs. Merivale Mayer'],"FEBRUARY 15 , 1912"
FEBRUARY 21,Deptford - Hall of Hatcham Liberal Club,"Deptford - Hall of Hatcham Liberal Club - Mrs . F. T. Swanwick , M.A.",,"['Mrs . F. T. Swanwick , M.A.']","FEBRUARY 15 , 1912"
FEBRUARY 21,Thetford - Public Hall,"Thetford - Public Hall - Mrs . Heitland , Mr. Mirrlees , Mrs. Rackham",,"['Mrs . Heitland', 'Mr. Mirrlees', 'Mrs. Rackham']","FEBRUARY 15 , 1912"
FEBRUARY 21,"Bath - Post Office Chambers , Northgate Street","Bath - Post Office Chambers , Northgate Street- "" The Albert Hall Demonstration "" Miss Wheelwright , Miss Johnson",""" The Albert Hall Demonstration ""","['Miss Wheelwright', 'Miss Johnson']","FEBRUARY 15 , 1912"
FEBRUARY 21,"Bournemouth - Assembly Rooms , The Avenue","Bournemouth - Assembly Rooms , The Avenue- "" At Home """,""" At Home """,,"FEBRUARY 15 , 1912"
FEBRUARY 21,Letchworth - Howard Hall,"Letchworth - Howard Hall- "" The Sex War "" -Mrs . F. T. Swanwick , M.A.",""" The Sex War ""","['Mrs . F. T. Swanwick , M.A.']","FEBRUARY 15 , 1912"
FEBRUARY 21,Portsmouth - Ashburton Road Schools,"Portsmouth - Ashburton Road Schools - E . Davison , Esq . , Miss Hattrell ( chair )",,"['E . Davison , Esq .', 'Miss Hattrell']","FEBRUARY 15 , 1912"
FEBRUARY 21,Gateshead - on - Tyne - Mrs . Armstrong's drawing - room,Gateshead - on - Tyne - Mrs . Armstrong's drawing - room meeting - Mrs . G. D. Biltcliffe,,['Mrs . G. D. Biltcliffe'],"FEBRUARY 15 , 1912"
FEBRUARY 21,Sutton Coldfield - Town Hall,"Sutton Coldfield - Town Hall- "" at Home "" -Lady Isabel Margesson , Councillor E. Rath- bone",""" at Home ""","['Lady Isabel Margesson', 'Councillor E. Rath- bone']","FEBRUARY 15 , 1912"
FEBRUARY 21,Stirling Y.M.C.A. Hall,Stirling Y.M.C.A. Hall - Miss Cotterill,,['Miss Cotterill'],"FEBRUARY 15 , 1912"
FEBRUARY 21,Perth Mrs. Roy's drawing - room,Perth Mrs. Roy's drawing - room Miss Beauchamp meeting - Miss,,['Miss Beauchamp'],"FEBRUARY 15 , 1912"
FEBRUARY 22,Leamington Town Hall,"Leamington Town Hall- "" A Reply to the Antis "" -Mrs . Cecil Chapman , J. Cameron Willoughby de Grant , Esq . , Lady Broke ( chair )",""" A Reply to the Antis ""","['Mrs . Cecil Chapman', 'J. Cameron Willoughby de Grant , Esq .', 'Lady Broke']","FEBRUARY 15 , 1912"
FEBRUARY 22,Acorington Town Hall,"Acorington Town Hall - Miss Ashton , The Lady Beatrice Kemp , Professor de Sumi- chrast",,"['Miss Ashton', 'The Lady Beatrice Kemp', 'Professor de Sumi- chrast']","FEBRUARY 15 , 1912"
FEBRUARY 22,Oxford - Mrs . Geldart's drawing - room,Oxford - Mrs . Geldart's drawing - room meeting- Mrs. Helga Gill,,['Mrs. Helga Gill'],"FEBRUARY 15 , 1912"
FEBRUARY 22,"Central Sussex - Station Hall , Burgess Hill","Central Sussex - Station Hall , Burgess Hill- "" Why Women Want the Vote "" -Mrs . Dempster , Miss Chute Ellis ( chair )",,"['Mrs . Dempster', 'Miss Chute Ellis']","FEBRUARY 15 , 1912"
FEBRUARY 22,Hayward's Heath - Liberal Club,"Hayward's Heath - Liberal Club - Debate on Govern- ment Reform Bill - Mr . Eric Stevens , Miss Spooner",,"['Mr . Eric Stevens', 'Miss Spooner']","FEBRUARY 15 , 1912"
FEBRUARY 22,Bath Mrs. H. H. Johnston's drawing - room,Bath Mrs. H. H. Johnston's drawing - room meeting -Miss A. Maude Royden,,['Miss A. Maude Royden'],"FEBRUARY 15 , 1912"
FEBRUARY 22,Bath - Assembly Rooms,"Bath - Assembly Rooms Men's meeting - Miss A. Maude Royden , Mr. W. C. H. Cross , The Archdeacon of Bath ( chair )",,"['Miss A. Maude Royden', 'Mr. W. C. H. Cross', 'The Archdeacon of Bath']","FEBRUARY 15 , 1912"
FEBRUARY 22,S. Kensington - Mrs . Egerton Hensley's drawing- room,"S. Kensington - Mrs . Egerton Hensley's drawing- room meeting - Mrs . F. T. Swanwick , M.A.",,"['Mrs . F. T. Swanwick , M.A.']","FEBRUARY 15 , 1912"
FEBRUARY 22,"Penge Men's Conservative Club , Beckenham Road","Penge Men's Conservative Club , Beckenham Road -W.S. meeting - Miss H. D. Cockle",,['Miss H. D. Cockle'],"FEBRUARY 15 , 1912"
FEBRUARY 22,"Bermondsey The Triangle , Grange Road","Bermondsey The Triangle , Grange Road - Miss Dawson , Miss Goddard",,"['Miss Dawson', 'Miss Goddard']","FEBRUARY 15 , 1912"
FEBRUARY 23,"Glasgow - Office , 202 , Hope Street","Glasgow - Office , 202 , Hope Street- "" The Insurance Bill "" -Miss Dalziel",""" The Insurance Bill """,['Miss Dalziel'],"FEBRUARY 15 , 1912"
FEBRUARY 23,"Dublin - 23 , Molesworth Street","Dublin - 23 , Molesworth Street - Irish W.S. and Local Government Association- "" Some Conditions of a Possible Utopia "" ― T. J. Haslam , Esq .",""" Some Conditions of a Possible Utopia ""","['T. J. Haslam , Esq .']","FEBRUARY 15 , 1912"
FEBRUARY 26,Birkenhead - Neston Town Hall,"Birkenhead - Neston Town Hall - Joint meeting with O.U.W.F.A. - Mrs . Scoresby Routledge , M.A. , Mrs. Duckworth , A. K. Bulley , Esq . , Lady Norman Hill ( chair )",,"['Mrs . Scoresby Routledge , M.A.', 'Mrs. Duckworth', 'A. K. Bulley , Esq .', 'Lady Norman Hill']","FEBRUARY 15 , 1912"
FEBRUARY 26,"Stevenage "" The Chestnuts ""","Stevenage "" The Chestnuts "" -Mi93 Susan",,['Mi93 Susan'],"FEBRUARY 15 , 1912"
FEBRUARY 26,Eccles - Monton St. Andrew's School,"Eccles - Monton St. Andrew's School- "" The Church League for Women's Suffrage "" -Miss A. Maude Royden",""" The Church League for Women's Suffrage """,['Miss A. Maude Royden'],"FEBRUARY 15 , 1912"
FEBRUARY 26,"Nottingham - Office , 54 , Lorg Row","Nottingham - Office , 54 , Lorg Row- "" At Hame "" - "" Madam Roland "" Mrs. Hickling",""" At Hame "" - "" Madam Roland """,['Mrs. Hickling'],"FEBRUARY 15 , 1912"
FEBRUARY 27,Peterborough The Grand Assembly Rooms,"Peterborough The Grand Assembly Rooms - Mrs . Fawcett , Miss I. O. Ford , The Dean of Peterborough ( chair )",,"['Mrs . Fawcett', 'Miss I. O. Ford', 'The Dean of Peterborough']","FEBRUARY 15 , 1912"
FEBRUARY 28,Camberley - Drill Hall,"Camberley - Drill Hall - Sweated Industries Exhibi- tion , 2.30 . Speeches - Miss A. Maude Royden , J. Cameron Grant , Esq .","Sweated Industries Exhibi- tion , 2.30 . Speeches","['Miss A. Maude Royden', 'J. Cameron Grant , Esq .']","FEBRUARY 15 , 1912"
FEBRUARY 28,Camberley - Drill Hall,"Camberley - Drill Hall - Lantern Lecture on Sweated Industries J. J. Mallon , Esq . , Mrs. Basset ( chair )",Lantern Lecture on Sweated Industries,"['J. J. Mallon , Esq .', 'Mrs. Basset']","FEBRUARY 15 , 1912"
FEBRUARY 28,Portsmouth - Drayton Road Schools,"Portsmouth - Drayton Road Schools - Rev . E. F. Piggott , Mrs. Lapthorn ( chair )",,"['Rev . E. F. Piggott', 'Mrs. Lapthorn']","FEBRUARY 15 , 1912"
FEBRUARY 28,"Worthing - 31 , Warwick Street","Worthing - 31 , Warwick Street - Miss Carr's and Miss Pember's "" At Home "" - "" Shop and Assistants Sweating "" -Miss Nicholas",""" At Home "" - "" Shop and Assistants Sweating """,['Miss Nicholas'],"FEBRUARY 15 , 1912"
FEBRUARY 28,"Bournemouth - Assembly Rooms , The Avenue","Bournemouth - Assembly Rooms , The Avenue- "" At Home """,""" At Home """,,"FEBRUARY 15 , 1912"
FEBRUARY 28,"Bath - Post Office Chambers , Northgate Street","Bath - Post Office Chambers , Northgate Street- "" The Vote as it affects Wages "" - Miss Williams",""" The Vote as it affects Wages """,['Miss Williams'],"FEBRUARY 15 , 1912"
FEBRUARY 28,Oxford - Osney Parish Room,"Oxford - Osney Parish Room - Miss Helga Gill , A. D. Lindsay , Esq .",,"['Miss Helga Gill', 'A. D. Lindsay , Esq .']","FEBRUARY 15 , 1912"
FEBRUARY 15,"Central and S. Hackney - St . Augustine's Hall , Victoria Park Road","Central and S. Hackney - St . Augustine's Hall , Victoria Park Road - Committee "" At Home ""","Committee "" At Home """,,"FEBRUARY 15 , 1912"
FEBRUARY 15,Southwark - Marshalsea Road,Southwark - Marshalsea Road - Open - air meeting- Miss Dawson,,['Miss Dawson'],"FEBRUARY 15 , 1912"
FEBRUARY 15,Windsor - Clewer Hall,"Windsor - Clewer Hall - H . Baillie Weaver , Esq .",,"['H . Baillie Weaver , Esq .']","FEBRUARY 15 , 1912"
FEBRUARY 15,"Highgate 3 , Holey Terrace","Highgate 3 , Holey Terrace - Suffrage song practice conducted by Mr. A. J. Hadrill , F.R.C.O.",,"['Mr. A. J. Hadrill , F.R.C.O.']","FEBRUARY 15 , 1912"
FEBRUARY 15,E. Molesey - Conservative Hall,"E. Molesey - Conservative Hall - Rev . C. Hinscliffe , Mrs. Stanbury - Miss M. Martineau ( chair )",,"['Rev . C. Hinscliffe', 'Mrs. Stanbury', 'Miss M. Martineau']","FEBRUARY 15 , 1912"
FEBRUARY 15,"Fulham - The Medical Institute , 247 , Lillie Road","Fulham - The Medical Institute , 247 , Lillie Road- Women's Guild - Miss Co - operative Goddard",,['Miss Co - operative Goddard'],"FEBRUARY 15 , 1912"
FEBRUARY 16,"Lambeth - Free Church Schoolroom , Paradise Road , Clapham Road","Lambeth - Free Church Schoolroom , Paradise Road , Clapham Road - Mrs . Rogers",,['Mrs . Rogers'],"FEBRUARY 15 , 1912"
FEBRUARY 19,"Bermondsey - The Triangle , Grange Road","Bermondsey - The Triangle , Grange Road - Open- air meeting - Miss H. D. Cockle , Miss Gloyn",,"['Miss H. D. Cockle', 'Miss Gloyn']","FEBRUARY 15 , 1912"
FEBRUARY 19,Tower Hamlets - Ratcliff Settlement,"Tower Hamlets - Ratcliff Settlement Recitation , music "" At Home "" -Miss Susan E. Lawrence","Recitation, music ""At Home""",['Miss Susan E. Lawrence'],"FEBRUARY 15 , 1912"
FEBRUARY 19,"Crouch End - Parish Hall , Edison Road","Crouch End - Parish Hall , Edison Road - Mrs . Faw- cett , Mr. Henry Vivian ( chair )",,"['Mrs . Faw- cett', 'Mr. Henry Vivian']","FEBRUARY 15 , 1912"
FEBRUARY 21,Lambeth - Bolwall Road,"Lambeth - Bolwall Road , Lambeth Road - open - air meeting Mrs. Merivale Mayer",,['Mrs. Merivale Mayer'],"FEBRUARY 15 , 1912"
FEBRUARY 25,East Holloway Ethical Society,East Holloway Ethical Society - Miss Ruth Young,,['Miss Ruth Young'],"FEBRUARY 15 , 1912"
FEBRUARY 26,Tower Hamlets - Ratcliff Settlement,"Tower Hamlets - Ratcliff Settlement- "" At Home "" - Miss Ruth Young , Mr. Urwick ( chair )",""" At Home ""","['Miss Ruth Young', 'Mr. Urwick']","FEBRUARY 15 , 1912"
FEBRUARY 27,"Kensington - Empress Rooms , Royal Palace Hotel","Kensington - Empress Rooms , Royal Palace Hotel- London Society's "" At Home "" -Miss K. D. Courtney , Mrs. Hartley , Miss G. Dykes Spicer , Miss Helen Ward ( chair )","London Society's "" At Home ""","['Miss K. D. Courtney', 'Mrs. Hartley', 'Miss G. Dykes Spicer', 'Miss Helen Ward']","FEBRUARY 15 , 1912"
FEBRUARY 27,"Southwark Sons of Temperance "" Hall , Black- friars Road","Southwark Sons of Temperance "" Hall , Black- friars Road - Mrs . F. T. Swanwick , M.A. , S. Pascall , Esq .",,"['Mrs . F. T. Swanwick , M.A.', 'S. Pascall , Esq .']","FEBRUARY 15 , 1912"
FEBRUARY 27,"Ealing 37 , Uxbridge Road - Mrs . Debac's drawing- room","Ealing 37 , Uxbridge Road - Mrs . Debac's drawing- room meeting - Mrs . Stanbury",,['Mrs . Stanbury'],"FEBRUARY 15 , 1912"
FEBRUARY 16,"Glasgow - Office , 202 , Hope Street","Glasgow - Office , 202 , Hope Street - Mrs . Hunter's "" At Home ""","Mrs . Hunter's "" At Home """,,"FEBRUARY 15 , 1912"
FEBRUARY 17,Dunbar Miss Aspinwall's drawing - room,Dunbar Miss Aspinwall's drawing - room meeting- Dr. Inglis,,['Dr. Inglis'],"FEBRUARY 15 , 1912"
FEBRUARY 19,"Dundee Office , 12 , Meadowside","Dundee Office , 12 , Meadowside- "" At Home "" -Miss Sheard",""" At Home """,['Miss Sheard'],"FEBRUARY 15 , 1912"
FEBRUARY 15,"Leeds Central Liberal Club , Quebec Street","Leeds Central Liberal Club , Quebec Street - League of Young Liberals - Mrs . Renton",,['Mrs . Renton'],"FEBRUARY 15 , 1912"
FEBRUARY 16,Oldham - Lyceum,Oldham - Lyceum - Class Teachers ' Association - Dr . Olive Claydon,,['Dr . Olive Claydon'],"FEBRUARY 15 , 1912"
FEBRUARY 16,"Bedford Co - operative Buildings , Midland Road","Bedford Co - operative Buildings , Midland Road- Co - operative Guild - Miss M. Fielden",,['Miss M. Fielden'],"FEBRUARY 15 , 1912"
FEBRUARY 18,Birmingham - Bristol Street School,Birmingham - Bristol Street School - Mrs . A.B.C. Ring,,['Mrs . Ring'],"FEBRUARY 15 , 1912"
FEBRUARY 19,Birmingham - Tyburn,Birmingham - Tyburn - Mrs . Watson's Women's meeting - Mrs . Ring,,['Mrs . Ring'],"FEBRUARY 15 , 1912"
FEBRUARY 20,Birmingham - Digbeth Institute,Birmingham - Digbeth Institute Men's Liberal Association - Mrs . Osler,,['Mrs . Osler'],"FEBRUARY 15 , 1912"
FEBRUARY 20,Oldham Queen Street,"Oldham Queen Street Literary Society - Miss Healey , L.L.A.",,"['Miss Healey , L.L.A.']","FEBRUARY 15 , 1912"
FEBRUARY 21,Peterborough - Co - operative Hall,"Peterborough - Co - operative Hall Women's Co- operative Guild - Mrs . Renton , Miss I. S. A. Beaver",,"['Mrs . Renton', 'Miss I. S. A. Beaver']","FEBRUARY 15 , 1912"
FEBRUARY 21,"Bristol - 16 , Brunswick Square","Bristol - 16 , Brunswick Square - League of Young Liberals Debate - W . C. H. Cross , Esq . , LL.B. v . H. Trapnell , Esq . , LL.B.",League of Young Liberals Debate,"['W . C. H. Cross , Esq . , LL.B.', 'H. Trapnell , Esq . , LL.B.']","FEBRUARY 15 , 1912"
FEBRUARY 22,"Bristol - Memorial Hall , Clifton","Bristol - Memorial Hall , Clifton - West Bristol Liberals - Miss J. M. Baretti",,['Miss J. M. Baretti'],"FEBRUARY 15 , 1912"
