Date,Location,Raw,Speakers,Description,Time,Hosts,Issue date
MAY 13,Shrewsbury,Shrewsbury - Public At Home - Mrs. Mayer,['Mrs. Mayer'],Public At Home,,,"MAY 5 , 1910"
MAY 13,Bournemouth - Prince's Hall,Bournemouth - Prince's Hall - Lady Stout,['Lady Stout'],,8.0,,"MAY 5 , 1910"
MAY 14,Folkestone,"Folkestone
Public Meeting - Miss Abadam",['Miss Abadam'],Public Meeting,8.0,,"MAY 5 , 1910"
MAY 14,London (Highgate and N. St. Pancras) - Queen's Crescent,London (Highgate and N. St. Pancras) -Open-air Meetings- Queen's Crescent,,Open-air Meetings,8.0,,"MAY 5 , 1910"
MAY 17,Farnham - Tilford Schools,Farnham - Tilford Schools - Miss Abadam,['Miss Abadam'],,8.0,,"MAY 5 , 1910"
MAY 18,Rugby,Rugby - Open-air Meeting - Mrs. Mayer,['Mrs. Mayer'],Open-air Meeting,8.0,,"MAY 5 , 1910"
MAY 18,"London (Molesey, E.)","London (Molesey, E.) - Open-air Meeting - Miss C. Corbett",['Miss C. Corbett'],Open-air Meeting,,,"MAY 5 , 1910"
MAY 18,Hull - Paragon Square,"Hull - Paragon Square
Open-air Meeting - Mr. Herbert Jacobs",['Mr. Herbert Jacobs'],Open-air Meeting,,,"MAY 5 , 1910"
MAY 18,Hull,"Hull
Public Meeting - Mr. Herbert Jacobs",['Mr. Herbert Jacobs'],Public Meeting,3.0,,"MAY 5 , 1910"
MAY 18,Farnham - South Street Institute,Farnham - South Street Institute - Miss Abadam,['Miss Abadam'],,8.0,,"MAY 5 , 1910"
MAY 19,"Herts, N. and Hitchin - Stevenage","Herts, N. and Hitchin - Stevenage - Miss Abadam",['Miss Abadam'],,4.0 and 8.0,,"MAY 5 , 1910"
MAY 19,"Edinburgh - 40, Shandwick Place","Edinburgh - Sale - 40, Shandwick Place - To be opened by the
8.0
Lady Frances Balfour",['Lady Frances Balfour'],Sale - To be opened by the Lady Frances Balfour,8.0,,"MAY 5 , 1910"
MAY 19,London (Camberwell) - Peckham Rye,London (Camberwell) -Peckham Rye - Miss Myle,['Miss Myle'],,,,"MAY 5 , 1910"
MAY 19,"Nottingham
36, Bridlesmith Gate","Nottingham - 36, Bridlesmith Gate
Tea and Cocoa",,Tea and Cocoa,,,"MAY 5 , 1910"
MAY 19,"Dublin
35, Molesworth Street","Dublin
35, Molesworth Street
Committee Meeting",,Committee Meeting,11.30,,"MAY 5 , 1910"
MAY 20,Oxford,Oxford - Miss Abadam,['Miss Abadam'],,11.0,,"MAY 5 , 1910"
MAY 21,Oxford,Oxford - Miss Abadam,['Miss Abadam'],,3.0,,"MAY 5 , 1910"
MAY 21,Woodstock,Woodstock - Miss Abadam,['Miss Abadam'],,8.0,,"MAY 5 , 1910"
MAY 21,Tunbridge Wells - Great Hall,Tunbridge Wells - Great Hall - Miss Mason's Lantern Lecture,,Miss Mason's Lantern Lecture,8.0,,"MAY 5 , 1910"
MAY 21,London (Highgate) - Queen's Crescent,"London (Highgate) -Open-air Meeting
Queen's Crescent",,Open-air Meeting,8.0,,"MAY 5 , 1910"
MAY 21,Witney,Witney - Miss Abadam,['Miss Abadam'],,7.0,,"MAY 5 , 1910"
