Date,Location,Raw,Speakers,Hosts,Issue date
January 21,Poplar,"Poplar , 319 , East India Dock Road . Miss Emma Wylie ... 8 p.m.",['Miss Emma Wylie'],,"January 16 , 1914"
January 21,Westminster,"Westminster , 17 , Tothill Street . Miss M. Naylor . Chair : Miss Cumberland 8 p.m.",['Miss M. Naylor'],,"January 16 , 1914"
January 21,Crouch End,"Crouch End , Assembly Rooms , Middle Lane . Miss Barbara Wylie . Chair : Miss Glidewell 8.30 p.m.",['Miss Barbara Wylie'],,"January 16 , 1914"
January 22,Bayswater,"Bayswater , Elysee Galleries , Queen's Road . Mrs. Dacre Fox , Miss Dorothy Gordon and others . 8 p.m.","['Mrs. Dacre Fox', 'Miss Dorothy Gordon']",,"January 16 , 1914"
January 22,Bow,"Bow , Out - and - Out Mission Hall , Tredegar Road 3 p.m.",[],,"January 16 , 1914"
January 22,Bromley,"Bromley , Knapp Road . Rev. C. A. Wills",['Rev. C. A. Wills'],,"January 16 , 1914"
January 22,Chelsea,"Chelsea , 308 , King's Road . Annual General Meeting . Miss Naylor 8 p.m.",['Miss Naylor'],,"January 16 , 1914"
January 22,Clapham,"Clapham , Oriental Café . Women's Meeting",[],,"January 16 , 1914"
January 22,Kilburn,"Kilburn , 310 , High Road . Women only . Mrs. J. Scurr , Mrs. Penn Gaskell 2.30 p.m.","['Mrs. J. Scurr', 'Mrs. Penn Gaskell']",,"January 16 , 1914"
January 22,Poplar,"Poplar , Piggott Street . Mrs. Duval 3.30 p.m.",['Mrs. Duval'],,"January 16 , 1914"
January 22,South Kensington,"South Kensington , Royal Palace Hotel . Miss Canning ... Mr. Joseph Clayton , 3 p.m.","['Miss Canning', 'Mr. Joseph Clayton']",,"January 16 , 1914"
January 23,Balham,"Balham , Caistor Road . Mrs. Townsend 8 p.m.",['Mrs. Townsend'],,"January 16 , 1914"
January 23,Bow,"Bow , Ford Road . Miss Margaret Wright 8 p.m.",['Miss Margaret Wright'],,"January 16 , 1914"
January 23,Cricklewood,"Cricklewood , Clock Tower . Miss E. A. Taylor , Miss F. E. Wright 8 p.m.","['Miss E. A. Taylor', 'Miss F. E. Wright']",,"January 16 , 1914"
January 23,Kentish Town,"Kentish Town , Modbury Street . Miss P. Rickards , Miss Wilson","['Miss P. Rickards', 'Miss Wilson']",,"January 16 , 1914"
January 23,Hampstead,"Hampstead , 2 , Crossfield Road . Drawing room Meeting . Hostess : Madame Alice Godfrey",[],['Madame Alice Godfrey'],"January 16 , 1914"
January 23,Lincoln's Inn House,"Lincoln's Inn House , Kingsway . Speakers ' Class . Miss Rosa Leo 7.45 p.m.",['Miss Rosa Leo'],,"January 16 , 1914"
January 23,North Kensington,"North Kensington , corner of Lancaster Road and Portobello Road , Miss Glidewell . Chair : Miss Greer 8.30 p.m.",['Miss Glidewell'],,"January 16 , 1914"
January 23,Poplar,"Poj lar , 319 , East India Dock Road 8 p.m.",[],,"January 16 , 1914"
January 23,Sloane Square,Sloane Square 3 p.m.,[],,"January 16 , 1914"
January 23,West Ham,"West Ham , The Grove , Stratford . Miss Prankerd , Miss Indge ... 12.15 p.m.","['Miss Prankerd', 'Miss Indge']",,"January 16 , 1914"
January 23,Westminster,"Westminster , Greycoat Place . Mrs. Penn Gaskell . Chair : Miss Cumberland 12,30 p.m.",['Mrs. Penn Gaskell'],,"January 16 , 1914"
January 16,Dundee,"Dundee , Panmure Street . Miss Grant 8 p.m.",['Miss Grant'],,"January 16 , 1914"
January 17,Dundee,"Dundee , Greenmarket . Miss Grant",['Miss Grant'],,"January 16 , 1914"
January 19,Cork,"Cork , Council Chamber , City Hall . Miss Lennox ... 8 p.m.",['Miss Lennox'],,"January 16 , 1914"
January 19,Hastings,"Hastings , Metropole Hall 4-6 p.m.",[],,"January 16 , 1914"
January 20,Bexhill,"Bexhill , Shop , Marina . At Home 3.30-5.30 p.m.",[],,"January 16 , 1914"
January 21,Birmingham,"Birmingham , 97 , John Bright Street ... 8 p.m.",[],,"January 16 , 1914"
January 21,Dundee,"Dundee , 61 , Nethergate ... 8 p.m.",[],,"January 16 , 1914"
January 21,Newport,"Newport , 23 , Somerset Road . Mrs. Pilliner . Hostess : Mrs. Cock 3.30 p.m.",['Mrs. Pilliner'],,"January 16 , 1914"
January 21,Newport,"Newport , No. 1 Room , Temperance Hall 8 p.m.",[],,"January 16 , 1914"
January 22,Bournemouth,"Bournemouth , Institute Rooms , Charminster Road . Richmond Park Debating Society . Miss B. Howes ... 8 p.m.",['Miss B. Howes'],,"January 16 , 1914"
January 22,Eastbourne,"Eastbourne , 58A , Grove Road . Mr. Victor Duval ... 3.30 p.m.",['Mr. Victor Duval'],,"January 16 , 1914"
January 22,Edinburgh,"Edinburgh , 27 , Frederick Street . Mrs. Renny 8 p.m.",['Mrs. Renny'],,"January 16 , 1914"
January 23,Dundee,"Dundee , Panmure Street . Miss Grant 8 p.m.",['Miss Grant'],,"January 16 , 1914"
January 23,Streatham,Streatham . 8 p.m.,[],,"January 16 , 1914"
