Date,Location,Raw,Description,Hosts,Speakers,Time,Issue date
APRIL 6,Bull Ring - Birmingham,APRIL 6. Birmingham - Bull Ring - Miss McHardy.,,,['Miss McHardy'],,1910-03-24
APRIL 6,Burton-on-Trent,APRIL 6. Burton-on-Trent - Miss Gardner.,,,['Miss Gardner'],,1910-03-24
APRIL 6,Tunbridge Wells,APRIL 6. Tunbridge Wells - Miss Power's Drawing-room Meeting - Madame Sarah Grand.,Drawing-room Meeting,['Miss Power'],['Madame Sarah Grand'],,1910-03-24
APRIL 6,"36, Bridlesmith Gate - Nottingham","APRIL 6. Nottingham - 36, Bridlesmith Gate - At Home - Tea and Cocoa.",At Home - Tea and Cocoa,,,,1910-03-24
APRIL 6,Central Mission Hall - Salford,APRIL 6. Salford - Central Mission Hall - Mrs. Snowden.,,,['Mrs. Snowden'],,1910-03-24
APRIL 7,Wakefield - Music Saloon,"APRIL 7. Wakefield - Music Saloon - Miss Royden, Miss Fielden.",,,"['Miss Royden', 'Miss Fielden']",,1910-03-24
APRIL 9,Drill Hall - Radcliffe,APRIL 9. Radcliffe - Drill Hall - Social and Dance - Tickets 1s.,Social and Dance - Tickets 1s.,,,,1910-03-24
APRIL 11,Salisbury,APRIL 11. Salisbury - Miss Abadam - Evening Meeting.,,,,"Evening Meeting 
8.00pm",1910-03-24
APRIL 11,"35, Molesworth Street - Dublin","APRIL 11. Dublin - 35, Molesworth Street - Committee Meeting.",Committee Meeting,,,,1910-03-24
APRIL 11,Free Library - West Bromwich,APRIL 11. West Bromwich - Free Library - At Home.,At Home,,,,1910-03-24
APRIL 12,Northwich,APRIL 12. Northwich - Drill Hall - Miss Robertson.,,,['Miss Robertson'],,1910-03-24
APRIL 14,Town Hall - West Bromwich,APRIL 14. West Bromwich - Town Hall - Men's League.,,"[""Men's League""]",,,1910-03-24
APRIL 15,Public Hall - Alderley Edge,APRIL 15. Alderley Edge - Public Hall - Miss M. Robertson.,,,['Miss M. Robertson'],,1910-03-24
APRIL 15,"Princes' Hall, St. Peter's Road - Bournemouth","APRIL 15. Bournemouth - Princes' Hall, St. Peter's Road - Miss M. Corbett.",,,['Miss M. Corbett'],,1910-03-24
APRIL 18,Peebles,"APRIL 18. Peebles - Paper on ""History of the Suffrage Movement,"" by the Hon. Secretary.","Paper on ""History of the Suffrage Movement,"" by the Hon. Secretary.",,,,1910-03-24
APRIL 19,Birmingham,APRIL 19. Birmingham - Mothers' Meeting - Miss Gardner.,Mothers' Meeting,,['Miss Gardner'],,1910-03-24
APRIL 19,Town Hall - Macclesfield,APRIL 19. Macclesfield - Town Hall - Mrs. Snowden.,,,['Mrs. Snowden'],,1910-03-24
APRIL 20,Guildhall - Windsor and Eton - London,APRIL 20. London (Windsor and Eton) - Guildhall - Mr. Baillie-Weaver.,,,['Mr. Baillie-Weaver'],,1910-03-24
APRIL 20,Co-op. Educational Institute - Hull,APRIL 20. Hull - Co-op. Educational Institute - Mrs. Rackham.,,,['Mrs. Rackham'],,1910-03-24
APRIL 20,Grand Hotel - Scarborough,"APRIL 20. Scarborough - Grand Hotel - Conversazione - Mrs. Swanwick - ""How the Vote was Won,"" by Filey Society.","Conversazione - ""How the Vote was Won,"" by Filey Society",,['Mrs. Swanwick'],,1910-03-24
APRIL 20,Bull Ring - Birmingham,APRIL 20. Birmingham - Bull Ring - Miss McHardy.,,,['Miss McHardy'],,1910-03-24
APRIL 20,Village Guild - Bournville,APRIL 20. Bournville - Village Guild - Miss Gardner.,,,['Miss Gardner'],,1910-03-24
APRIL 21,Midland Institute - Birmingham,APRIL 21. Birmingham - Midland Institute - Miss Mason's Lecture.,Miss Mason's Lecture,,,,1910-03-24
APRIL 26,"35, Molesworth Street - Dublin","APRIL 26. Dublin - 35, Molesworth Street - Committee Meeting.",Committee Meeting,,,,1910-03-24
APRIL 28,"Library Hall, Church Street - Stoke Newington - London","APRIL 28. London (Stoke Newington) - Library Hall, Church Street - Miss Palliser.",,,['Miss Palliser'],,1910-03-24
MAY 5,Jobbin's Tea Rooms - Blackheath - London,MAY 5. London (Blackheath) - Jobbin's Tea Rooms - Miss Sheepshanks.,,,['Miss Sheepshanks'],,1910-03-24
MAY 5,"35, Molesworth Street - Dublin","MAY 5. Dublin - 35, Molesworth Street - Committee Meeting.",Committee Meeting,,,,1910-03-24
MAY 5,"35, Molesworth Street - Dublin","MAY 5. Dublin - 35, Molesworth Street - Miss Mason's Lantern Lecture.",Miss Mason's Lantern Lecture,,,,1910-03-24
MAY 5,Birmingham,MAY 5. Birmingham - Mothers' Meeting - Miss Gardner.,Mothers' Meeting,,['Miss Gardner'],,1910-03-24
