Date,Location,Raw,Description,Hosts,Speakers,Issue date
OCTOBER 11,"Memorial Hall, Farringdon Street, E.C.","Memorial Hall, Farringdon Street, E.C. - Public meeting for printers and allied trades -Chair, Miss Helen Ward; Speakers, Miss Margaret Robertson, Mr. C. W. Bowerman, M.P., Mr. Evans, Mr. Naylor, Mr. Holmes 8.0, doors open 7.15",Public meeting for printers and allied trades,,"['Miss Helen Ward', 'Miss Margaret Robertson', 'Mr. C. W. Bowerman', 'Mr. Evans', 'Mr. Naylor', 'Mr. Holmes']","OCTOBER 10 , 1912"
OCTOBER 11,Deptford - Deptford Broadway,"Deptford - Deptford Broadway - open - air meeting- Speakers, Miss W. Elkin, Miss M. Goddard",open-air meeting,,"['Miss W. Elkin', 'Miss M. Goddard']","OCTOBER 10 , 1912"
OCTOBER 14,Tottenham,"Tottenham Branch Women's Co - operative Guild- Speaker, Mrs. H. E. Rawlings, 744, High Street, Tottenham. 2.30",,,['Mrs. H. E. Rawlings'],"OCTOBER 10 , 1912"
OCTOBER 14,"N. Paddington - 47a, Clifton Gardens, Maida Vale, W.","N. Paddington - 47a, Clifton Gardens, Maida Vale, W. Sewing meeting for London Society's Bazaar, members and friends from all neighbouring con- stituencies welcome","Sewing meeting for London Society's Bazaar, members and friends from all neighbouring constituencies welcome",,,"OCTOBER 10 , 1912"
OCTOBER 14,"Highgate - 26, West Hill","Highgate - 26, West Hill - Working meeting for London Society's Bazaar, members and friends from all neighbouring constituencies welcome","Working meeting for London Society's Bazaar, members and friends from all neighbouring constituencies welcome",,,"OCTOBER 10 , 1912"
OCTOBER 15,"North Lambeth - Holy Trinity Vicarage, Carlisle Street","North Lambeth - Holy Trinity Vicarage, Carlisle Street - Drawing - room meeting - Chair, Rev. A. O. Hayes, M.A. -Chair, West London Reception - Westminster Palace Hotel Miss Frances Sterling; Speakers, Mrs. Henry Fawcett, LL.D., Mrs. Stanbury, Mr. Malcolm Mitchell 3.30-6.15","Drawing-room meeting, West London Reception",,"['Rev. A. O. Hayes', 'Miss Frances Sterling', 'Mrs. Henry Fawcett', 'Mrs. Stanbury', 'Mr. Malcolm Mitchell']","OCTOBER 10 , 1912"
OCTOBER 15,"Woodford - ""Sir Wilfred Lawson Hotel""","Woodford - I.L.P. - Women's Suffrage meeting- "" Sir Hotel "" - - Speaker, Mrs. Stanbury",Women's Suffrage meeting,,['Mrs. Stanbury'],"OCTOBER 10 , 1912"
OCTOBER 15,Westminster Palace Hotel,"West London Reception - Westminster Palace Hotel Miss Frances Sterling; Speakers, Mrs. Henry Fawcett, LL.D., Mrs. Stanbury, Mr. Malcolm Mitchell 3.30-6.15",West London Reception,,"['Miss Frances Sterling', 'Mrs. Henry Fawcett', 'Mrs. Stanbury', 'Mr. Malcolm Mitchell']","OCTOBER 10 , 1912"
OCTOBER 16,"Islington - Unity Church Schoolroom, Upper Street","Islington - Unity Church Schoolroom, Upper Street -Women's Suffrage meeting - Debate, pro, anti, Mrs. Southgate; 8.15","Women's Suffrage meeting - Debate, pro, anti",,['Mrs. Southgate'],"OCTOBER 10 , 1912"
OCTOBER 17,"S. Paddington - 75, Hereford Road, W.","S. Paddington - 75, Hereford Road, W. - Sewing meeting for the London Society's bazaar, members and friends from all constituencies welcome","Sewing meeting for the London Society's bazaar, members and friends from all constituencies welcome",,,"OCTOBER 10 , 1912"
OCTOBER 17,"Kensington, N and S. - 8, Queen's Gate Terrace","Kensington, N and S. - Working party - 8, Queen's Gate Terrace",Working party,,,"OCTOBER 10 , 1912"
OCTOBER 17,"Hampstead - 13, Belsize Park Gardens","Hampstead - 13, Belsize Park Gardens - Hostess, Mrs. Fortescue Fox - Working party 3.0-6.0",Working party,['Mrs. Fortescue Fox'],,"OCTOBER 10 , 1912"
OCTOBER 17,"C. Hackney - W.L.A., 216, Mare Street","C. Haokney - W.L.A., 216, Mare Street - Women's Suffrage address - Speaker, Miss H. D. Cockle",Women's Suffrage address,,['Miss H. D. Cockle'],"OCTOBER 10 , 1912"
OCTOBER 17,"North London - Y.M.C.A., 17, Camden Road","North London Reception - Y.M.C.A., 17, Camden Road Speaker, Miss Helen Ward",Reception,,['Miss Helen Ward'],"OCTOBER 10 , 1912"
OCTOBER 17,West Newington - Corner of Penton Place and Ken- nington Park Road,"West Newington - Corner of Penton Place and Ken- nington Park Road - open - air meeting -Speakers, Mrs. Rogers, Mr. Lewis Phillips",open-air meeting,,"['Mrs. Rogers', 'Mr. Lewis Phillips']","OCTOBER 10 , 1912"
OCTOBER 19,Muswell Hill,"Muswell Hill - Sowing meeting - Hostess, Mrs. Price, 36, Leaside Avenue",Sowing meeting,['Mrs. Price'],,"OCTOBER 10 , 1912"
OCTOBER 19,"Deptford - Corner of Pepys Road, New Cross Gate","Deptford Corner of Pepys Road, New Cross Gate meeting - Speakers, -open - air H. D. Cockle, Mr. F. N. Sargant",open-air meeting,,"['H. D. Cockle', 'Mr. F. N. Sargant']","OCTOBER 10 , 1912"
OCTOBER 19,North Hackney,"North Hackney - annual meeting - Hostess, Miss Richards, 56, Clapton Common, N",annual meeting,['Miss Richards'],,"OCTOBER 10 , 1912"
OCTOBER 19,"London - 734, Holloway Road, N.","London Young Liberal N. - Branch Federation, 734, Holloway Road, N.- Speaker, Miss A. Maude Royden",,,['Miss A. Maude Royden'],"OCTOBER 10 , 1912"
OCTOBER 19,Muswell Hill - The Exchange,"Muswell Hill The Exchange - open - air meeting- Maude Royden; Speaker, Miss A. Chair, Rev. Adam Hancock (Vicar of St. Peters, Colney Hatch Lane)",open-air meeting,,"['Miss A. Maude Royden', 'Rev. Adam Hancock']","OCTOBER 10 , 1912"
OCTOBER 20,"Southwark, W. - Surrey Chapel, Blackfriars Road","Southwark, W. - Blackfriars Brotherhood - Surrey Chapel, Blackfriars Road - Speaker, Mrs. Stanbury",,,['Mrs. Stanbury'],"OCTOBER 10 , 1912"
OCTOBER 21,"N. Paddington - 47a, Clifton Gardens, Maida Vale, W.","N. Paddington - 47a, Clifton Gardens, Maida Vale, W. Sewing meeting for the London members Society's bazaar, friends from all constituencies welcome 2.30","Sewing meeting for the London members Society's bazaar, friends from all constituencies welcome",,,"OCTOBER 10 , 1912"
OCTOBER 21,"Highgate - 26, West Hill","Highgate 26, West Hill - Working meeting for London Society's bazaar. Members and friends from neighbouring con- stituencies welcome",Working meeting for London Society's bazaar. Members and friends from neighbouring constituencies welcome,,,"OCTOBER 10 , 1912"
OCTOBER 21,"Harlesden - Tubb's Road Women's Adult School, Tubb's Road","Harlesden - Tubb's Road Women's Adult School, Tubb's Speaker, Road- A. Maude Royden Miss 2.45",,,['Miss A. Maude Royden'],"OCTOBER 10 , 1912"
OCTOBER 21,North Lambeth - Corner of Hercules Road and Westminster Bridge Road,"North Lambeth - Corner of Hercules Road and Westminster Bridge Road - Speakers, Miss Stoehr, Miss W. A. Elkin, Miss M. Goddard",,,"['Miss Stoehr', 'Miss W. A. Elkin', 'Miss M. Goddard']","OCTOBER 10 , 1912"
OCTOBER 21,Hammersmith - 21 Agate Road,"Hammersmith - Christian Social Union, 21 Agate Road, Hammersmith - W. S. Debate",W.S. Debate,,,"OCTOBER 10 , 1912"
OCTOBER 11,Kilmarnock - Oddfellows ' Hall,Kilmarnock - Oddfellows ' Hall - Lady Frances 80 Balfour,,,['Lady Frances Balfour'],"OCTOBER 10 , 1912"
OCTOBER 12,Oupar - Duncan Institute,"Oupar - Duncan Institute Miss Royden, Provost Stark chair 3.0",,,"['Miss Royden', 'Provost Stark']","OCTOBER 10 , 1912"
OCTOBER 12,St. Andrews,"St. Andrews Drawing - room meeting - Hostess, Mrs. R. Mitchell Speaker, Miss Royden",Drawing-room meeting,['Mrs. R. Mitchell'],['Miss Royden'],"OCTOBER 10 , 1912"
OCTOBER 12,Newport - Blyth Hall,Newport - Blyth Hall - Cake and Candy Sale,,,,"OCTOBER 10 , 1912"
OCTOBER 14,Dunfermline St. Magaret's Hall,Dunfermline St. Magaret's Hall - Miss Royden- Sir W. Robertson ( chair ),,,"['Miss Royden', 'Sir W. Robertson']","OCTOBER 10 , 1912"
OCTOBER 15,Dunfermline St. Margaret's Hall,"Dunfermline St. Margaret's Hall, -Miss Royden-",,,['Miss Royden'],"OCTOBER 10 , 1912"
OCTOBER 17,"Glasgow - 30, Sutherland Terrace, Hillhead","Glasgow - 30, 8.30 2.30 8.0 Terrace, Hillhead- 3.30 Hostess, Mrs. Toms - Drawing - room meeting - Miss Mildred Watson",Drawing-room meeting,['Mrs. Toms'],['Miss Mildred Watson'],"OCTOBER 10 , 1912"
OCTOBER 18,"Glasgow - 21, Wilson Street, Hillhead","Glasgow - 21, Wilson Street, Hillhead - Drawing- room meeting - Hostess, Mrs. McPhail -Miss Mildred Watson",Drawing-room meeting,['Mrs. McPhail'],['Miss Mildred Watson'],"OCTOBER 10 , 1912"
OCTOBER 23,Lenzie Olonaline,"Lenzie Olonaline - Drawing - room meeting - Hostess, Miss 3.30 OCTOBER 24. Glasgow - 202, Hope Street - Annual meeting of the Glasgow and West of Scotland Asso- oiations for Women's Suffrage",Drawing-room meeting,,,"OCTOBER 10 , 1912"
OCTOBER 24,"Glasgow - 202, Hope Street","Glasgow - 202, Hope Street - Annual meeting of the Glasgow and West of Scotland Asso- oiations for Women's Suffrage",Annual meeting of the Glasgow and West of Scotland Associations for Women's Suffrage,,,"OCTOBER 10 , 1912"
OCTOBER 10,Bristol - Broad Street,Bristol - Broad Street - East Bristol - Labour meet- ing - Mrs. Chew. O. Ford,East Bristol - Labour meeting,,"['Mrs. Chew', 'O. Ford']","OCTOBER 10 , 1912"
OCTOBER 10,Austwick Pretoria Hall,"Austwick Pretoria Hall - Miss S. Women's Suffrage - C. A. L. Swale, Esq., J.P., C.C. ( chair )",,,"['Miss S', 'C. A. L. Swale']","OCTOBER 10 , 1912"
OCTOBER 15,Birmingham - Floodgate Street Medical Mission,Birmingham - Floodgate Street Medical Mission- Mrs. Ring,,,['Mrs. Ring'],"OCTOBER 10 , 1912"
OCTOBER 17,Wolverhampton - Assembly Rooms,Wolverhampton - Assembly Rooms -- Mrs. Ring,,,['Mrs. Ring'],"OCTOBER 10 , 1912"
OCTOBER 11,Liverpool,"October 11 (C.W.S.S.), Liverpool 8",,,[],"OCTOBER 10 , 1912"
OCTOBER 14,Belfast,"14 (Irish W. Suf. Fed.), Y.M.C.A. Institute, Belfast 3",,,[],"OCTOBER 10 , 1912"
OCTOBER 11,Belfast,"October 11, Mission Hall, Belfast 8",,,[],"OCTOBER 10 , 1912"
OCTOBER 15,Lisburn,"15 Temperance Institute, Lisburn 3.30",,,[],"OCTOBER 10 , 1912"
OCTOBER 17,Dublin,"17, Mansion House, Dublin 8",,,[],"OCTOBER 10 , 1912"
OCTOBER 16,Warrenpoint,"16, Old Town Hall, Warrenpoint 3",,,[],"OCTOBER 10 , 1912"
OCTOBER 16,Newry,"16, Newry 8",,,[],"OCTOBER 10 , 1912"
OCTOBER 17,Dublin,"17, Molesworth Hall, Dublin 8",,,[],"OCTOBER 10 , 1912"
OCTOBER 18,Cork,"18, Clarence Hall, Cork 3.30",,,[],"OCTOBER 10 , 1912"
OCTOBER 19,Waterford,"19, Waterford 2.45",,,[],"OCTOBER 10 , 1912"
OCTOBER 23,Devizes,"23, N.U.W.S.S. Devizes 8",,,[],"OCTOBER 10 , 1912"
OCTOBER 25,Kingston-on-Thames,"25, After Care Fed., Girls, Kingston-on-Thames. 3.30",,,[],"OCTOBER 10 , 1912"
OCTOBER 26,Wimbledon,"October 26, C.W.S.S., Wimbledon 8",,,[],"OCTOBER 10 , 1912"
OCTOBER 28,Droitwich,"28 (on White Slave Traffic), Droitwich 8",on White Slave Traffic,,[],"OCTOBER 10 , 1912"
OCTOBER 29,Worcester,"29 (N.U.W.S.S.), Worcester 8",,,[],"OCTOBER 10 , 1912"
OCTOBER 31,Barnstable,"31, Joint Religious Demonstration, Barn-stable 8",Joint Religious Demonstration,,[],"OCTOBER 10 , 1912"
OCTOBER 10,"Hampstead - 6, Keats Grove, Downshire Hill","npstead - 6, Keats Grove, Downshire Hill- Sewing meeting 3.0-6.0",Sewing meeting,,,"OCTOBER 10 , 1912"
OCTOBER 10,Northwood,"rthwood - drawing - room meeting - Hostess, Mrs. Road; Speaker, 3.30",drawing-room meeting,,,"OCTOBER 10 , 1912"
OCTOBER 10,West Southwark - Corner of Borough Road and St. George's Circus,"est Southwark - Corner of Borough Road and St. George's Circus - open - air meeting- Speakers, Miss Agnes Dawson, Miss Stoehr, Miss Fielden 7.30",open-air meeting,,"['Miss Agnes Dawson', 'Miss Stoehr', 'Miss Fielden']","OCTOBER 10 , 1912"
