Date,Location,Raw,Speakers,Issue date
NOVEMBER 14,King's Lynn - Central Hall,"King's Lynn - Central Hall - Mrs . Rackham , Mrs. Ingleby , Dr. C. V. Drysdale","['Mrs. Rackham', 'Mrs. Ingleby', 'Dr. C. V. Drysdale']","NOVEMBER 14 , 1912"
NOVEMBER 14,"Bishopsworth - Mrs. Verbeyst, Grange Road","Bishopsworth - Mrs . Verbeyst , Grange Road- Drawing - room meeting - Miss J. M. Baretti , Miss Tanner","['Miss J. M. Baretti', 'Miss Tanner']","NOVEMBER 14 , 1912"
NOVEMBER 14,Whitby - Liberal Club,Whitby - Liberal Club - Miss Dutton,['Miss Dutton'],"NOVEMBER 14 , 1912"
NOVEMBER 15,"Newcastle-on-Tyne - Studio, 17, Claremont Buildings, the Misses Davies' drawing-room","Newcastle - on - Tyne . - Studio , 17 , Claremont Build- ings , the Misses Davies ' drawing - room meeting - Miss Frances Sterling",['Miss Frances Sterling'],"NOVEMBER 14 , 1912"
NOVEMBER 15,"Manchester - Cavendish Municipal Schools, All Saints","Manchester - Cavendish Municipal Schools , All Saints - Mrs . F. T. Swanwick , M.A. , Miss Alison Garland . Professor Hickson , F.S.A. ( chair )","['Mrs. F. T. Swanwick', 'M.A.', 'Miss Alison Garland', 'Professor Hickson', 'F.S.A.']","NOVEMBER 14 , 1912"
NOVEMBER 15,Morpeth Town Hall,"Morpeth Town Hall , Miss F. Sterling",['Miss F. Sterling'],"NOVEMBER 14 , 1912"
NOVEMBER 15,Monkseaton - Mrs. Robinson's drawing-room,Monkseaton - Mrs . Robinson's drawing - room meet- ing - Miss C. M. Gordon . Dr. Mabel Campbell ( chair ),"['Miss C. M. Gordon', 'Dr. Mabel Campbell']","NOVEMBER 14 , 1912"
NOVEMBER 15,Barnham - Life Boat Pavilion,Barnham - Life Boat Pavilion - Miss Helen Fraser . Col. Caulfield Stoker ( chair ),"['Miss Helen Fraser', 'Col. Caulfield Stoker']","NOVEMBER 14 , 1912"
NOVEMBER 15,W.T.A.,W.T.A.- White Slave Traffic Mrs. Raffles Bulley,['Mrs. Raffles Bulley'],"NOVEMBER 14 , 1912"
NOVEMBER 15,"East Bristol - Mrs. Edward, Barton Hill, drawing-room","East Bristol - Mrs . Edward , Barton Hill , drawing- room meeting - Miss M. Robertson",['Miss M. Robertson'],"NOVEMBER 14 , 1912"
NOVEMBER 16,Gosforth - Presbyterian Hall,"Gosforth - Presbyterian Hall - Miss Frances Ster- ling , Miss Dorothy Giles","['Miss Frances Sterling', 'Miss Dorothy Giles']","NOVEMBER 14 , 1912"
NOVEMBER 16,"Manchester - Fairhill, Kersal Miss Woolley's drawing-room","Manchester - Fairhill , Kersal Miss Woolley's drawing - room meeting - Mrs . F. T. Swanwick , M.A. , G. G. Armstrong , Esq . E. Neville Smith , Esq . ( chair )","['Mrs. F. T. Swanwick', 'M.A.', 'G. G. Armstrong', 'Esq .', 'E. Neville Smith', 'Esq .']","NOVEMBER 14 , 1912"
NOVEMBER 16,Rowland's Gill - Hamsterley Hall,Rowland's Gill - Hamsterley Hall - Miss F. Ster- ling . Viscountess Gort ( chair ),"['Miss F. Sterling', 'Viscountess Gort']","NOVEMBER 14 , 1912"
NOVEMBER 16,Gosforth - Miss Surtees' drawing-room,"Gosforth - Miss Surtees ' drawing - room meeting- Miss Frances Sterling , Miss D. Giles","['Miss Frances Sterling', 'Miss D. Giles']","NOVEMBER 14 , 1912"
NOVEMBER 16,Cinderford - Wesley Hall,"Cinderford - Wesley Hall - Miss Helen Frazer . S. J. Elsern , Esq . , J.P. ( chair )","['Miss Helen Frazer', 'S. J. Elsern', 'Esq', 'J.P.']","NOVEMBER 14 , 1912"
NOVEMBER 16,Bramhall - Council Schoolroom,"Bramhall - Council Schoolroom - Mrs . F. T. Swan- wick , M.A. , H. Pilkington Turner , Esq .","['Mrs. F. T. Swanwick', 'M.A.', 'H. Pilkington Turner', 'Esq .']","NOVEMBER 14 , 1912"
NOVEMBER 16,Cambo - Miss Beaver,"Cambo - Miss Beaver , Mrs. G. D. Biltcliffe","['Miss Beaver, Mrs. G. D. Biltcliffe']","NOVEMBER 14 , 1912"
NOVEMBER 17,Manchester Coal Exchange -I.L.P.,"Manchester Coal Exchange -I.L.P. Mrs. F. T. Swanwick , M.A. , Mrs. Annot E. Robinson , LL.A.","['Mrs. F. T. Swanwick', 'M.A.', 'Mrs. Annot E. Robinson', 'LL.A.']","NOVEMBER 14 , 1912"
NOVEMBER 18,Street Crispin Hall,Street Crispin Hall - Miss Fraser,['Miss Fraser'],"NOVEMBER 14 , 1912"
NOVEMBER 18,Knebworth - The Mission Room,"Knebworth - The Mission Room Miss Bertha Mason , Lord Lytton ( chair )","['Miss Bertha Mason', 'Lord Lytton']","NOVEMBER 14 , 1912"
NOVEMBER 18,Manchester - Fortnightly meeting of the South Salford Suffrage Association,Manchester - Fortnightly meeting of the South Salford Suffrage Association,[],"NOVEMBER 14 , 1912"
NOVEMBER 18,"Bristol - 111a, White Ladies Road","Bristol - 111a , White Ladies Road - Speakers ' class , Leader , Mrs. Randall Vickers",['Mrs. Randall Vickers'],"NOVEMBER 14 , 1912"
NOVEMBER 18,Bridport - Rifle Drill Hall,"Bridport - Rifle Drill Hall - The Lady Frances Balfour , Miss Skrine , Rev. M. C. Dasent , G.A. ( ohair )","['The Lady Frances Balfour', 'Miss Skrine', 'Rev. M. C. Dasent', 'G.A.']","NOVEMBER 14 , 1912"
NOVEMBER 18,"Croydon - 34a, The Arcade","Croydon - 34a , The Arcade - Miss Amy Miller",['Miss Amy Miller'],"NOVEMBER 14 , 1912"
NOVEMBER 18,"Wigan - I.L.P. rooms, King Street West","Wigan - I.L.P . rooms , King Street West - Mrs . F. T. Swanwick",['Mrs. F. T. Swanwick'],"NOVEMBER 14 , 1912"
NOVEMBER 19,"Manchester - 339, Oxford Road - Dr. Catherine Chisholm's drawing-room","Manchester - 339 , Oxford Road - Dr . Catherine Chisholm's drawing - room meeting-Mrs. F. T. Swanwick , M.A. Professor Alexander ( chair )","['Mrs. F. T. Swanwick', 'M.A.', 'Professor Alexander']","NOVEMBER 14 , 1912"
NOVEMBER 19,Fatfield,Fatfield Public meeting - Miss C. M. Gordon,['Miss C. M. Gordon'],"NOVEMBER 14 , 1912"
NOVEMBER 19,"East Bristol - 1, Barrow Road","East Bristol - 1 , Barrow Road - Suffrage meeting for women - Tea",[],"NOVEMBER 14 , 1912"
NOVEMBER 19,Fakenham - Y.M.C.A.,Fakenham - Y.M.C.A . Debate - Miss K. J. Coyle,['Miss K. J. Coyle'],"NOVEMBER 14 , 1912"
NOVEMBER 19,Wadebridge - Town Hall,Wadebridge - Town Hall - The Lady Frances Balfour,['The Lady Frances Balfour'],"NOVEMBER 14 , 1912"
NOVEMBER 19,Dublin - Mansion House,"Dublin - Mansion House - Miss S. C. Harrison , T.C. , Councillor Eleanor Rathbone ( Liver- pool ) , "" The Present Position of the Women's Movement ""","['Miss S. C. Harrison', 'T.C.', 'Councillor Eleanor Rathbone']","NOVEMBER 14 , 1912"
NOVEMBER 19,"Bexhill- ""Aviedale""","Bexhill- "" Aviedale "" "" At Home "" ( by kind permis- sion of Miss Clyde ) -Miss Helen Wright",['Miss Helen Wright'],"NOVEMBER 14 , 1912"
NOVEMBER 19,East Cambs. - Icleton School,"East Cambs . - Icleton School - Mrs . Ramsey - Mr . Mirrlees , Rev. F. J. Tackley","['Mrs. Ramsey', 'Mr. Mirrlees', 'Rev. F. J. Tackley']","NOVEMBER 14 , 1912"
NOVEMBER 19,"Bristol - St. Luke's Mission Hall, Barton Hill (to women)","Bristol - St . Luke's Mission Hall , Barton Hill ( to women ) Miss M. Robertson , Rev Cameron Wilson ( chair )","['Miss M. Robertson', 'Rev Cameron Wilson']","NOVEMBER 14 , 1912"
NOVEMBER 20,"Leeds 9, Park Lane","Leeds 9 , Park Lane - Mrs. Marvin , M.A .: "" Professional Women in Marriage - A Suggestion","['Mrs. Marvin, M.A.']","NOVEMBER 14 , 1912"
NOVEMBER 20,Lytham - Ansdell Institute,Lytham - Ansdell Institute - Miss Eleanor Rathbone . Mrs. Whittle ( chair ),"['Miss Eleanor Rathbone', 'Mrs. Whittle']","NOVEMBER 14 , 1912"
NOVEMBER 20,Birkenhead - Y.M.C.A. Hall,"Birkenhead - Y.M.C.A . Hall - Public meeting - Mrs . Ring , Mr. J. Cameron Grant , Mr. Lyon Blease , LL.B. ( chair )","['Mrs. Ring', 'Mr. J. Cameron Grant', 'Mr. Lyon Blease, LL.B.']","NOVEMBER 14 , 1912"
NOVEMBER 20,Walker - Co-operative Hall,"Walker - Co - operative Hall - Mrs . G. D. Biltcliffe , Dr. Ethel Williams","['Mrs. G. D. Biltcliffe', 'Dr. Ethel Williams']","NOVEMBER 14 , 1912"
NOVEMBER 20,Winscombe Assembly Rooms,Winscombe Assembly Rooms - Miss Helen Fraser . Mrs. W. C. H. Cross ( chair ),"['Miss Helen Fraser', 'Mrs. W. C. H. Cross']","NOVEMBER 14 , 1912"
NOVEMBER 20,Cheadle,"Cheadle Mrs. F. T. Swanwick , M.A. , C. V. Cox , Esq . , B.A. Professor Weiss , D.Sc. ( chair )","['Mrs. F. T. Swanwick', 'M.A.', 'C. V. Cox', 'Esq', 'B.A.', 'Professor Weiss', 'D.Sc.']","NOVEMBER 14 , 1912"
NOVEMBER 20,Pymouth - Hyde Park School,Pymouth - Hyde Park School - Dr . Mabel Ramsay,['Dr. Mabel Ramsay'],"NOVEMBER 14 , 1912"
NOVEMBER 20,High Wycombe - Guildhall,"High Wycombe - Guildhall - Mr . D. H. Harbein , Miss Dove , M.A. ( chair )","['Mr. D. H. Harbein', 'Miss Dove', 'M.A.']","NOVEMBER 14 , 1912"
NOVEMBER 20,Horley - Victoria Hall,"Horley - Victoria Hall - Mrs . Timpauy , Mrs. Auer- bach ( chair )","['Mrs. Timpauy', 'Mrs. Auer-bach']","NOVEMBER 14 , 1912"
NOVEMBER 20,Lorton (Cockermouth) - Yew Tree Hall,Lorton ( Cockermouth ) -Yew Tree Hall - Miss Norma- Smith,['Miss Norma-Smith'],"NOVEMBER 14 , 1912"
NOVEMBER 20,Coniston - Haws Bank,"Coniston - Haws Bank - Mrs . Renton , Miss Broatch , Mrs. Cunliffe and others","['Mrs. Renton', 'Miss Broatch', 'Mrs. Cunliffe']","NOVEMBER 14 , 1912"
NOVEMBER 20,"Bristol - Bethesda Schoolroom, Redfield","Bristol - Bethesda Schoolroom , Redfield - Miss M. Robertson . Councillor W. G. Pope ( chair )","['Miss M. Robertson', 'Councillor W. G. Pope']","NOVEMBER 14 , 1912"
NOVEMBER 21,"Leicester Mrs. Robert Pochin's drawing-room, Ashleigh Road","Leicester Mrs. Robert Pochin's drawing - room meeting , Ashleigh Road - Miss K. J. Blatt",['Miss K. J. Blatt'],"NOVEMBER 14 , 1912"
NOVEMBER 21,"Gloucester - Northgate Mansions, Northgate Street","Gloucester - Northgate Mansions , Northgate Street -The Lady Frances Balfour - Miss Helen Fraser . The Lady Maud Parry ( chair )","['The Lady Frances Balfour', 'Miss Helen Fraser', 'The Lady Maud Parry']","NOVEMBER 14 , 1912"
NOVEMBER 21,Bathurst Lound,Bathurst Lound - Miss Willis,['Miss Willis'],"NOVEMBER 14 , 1912"
NOVEMBER 22,Letchworth - Pixmore Institute,Letchworth - Pixmore Institute - Dramatic enter- tainment,[],"NOVEMBER 14 , 1912"
NOVEMBER 22,Cockermouth - Christ Church Schoolroom,Cockermouth - Christ Church Schoolroom - Miss Norma Smith,['Miss Norma Smith'],"NOVEMBER 14 , 1912"
NOVEMBER 22,Clevedon - Public Hall,Clevedon - Public Hall - Miss Helen Gladys Pott . Dr. Visger ( chair ),"['Miss Helen Gladys Pott', 'Dr. Visger']","NOVEMBER 14 , 1912"
NOVEMBER 22,Bexhill - Victoria Hall,"Bexhill - Victoria Hall - Miss Norah D. Harben , Esq .",['Miss Norah D. Harben'],"NOVEMBER 14 , 1912"
NOVEMBER 22,Stevenage Small Public Hall,Stevenage Small Public Hall - Mrs . P. M. Wathen ( chair ),['Mrs. P. M. Wathen'],"NOVEMBER 14 , 1912"
NOVEMBER 22,Hitchen - Workman's Hall,Hitchen - Workman's Hall - Mrs . Taylor,['Mrs. Taylor'],"NOVEMBER 14 , 1912"
NOVEMBER 22,Falmouth - Drill Hall,"Falmouth - Drill Hall - H . Baillie Weaver , Esq . , LL.B. Mrs. F. D. Acland ( chair )","['H. Baillie Weaver', 'Esq', 'LL.B.', 'Mrs. F. D. Acland']","NOVEMBER 14 , 1912"
NOVEMBER 23,Buntingford - Technical Institute,"Buntingford - Technical Institute - Mrs J. M. Mirrlees . Mr. O'Shea , Henry ( ohair )","['Mrs. J. M. Mirrlees', ""Mr. O'Shea"", 'Henry']","NOVEMBER 14 , 1912"
NOVEMBER 23,Bristol - Annual Meeting of the West Federation,Bristol - Annual Meeting of the West Federation,[],"NOVEMBER 14 , 1912"
NOVEMBER 23,"Queen's Hall, Clifton","Queen's Hall , Clifton- Miss Courtney , Miss Abadam","['Miss Courtney', 'Miss Abadam']","NOVEMBER 14 , 1912"
NOVEMBER 23,Wadebridge,"Wadebridge - Miss Abadam , Mr. Baillie Weaver","['Miss Abadam', 'Mr. Baillie Weaver']","NOVEMBER 14 , 1912"
NOVEMBER 23,Birmingham - Selby Wood - Mrs. Dunn's Drawing-room,Birmingham - Selby Wood - Mrs . Dunn's Drawing - room meeting - Hon . Mrs. Basil Hanbury and others ( In connection with the Conserative and Unionist Franchise Association ) .,['Hon. Mrs. Basil Hanbury'],"NOVEMBER 14 , 1912"
NOVEMBER 23,"Bristol - 111a, White Ladies' Road","Bristol - 111a , White Ladies ' Road - Speakers ' Class- leader Mrs. Randall Vickers",['Mrs. Randall Vickers'],"NOVEMBER 14 , 1912"
NOVEMBER 23,Newcastle - Mrs. Atkinson's Drawing-room,Newcastle - Mrs . Atkinson's Drawing - room meeting- Mrs . Rackham,['Mrs. Rackham'],"NOVEMBER 14 , 1912"
NOVEMBER 23,Hartlepool,Hartlepool Public meeting - Mrs . Rackham,['Mrs. Rackham'],"NOVEMBER 14 , 1912"
NOVEMBER 23,"Tunbridge Wells - 18, Crescent Road","Tunbridge Wells - 18 , Crescent Road - The Hon . Sec- retaries ' "" At Home "" to meet Mrs. Randall Vickers",[],"NOVEMBER 14 , 1912"
NOVEMBER 25,Barnsley Public Hall,Barnsley Public Hall - Miss Robertson,['Miss Robertson'],"NOVEMBER 14 , 1912"
NOVEMBER 25,New Milton Pagoda Tea Rooms,New Milton Pagoda Tea Rooms - Meeting for mem- bers and friends - Mrs . Bonwick,['Mrs. Bonwick'],"NOVEMBER 14 , 1912"
NOVEMBER 25,Letchworth - Pixmore Institute,"Letchworth - Pixmore Institute - Mrs . W. Hogg , LL.B. , Dr. Marion Cooper ( chair )","['Mrs. W. Hogg', 'LL.B.', 'Dr. Marion Cooper']","NOVEMBER 14 , 1912"
NOVEMBER 25,"Croydon - 34a, The Arcade","Croydon - 34a , The Arcade - Mrs . Ackroyd",['Mrs. Ackroyd'],"NOVEMBER 14 , 1912"
NOVEMBER 26,Bradford Mechanics' Hall,Bradford Mechanics ' Hall - Miss Robertson,['Miss Robertson'],"NOVEMBER 14 , 1912"
NOVEMBER 26,Lymington - Literary Institute,Lymington - Literary Institute - Mrs . Bonwick,['Mrs. Bonwick'],"NOVEMBER 14 , 1912"
NOVEMBER 26,Stockton,Stockton - Public meeting - Mrs . Cooper,['Mrs. Cooper'],"NOVEMBER 14 , 1912"
NOVEMBER 27,"London - North London Reception - Y.M.C.A., Camden Road","[ LONDON . ]
NOVEMBER 14 .
North London Reception - Y.M.C.A . , Camden Road - Speaker , Mrs. S.",['Mrs. S.'],"NOVEMBER 14 , 1912"
NOVEMBER 27,"Paddington - 75, Hereford Road","Paddington - 75 , Hereford Road , W. - Sewing Meeting for the London Bazaar - Members and friends from all constituencies welcome",[],"NOVEMBER 14 , 1912"
NOVEMBER 27,Hincksworth - County School,"Hincksworth - County School - Mrs . M. Mirrlees . Mrs. Gilford : "" Prison ""","['Mrs. M. Mirrlees', 'Mrs. Gilford']","NOVEMBER 14 , 1912"
NOVEMBER 27,Wadebridge,Wadebridge Miss Abadam ( women only ) - Dr . Mabel Ramsay,"['Miss Abadam', 'Dr. Mabel Ramsay']","NOVEMBER 14 , 1912"
NOVEMBER 27,Plymouth - Hyde Park - Wesley Guild,Plymouth - Hyde Park - Wesley Guild - Miss Moseley - Mrs . Cooper .,"['Miss Moseley', 'Mrs. Cooper']","NOVEMBER 14 , 1912"
NOVEMBER 27,Birmingham - Overdale Lodge,"Birmingham - Overdale Lodge , Wolverley Ford- Mr. J. Cooper , Mrs. F. Cooper , Mr. J. Wolverley Ford- ham ( chair ) .","['Mr. J. Cooper', 'Mrs. F. Cooper', 'Mr. J. Wolverley Ford-ham']","NOVEMBER 14 , 1912"
NOVEMBER 28,Dewsbury Exchange Hall,Dewsbury Exchange Hall - Miss Robertson,['Miss Robertson'],"NOVEMBER 14 , 1912"
NOVEMBER 28,Edenbridge,"Edenbridge Mrs. Corbett Ashby , Miss Helga Gill","['Mrs. Corbett Ashby', 'Miss Helga Gill']","NOVEMBER 14 , 1912"
NOVEMBER 28,Ringwood - Lecture Hall,"Ringwood - Lecture Hall - Mrs . Bonwick , Mrs. Cooper , Mr. J. Wolverley Ford- ham ( chair ) , Rev. C.","['Mrs. Bonwick', 'Mrs. Cooper', 'Mr. J. Wolverley Ford-ham', 'Rev. C.']","NOVEMBER 14 , 1912"
NOVEMBER 28,"Bristol - Mrs. De Wintons' drawing-room, Acton Lodge, Sneyd Park","Bristol - Mrs . De Wintons ' drawing - room meeting , Acton Lodge , Sneyd Park - Mrs . Caldwell's","[""Mrs. Caldwell's""]","NOVEMBER 14 , 1912"
NOVEMBER 14,"London - North London Reception - Y.M.C.A., Camden Road","North London Reception - Y.M.C.A . , Camden Road - Speaker , Mrs. S.",['Mrs. S.'],"NOVEMBER 14 , 1912"
NOVEMBER 14,"London - Paddington - 75, Hereford Road","Paddington - 75 , Hereford Road , W. - Sewing Meeting for the London Bazaar - Members and friends from all constituencies welcome",[],"NOVEMBER 14 , 1912"
NOVEMBER 14,London - Hampstead,"Hampstead - Working Party - Hostess , Mrs. For- tescue Fox , 13 , Belsize Park",[],"NOVEMBER 14 , 1912"
NOVEMBER 14,"London - Kensington, N. and S.","Kensington , N. and S. - Working party - 8 , Queen's Gate Terrace",[],"NOVEMBER 14 , 1912"
NOVEMBER 14,London - Wimbledon,"Wimbledon - Hackney , Sewing meeting - Stamford House , Wimbledon Common",[],"NOVEMBER 14 , 1912"
NOVEMBER 14,"London - Hackney, C. and S. - Drawing-room","Hackney , C. and S. - Drawing - room meeting - Hostess , Mrs. Buggé , 3 , Meynell Road . Chair , Mrs. Fisher . Speaker , Miss M. Sheepshanks",['Miss M. Sheepshanks'],"NOVEMBER 14 , 1912"
NOVEMBER 14,London - Sutton,"Sutton Drawing - room meeting - Hostess , Mrs. Logan , "" Lindene , "" Carshalton . Speaker , Mrs. Merivale Mayer",['Mrs. Merivale Mayer'],"NOVEMBER 14 , 1912"
NOVEMBER 15,London - Camberwell,"Camberwell - Members ' meeting - Hostess , Mrs. Harvey , 46 , The Gardens , Dulwich",[],"NOVEMBER 14 , 1912"
NOVEMBER 16,London - Ewell,"Ewell Suffrage Jumble Sale - 8 , Queen's Road",[],"NOVEMBER 14 , 1912"
NOVEMBER 18,"London - N. Paddington - 47a, Clifton Gardens, W.","N. Paddington - 47a , Clifton Gardens , W. - Sewing Meeting for Society's Bazaar . Members and friends from all constituencies welcome",[],"NOVEMBER 14 , 1912"
NOVEMBER 18,"London - Forest Hill - Congregational Church, Sisterhood School Hall, London Road","Forest Hill - Congregational Church , Sisterhood School Hall , London Road , Forest Hill - Mrs. Rackham",['Mrs. Rackham'],"NOVEMBER 14 , 1912"
NOVEMBER 18,London - Highgate,"Highgate - Working party - 3 , Holly Terrace- Hostess , Mrs. Rand",[],"NOVEMBER 14 , 1912"
NOVEMBER 18,"London - Hackney, C. and S.","Hackney , C. and S. - Working party - 17 , Camden Road - Sewing meeting for Society's Bazaar - All friends are invited to attend",[],"NOVEMBER 14 , 1912"
NOVEMBER 19,London - North Hackney - Drawing-room,"North Hackney - Drawing - room meeting - Hostess , Mrs. Bishop , 117 , Lane , Clapton , N.",[],"NOVEMBER 14 , 1912"
NOVEMBER 19,"London - Islington - Crouch Hill Debating Society, Church Hall","Islington - Crouch Hill Debating Society , Church Hall . Speakers , Miss C. Corbett and Miss Mabel Smith","['Miss C. Corbett', 'Miss Mabel Smith']","NOVEMBER 14 , 1912"
NOVEMBER 19,London - Fulham,"Fulham - Hostesses , The Misses Smith , 20 , Talgarth Road , W. Kensington . Chair , R. F. Cholmeley , Esq . Speaker , Miss Frances Sterling .","['R. F. Cholmeley', 'Esq', 'Miss Frances Sterling']","NOVEMBER 14 , 1912"
NOVEMBER 20,"London - Highgate - Working women's meeting - Spears Memorial Hall, Highgate Road","Highgate Working women's meeting Spears Memorial Hall , Highgate Road - Chair , Miss Violet Withall . Speakers , Mrs. Garnett , Mrs. Holyoake Marsh . Music and recitations arranged by Miss Hadrill","['Miss Violet Withall', 'Mrs. Garnett', 'Mrs. Holyoake Marsh', 'Miss Hadrill']","NOVEMBER 14 , 1912"
NOVEMBER 20,London - Ealing - Drawing-room,"Ealing Drawing - room meeting - Hostess , Miss Debac , 37 , Uxbridge Road . Speaker , Miss P. Fawcett",['Miss P. Fawcett'],"NOVEMBER 14 , 1912"
NOVEMBER 20,"London - Islington - Congregational Chapel, Caledonian Road","Islington - Congregational Chapel , Caledonian Road -Speaker , Mrs. Rackham , "" How the Vote will Affect Wages",['Mrs. Rackham'],"NOVEMBER 14 , 1912"
NOVEMBER 20,"London - Lambeth - Archbishop Temple Schools, 202, Lambeth Road","Lambeth - Archbishop Temple Schools , 202 , Lambeth Road- Publio meeting . Chair , Alderman George Hinds . Speakers , Miss A. Maude Royden , Dr. Drysdale , Councillor Wood","['Alderman George Hinds', 'Miss A. Maude Royden', 'Dr. Drysdale', 'Councillor Wood']","NOVEMBER 14 , 1912"
NOVEMBER 21,"London - S. Paddington - 75, Hereford Road","S. Paddington - 75 , Hereford Road , W. - Sewing meeting for the London Society's Bazaar . Members and friends from all constituencies welcome",[],"NOVEMBER 14 , 1912"
NOVEMBER 21,"London - Finsbury - ""Claremont Central Mission, Pentonville""","Finsbury Young Mothers , "" Claremont Central Mission , Pentonville - Speaker , Mrs. Garrett Jones",['Mrs. Garrett Jones'],"NOVEMBER 14 , 1912"
NOVEMBER 21,"London - Kensington, N. and S.","Kensington , N. and S. - Working party - 8 , Queen's Gate Terrace",[],"NOVEMBER 14 , 1912"
NOVEMBER 21,London - Hampstead,"Hampstead - Working party - Hostess , Mrs. For- tescue Fox , 13 , Belsize Park Gardens , Hampstead",[],"NOVEMBER 14 , 1912"
NOVEMBER 21,"London - Wimbledon - Stepney School for Mothers, 587, Commercial Road","Wimbledon - Stepney School for Mothers , 587 , Commercial Road Speaker , Miss M. Sheepshanks",['Miss M. Sheepshanks'],"NOVEMBER 14 , 1912"
NOVEMBER 21,"London - Hackney, C. and S. - All Saints, Bluzton Road, Lower Clapton","Hackney , C. and S. - All Saints , Bluzton Road , Lower Clapton "" The Religious Aspect of the Women's Movement . "" Speakers , Miss A. Maude Royden , Mrs. Luke Paget . Chair , Rev. W. G. Cameron - Stamford House","['Miss A. Maude Royden', 'Mrs. Luke Paget', 'Rev. W. G. Cameron']","NOVEMBER 14 , 1912"
NOVEMBER 21,"London - St. George's, Hanover Square - Liberal Association - Lecture Hall, 26, Moreton Street","St. George's , Hanover Square - Liberal Association -Lecture Hall , 26 , Moreton Street- Speaker , Mrs. Rackham",['Mrs. Rackham'],"NOVEMBER 14 , 1912"
NOVEMBER 21,"London - Islington - Memorial Hall (Lower Hall), Vicarage Gate","Islington - Memorial Hall ( Lower Hall ) , Vicarage Gate Speaker , Miss Ruth Young",['Miss Ruth Young'],"NOVEMBER 14 , 1912"
NOVEMBER 21,"London - North London Reception - Y.M.C.A., Camden Road","North London Reception - Y.M.C.A . , 17 , Camden Road - Social Gathering - Chair , Miss I. O. Ford . Speakers , W. H. Dickinson , Esq . , M.P. , G. A. Touche , Esq . , M.P.","['Miss I. O. Ford', 'W. H. Dickinson', 'Esq', 'M.P.', 'G. A. Touche', 'Esq', 'M.P.']","NOVEMBER 14 , 1912"
NOVEMBER 18,Birmingham - Sparkhill Women's Guild - Co-operative,Birmingham - Sparkhill Women's Guild - Mrs . Ring Co - operative,['Mrs. Ring'],"NOVEMBER 14 , 1912"
NOVEMBER 18,"Bristol - Counterslip Chapel Schoolroom, Victoria Street","Bristol - Counterslip Chapel Schoolroom , Victoria . Street - Liberal women's meeting- Mrs. W. C. H. Cross",['Mrs. W. C. H. Cross'],"NOVEMBER 14 , 1912"
NOVEMBER 18,East Bristol - St. Luke's Mission Hall,East Bristol . - St . Luke's Mission Hall - Mothers ' meeting - Miss Tothill,['Miss Tothill'],"NOVEMBER 14 , 1912"
