Date,Location,Raw,Hosts,Speakers,Time,Issue date
"December 30, 1909",Bristol,Horsefair................... ......... ...... .....,[],['Miss Ogston'],7.30 p.m.,"December 24, 1909"
"December 30, 1909",Bristol,"Fishponds, Station Road ..",[],['Miss Barrett'],7.30 p.m.,"December 24, 1909"
"December 30, 1909",London,"London—St. James’s Hall, At Home..",[],"['Mrs. Pankhurst', 'Mrs. Pethick Lawrence', 'Miss Christabel Pankhurst']",8—10 p.m.,"December 24, 1909"
"December 30, 1909",London,"World’s End, St. John’s Hall ........",[],"['Miss Naylor', 'Mrs. Cecil Chapman']",8 p.m.,"December 24, 1909"
"December 31, 1909",Bristol,"Friday, 31...... Bristol, Lewin’s Mead Unitrn. Chapel",[],['Miss Ogston'],1.30 p.m.,"December 24, 1909"
"December 31, 1909",Bristol,"Narrow Weir, Outside Adlams",[],['Miss Garnett'],1.30 p.m.,"December 24, 1909"
"December 31, 1909",Bristol,Portland Square .............,[],['Dr. Jones'],1.30 p.m.,"December 24, 1909"
"December 31, 1909",Bristol,Armoury Square ................,[],['Miss Ogston'],7.30 p.m.,"December 24, 1909"
"December 31, 1909",Bristol,Horsefair.......................... .,[],['Miss Barrett'],7.30 p.m.,"December 24, 1909"
"January 1, 1910",Bristol,"Saturday, 1 ..  Fishponds, Station Road . ..........",[],['Miss Garnett'],7.30 p.m.,"December 24, 1909"
"January 1, 1910",Bristol,"Bristol, Armoury Square....... .........",[],['Miss Garnett'],7.30 p.m.,"December 24, 1909"
"January 1, 1910",Bristol,"Fishponds, Station Road .... :. ...",[],['Miss Ogston'],7.30 p.m.,"December 24, 1909"
"January 1, 1910",Bristol,Horsefair....................................,[],['Dr. Jones'],7.30 p.m.,"December 24, 1909"
"January 1, 1910",London,"London Chelsea, Ladbroke Hall. ...",[],"['Miss Evelyn Sharp', 'H. W. Nevinson']",3 p.m.,"December 24, 1909"
"January 3, 1910",Brighton,"January 3.    Brighton, TheDome .........................",[],"['Mrs. Pankhurst', 'Mrs. Pethick Law- rence']",3-5 p.m.,"December 24, 1909"
"January 3, 1910",London,"London—St. James’s Hall, At Home",[],"['Mrs. Pethick Lawrence', 'Miss Christabel Pankhurst']",3 p.m.,"December 24, 1909"
"January 3, 1910",London,"World’s End, St. John’s Hall ......",[],['Miss Evelyn Sharp'],8 p.m.,"December 24, 1909"
"January 4, 1910",Scarborough,"January 4. Scarborough, Catlin’s Arcadia ........",[],['Miss A. Pankhurst'],8 p.m.,"December 24, 1909"
"January 5, 1910",Canterbury,January 5.   Canterbury. ................ ...................,[],['Miss Christabel Pankhurst'],,"December 24, 1909"
"January 6, 1910",Manchester,"January 6.    Manchester (Associated News Chapel), Caxton Hall ..................",[],['Miss Mary Gawthorpe'],2 p.m.,"December 24, 1909"
"January 6, 1910",Haslingden,"January 6.    Haslingden, Release of Nurse Bryant",[],[],,"December 24, 1909"
"January 7, 1910",London,January 7.    London-World’s End.St. John’s Hall,[],['Miss Canning'],8 p.m.,"December 24, 1909"
"January 7, 1910",Scarborough,"January 7.    Scarborough, Old Town Hall.........",[],['Lantern Lecture'],8 p.m.,"December 24, 1909"
"January 10, 1910",Hull,"January 10 ... Hull, Royal Institution .....................",[],"['Miss Helen Ogston', 'Rev. J. M. Lloyd Thomas']",8 p.m.,"December 24, 1909"
"January 11, 1910",Cottingham,"January 11 ... Cottingham, King Street School ....",[],['Miss Helen Ogston'],8 p.m.,"December 24, 1909"
"January 11, 1910",Manchester,"January 11 ... Manchester, At Home, Onward Buildings, Deansgate..............",[],['Miss Mary Gawthorpe'],8 p.m.,"December 24, 1909"
"January 12, 1910",London,"January 12... London—Battersea, Town Hall....",[],['Miss Pankhurst'],8 p.m.,"December 24, 1909"
"January 13, 1910",Manchester,"January 13 .... Manchester, Miss Emily Davison’s Case ...............................................",[],"['Mre. Pankhurst', 'Miss Mary Gawthorpe']",,"December 24, 1909"
"January 13, 1910",Manchester,January 13 .... Free Trade Hall ...............................,[],[],8 p.m.,"December 24, 1909"
"January 13, 1910",London,"January 13 .... London—Chelsea, Town Hall ........",[],"['Miss Ogston', 'Miss G. Brackenbury']",,"December 24, 1909"
"January 14, 1910",Nottingham,"January 14 .... Nottingham, Albert Hall .............. .",[],['Mrs. Pankhurst'],,"December 24, 1909"
"January 15, 1910",Bradford,"January 15 .... Bradford, Demonstration, Central Baths Hall......................................",[],"['Miss Christabel Pankhurst', 'Miss Garrett Anderson']",8 p.m.,"December 24, 1909"
"January 15, 1910",London,"January 15 .... London—Chelsea,HorburyCbapd Hall",[],['Miss A. Pankhurst'],8 p.m.,"December 24, 1909"
"January 15, 1910",Scarborough,"January 15 .... Scarborough, Old Town Hall..............",[],['Mrs. Pankhurst'],8 p.m.,"December 24, 1909"
"January 17, 1910",Liverpool,"January 17 .... Liverpool, Hope Hall...........................",[],"['Miss Pankhurst', 'Miss G. Brackenbury']",,"December 24, 1909"
"January 17, 1910",London,January 17 .... London—Battersea............................,[],['Drummers’ Union Entertainment'],7.45 p.m.,"December 24, 1909"
"January 17, 1910",London,"London, Rehearsal Theatre, Maiden Lane, Strand............................ .",[],['Mrs. Pankhurst'],,"December 24, 1909"
"January 17, 1910",Manchester,"Manchester, Mrs. Gwynne’s At Home",['Mrs. Gwynne'],[],,"December 24, 1909"
"January 17, 1910",Liverpool,"Liverpool, Picton Hall ..............",[],['Mrs. Pankhurst'],,"December 24, 1909"
