Date,Location,Raw,Description,Speakers,Time,Hosts,Issue date
"January 21, 1910",Willesden Green Station,"Friday . Harlesden , Manor Park Road , Miss Blundell , 6.30 ; Harlesden , Roundwood Road , Miss Wyatt , 7.45 ; Kensal Rise , Mortimer Road , Miss Free- man , 6.30 ; Kensal Rise , Pember Road , Miss Auerbach , 7.30 ; Kilburn , Brondesbury Road , Miss Wright , 8 ; Kilburn , Messina Avenue , Miss Hickson , 6 ; Kilburn , Netherwood Place , Miss M. Sheppard , 5.30 ; Kilburn , Victoria Road , Mrs. Penn Gaskell , 3 ; Willesden Green Station , Miss Canning , 6.30 .",,['Miss Canning'],6.30 p.m.,,"January 21, 1910"
"January 22, 1910","Kilburn Palace, Belsize Road","Saturday . Kilburn Palace , Belsize Road , Miss Christabel Pankhurst , Miss Davison , 4.30",,"['Miss Christabel Pankhurst', 'Miss Davison']",4.30 p.m.,,"January 21, 1910"
"January 22, 1910","Brondesbury Road, N.W.","Saturday . Kilburn Palace , Belsize Road , Miss Christabel Pankhurst , Miss Davison , 4.30 ; Brondesbury Road , N.W. , Miss Wyatt , 3",,['Miss Wyatt'],3 p.m.,,"January 21, 1910"
"January 22, 1910","Netherwood Road, N.W.","Saturday . Kilburn Palace , Belsize Road , Miss Christabel Pankhurst , Miss Davison , 4.30 ; Brondesbury Road , N.W. , Miss Wyatt , 3 ; Nether- wood Road , N.W. , Miss Hickson , 11.30",,['Miss Hickson'],11.30 a.m.,,"January 21, 1910"
"January 22, 1910","Manor Park Rond, Harlesden","Saturday . Kilburn Palace , Belsize Road , Miss Christabel Pankhurst , Miss Davison , 4.30 ; Brondesbury Road , N.W. , Miss Wyatt , 3 ; Nether- wood Road , N.W. , Miss Hickson , 11.30 ; Harles- den , Manor Park Rond , Miss Auerbach , 7",,['Miss Auerbach'],7 p.m.,,"January 21, 1910"
"January 22, 1910","Roundwood Road, Harlesden","Saturday . Kilburn Palace , Belsize Road , Miss Christabel Pankhurst , Miss Davison , 4.30 ; Brondesbury Road , N.W. , Miss Wyatt , 3 ; Nether- wood Road , N.W. , Miss Hickson , 11.30 ; Harles- den , Manor Park Rond , Miss Auerbach , 7 ; Harlesden , Roundwood Road , Miss Wright , 8",,['Miss Wright'],8 p.m.,,"January 21, 1910"
"January 22, 1910","Victoria Road, Kilburn","Saturday . Kilburn Palace , Belsize Road , Miss Christabel Pankhurst , Miss Davison , 4.30 ; Brondesbury Road , N.W. , Miss Wyatt , 3 ; Nether- wood Road , N.W. , Miss Hickson , 11.30 ; Harles- den , Manor Park Rond , Miss Auerbach , 7 ; Harlesden , Roundwood Road , Miss Wright , 8 ; Kilburn , Victoria Road , Miss Burton , 8 .",,['Miss Burton'],8 p.m.,,"January 21, 1910"
"January, 1910","53, Berners Street, London","NATIONAL HEALTH SOCIETY, 53, Berners St. , W. WOMEN Sanitary Inspectors , Health Visitors and Lecturers . SPECIAL TRAINING LECTURES FOR LADIES , JANUARY , 1910 . -For Particulars apply to the SECRETARY , NATIONAL HEALTH SOCIETY , 53, Berners Street, London , W.",Special Training Lectures for Ladies,,,"['Secretary, National Health Society']","January 21, 1910"
Unknown,Earlham Hall,"Monday . Earlham Hall , Miss Thomson , 8",,['Miss Thomson'],8,,"January 21, 1910"
Unknown,Earlham Hall,"Thursday . - Earlham Hall ( Women only ) , 3",Women only,,3,,"January 21, 1910"
Unknown,"Assembly Rooms, Crouch End","Meanwhile the work is going on in the Assembly Rooms at Crouch End, where an address on ""The Voteless Woman at Work"" has been given, and on Feb- ruary 3 Miss Brackenbury will speak on "" Tac- tics Up - to - Date . """,,['Miss Brackenbury'],Unknown,,"January 21, 1910"
"February 3, 1910","Assembly Rooms, Crouch End","Meanwhile the work is going on in the Assembly Rooms at Crouch End, where an address on ""The Voteless Woman at Work"" has been given, and on Feb- ruary 3 Miss Brackenbury will speak on "" Tac- tics Up - to - Date . """,,['Miss Brackenbury'],Unknown,,"January 21, 1910"
Unknown,"2, Campden Hill Square, North Kensington","It is hoped that all men and women interested in the cause will attend the weekly meetings held on Tuesday evenings at 8 p.m. at 2 , Campden Hill Square .",,"['Mrs. Cecil Chapman', 'Miss Evelyn Sharp']",8 p.m.,,"January 21, 1910"
"January 29, 1910","Scotstown, Glasgow","To - day (Friday ) sees the commencement of a vigorous open - air campaign in Scotstown , end- ing up with an indoor meeting on the 29th.",Indoor meeting as the final part of an open-air campaign,,,,"January 21, 1910"
"on Wednesday, January 12, 1910","Edinburgh, Abbey Church Hall","On Wednesday , the 12th , Mrs. Drummond spoke in the Abbey Church Hall to a very well attended meeting and quite won over the hecklers by the completeness of their own defeat.",,['Mrs. Drummond'],,,"January 21, 1910"
"on Thursday, January 13, 1910","Leith, Trafalgar Hall",On Thursday Mrs. Lawton made a superb speech to the Leith electors in Trafalgar Hall on the relation of the working man and woman.,,['Mrs. Lawton'],,,"January 21, 1910"
every day,"Tyneside Division, Newcastle-On-Tyne",Two dinner - hour and two evening meetings will be held every day in the Tyneside Division.,,,dinner - hour and evening,,"January 21, 1910"
"Wednesday, January 26, 1910",Jarrow,"Wednesday : -Jarrow , dinner hour and even- ing meetings .",,,dinner hour and evening,,"January 21, 1910"
"Thursday, January 27, 1910",Jarrow,"Thursday : -Jarrow , dinner hour and evening meetings .",,,dinner hour and evening,,"January 21, 1910"
"February 4, 1910","London, Criterion Theatre, Grand Hall","The first At Home of the new year will take place on Friday , February 4 , in the Grand Hal of the Criterion Theatre , from 3 to 5.",,,3 to 5,,"January 21, 1910"
"February 15, 1910","London, Croydon Public Hall",February 15 ..London - Croydon Public Hall .. Mrs. Pankhurst ...... 8 p.m.,,['Mrs. Pankhurst'],8 p.m.,,"January 21, 1910"
"February 17, 1910","Liverpool, Walton Gaol","February 17 .... Liverpool , Walton Gaol , Release of Miss Selina Martin .",,,,,"January 21, 1910"
"February 19, 1910","Liverpool, Walton Gaol","February 19 .... Liverpool , Walton Gaol , Release of Miss Elsie Howie .",,,,,"January 21, 1910"
"February 24, 1910","Edinburgh, Synod Hall","February 24 .. Edinburgh , Synod Hall",,,,,"January 21, 1910"
"March 18, 1910","London, Albert Hall",March 18 ...... London - Albert Hall ..,,,,,"January 21, 1910"
"April 28-30, 1910","Glasgow, Exhibition","April 28-30 .... Glasgow , Exhibition and Sale of Work Mrs. Pethick Lawrence",,['Mrs. Pethick Lawrence'],April 28-30,,"January 21, 1910"
"January 21, 1910","SALE, 16, BELGRAVE ROAD, VICTORIA","Madame Rebecca Gordon , SALE COURT MILLINER and DRESSMAKER , SALE 16 , BELGRAVE ROAD , VICTORIA .",,,,,"January 21, 1910"
